Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,0,1701628,91764824,127726036,20960,37195540,,498504,401220,400300,401604,,22594192,23177348,23212056,22781228,,31858184,31940428,31974908,31952516,,5240,5240,5240,5240,,9571136,9072876,9072652,9478876
2,0,1,0,1,0,0,0,1821736,91622904,127584160,20960,37282584,,498604,401580,400216,521336,,22594108,23192560,23213200,22623036,,31858100,31955644,31976068,31794348,,5240,5240,5240,5240,,9571140,9072868,9072672,9565904
4,1,2,0,2,0,0,0,1942996,91483748,127445088,20960,37362104,,498360,401536,506980,536120,,22597800,23192432,23075636,22617880,,31861804,31955528,31838544,31789212,,5240,5240,5240,5240,,9571144,9072888,9137876,9580196
6,1,3,1,2,0,0,0,2035228,91394584,127356000,20960,37434132,,498760,470532,535752,530184,,22599328,23111340,23046708,22637208,,31863340,31874480,31809636,31808544,,5240,5240,5240,5240,,9571148,9108816,9173964,9580204
9,0,4,2,2,0,0,0,2111636,91305000,127266496,20960,37504672,,509580,536904,529684,535468,,22583996,23028324,23049372,22643308,,31848032,31791496,31812312,31814656,,5240,5240,5240,5240,,9571184,9174184,9173972,9585332
11,0,5,3,2,0,0,0,2303504,91104780,127066360,20960,37639340,,634660,592856,535456,540532,,22434972,22971404,23054516,22643888,,31699036,31734616,31817460,31815248,,5240,5240,5240,5240,,9672268,9197512,9179096,9590464
13,0,6,4,2,0,0,0,2483308,90868076,126829696,20960,37787344,,628556,671224,643200,540328,,22448156,22860052,22908936,22650932,,31712224,31623268,31671904,31822300,,5240,5240,5240,5240,,9672324,9280388,9244160,9590472
15,0,7,5,2,0,0,0,2637084,90702988,126664680,20960,37922084,,633592,665712,675780,662000,,22446892,22895976,22861196,22498924,,31710968,31659196,31624172,31670344,,5240,5240,5240,5240,,9677472,9280404,9285580,9678628
17,0,8,6,2,0,0,0,2676176,90705000,126666760,20960,37950600,,648656,675800,670628,681092,,22442620,22899096,22886336,22476948,,31706708,31662336,31649336,31648380,,5240,5240,5240,5240,,9677480,9290664,9285604,9696852
19,0,9,7,2,0,0,0,2931312,90392728,126354612,20960,38159260,,773876,675624,680828,800984,,22264612,22895304,22875304,22357508,,31528760,31658560,31638304,31528988,,5240,5240,5240,5240,,9783820,9290684,9295856,9788900
21,1,10,8,2,0,0,0,3075980,90288572,126250524,20960,38262080,,768520,686264,799952,821244,,22301268,22890348,22759832,22337124,,31565424,31653612,31522872,31508616,,5240,5240,5240,5240,,9783880,9300948,9368668,9808584
24,0,11,9,2,0,0,0,3167296,90151272,126113304,20960,38337264,,778544,744388,827180,817184,,22292412,22798620,22722600,22337640,,31556584,31561936,31485640,31509144,,5240,5240,5240,5240,,9794180,9324932,9407652,9810500
26,0,12,10,2,0,0,0,3276984,90061756,126023844,20960,38438496,,792500,832128,821488,830868,,22287148,22700552,22742540,22331516,,31551344,31463880,31505584,31503036,,5240,5240,5240,5240,,9794220,9412452,9407692,9824132
28,0,13,11,2,0,0,0,3429496,89873808,125835940,20960,38570848,,930088,825980,837432,835996,,22090108,22716424,22736816,22330460,,31354320,31479760,31499872,31501988,,5240,5240,5240,5240,,9905660,9412464,9423464,9829260
30,0,14,12,2,0,0,0,3655456,89642844,125605068,20960,38739060,,1054780,916504,837396,846776,,21965380,22608516,22742164,22326784,,31229620,31371896,31505228,31498324,,5240,5240,5240,5240,,10007304,9468732,9423468,9839556
32,0,15,13,2,0,0,0,3851932,89454544,125416824,20960,38907092,,1059076,965968,852616,974272,,21984224,22571020,22734596,22164704,,31248472,31334392,31497676,31336284,,5240,5240,5240,5240,,10017612,9517008,9438848,9933624
34,0,16,13,3,0,0,0,4002244,89290420,125252788,20960,39020708,,1069184,976140,959852,997068,,21982984,22570248,22595720,22141468,,31247248,31333640,31358844,31313056,,5240,5240,5240,5240,,10027860,9532396,9504068,9956384
36,0,17,14,3,0,0,0,4074212,89211456,125173896,20960,39094920,,1090644,987776,1003848,991944,,21960120,22553416,22552056,22145864,,31224424,31316820,31315192,31317460,,5240,5240,5240,5240,,10038176,9544456,9555548,9956740
38,1,18,16,2,0,0,0,4349332,88906224,124868796,20960,39318220,,1214932,1003636,998948,1131816,,21786380,22555000,22564640,22000204,,31050748,31318416,31327784,31171848,,5240,5240,5240,5240,,10138984,9559936,9555968,10063332
41,0,19,17,2,0,0,0,4511108,88736580,124699268,20960,39450948,,1230412,1008916,1123928,1147852,,21791572,22558764,22419584,21966660,,31055976,31322184,31182780,31138328,,5240,5240,5240,5240,,10160204,9565056,9641636,10084052
43,0,20,18,2,0,0,0,4648548,88597444,124560220,20960,39561580,,1245352,1085804,1153916,1163476,,21795808,22459152,22382164,21960320,,31060224,31222620,31145384,31131992,,5240,5240,5240,5240,,10175676,9608932,9677552,10099420
45,0,21,19,2,0,0,0,4874424,88330672,124293548,20960,39746796,,1256032,1165976,1278760,1173656,,21785404,22358972,22226832,21959464,,31049836,31122464,30990100,31131148,,5240,5240,5240,5240,,10186172,9687536,9763392,10109696
47,0,22,20,2,0,0,0,4956840,88272156,124235160,20960,39834832,,1281696,1175780,1310444,1188920,,21754836,22357508,22215268,21944544,,31019312,31121004,30978604,31116240,,5240,5240,5240,5240,,10201620,9703316,9804740,10125156
49,0,23,21,2,0,0,0,5247268,87946072,123909188,20960,40073016,,1417140,1185684,1325616,1318828,,21595096,22348272,22207900,21794804,,30859628,31111776,30971244,30966540,,5240,5240,5240,5240,,10312800,9713580,9825288,10221348
51,0,24,22,2,0,0,0,5384612,87815100,123778368,20960,40181708,,1427012,1270368,1335756,1351476,,21594816,22248344,22213108,21758832,,30859404,31011900,30976468,30930596,,5240,5240,5240,5240,,10328688,9765288,9835564,10252168
53,1,25,23,2,0,0,0,5627144,87562652,123526116,20960,40395280,,1442412,1347560,1360884,1476288,,21578996,22181776,22187368,21614512,,30843600,30945432,30950744,30786340,,5240,5240,5240,5240,,10344060,9840808,9860884,10349528
55,1,26,24,2,0,0,0,5708940,87518148,123481840,20960,40466876,,1472700,1357460,1366912,1511868,,21559160,22181064,22188256,21589668,,30823816,30944748,30951640,30761636,,5240,5240,5240,5240,,10359480,9856292,9866796,10384308
58,0,27,25,2,0,0,0,5985068,87189788,123153684,20960,40685192,,1598752,1372648,1497312,1516356,,21395764,22174876,22022908,21596240,,30660544,30938584,30786336,30768220,,5240,5240,5240,5240,,10465744,9871692,9953196,10394560
60,0,28,26,2,0,0,0,6155720,87001724,122965888,20960,40838784,,1619108,1464516,1532936,1539160,,21404236,22037736,21979020,21580732,,30669048,30801516,30742600,30752724,,5240,5240,5240,5240,,10491576,9930852,9998952,10417404
62,0,29,27,2,0,0,0,6268208,86923824,122888128,20960,40944280,,1646392,1526380,1543172,1552264,,21376036,21992176,21995960,21559652,,30640888,30756032,30759560,30731648,,5240,5240,5240,5240,,10507356,9992112,10014352,10430460
64,0,30,28,2,0,0,0,6571684,86556320,122520868,20960,41190180,,1778124,1548268,1669568,1575724,,21207548,21979336,21836260,21533176,,30472528,30743212,30599956,30705172,,5240,5240,5240,5240,,10616820,10019480,10100088,10453792
66,0,31,29,2,0,0,0,6792964,86313656,122278564,20960,41390416,,1800052,1568468,1715036,1709408,,21185840,21978412,21780168,21369236,,30450904,30742292,30544040,30541328,,5240,5240,5240,5240,,10644284,10040092,10151916,10554124
68,1,32,30,2,0,0,0,6937676,86167736,122132916,20960,41506772,,1815976,1645100,1730572,1746028,,21186376,21838024,21786276,21357060,,30451488,30601996,30550160,30529272,,5240,5240,5240,5240,,10660028,10083832,10172436,10590476
70,1,33,31,2,0,0,0,7169664,85930040,121895544,20960,41714500,,1842376,1815600,1756024,1755664,,21170636,21645348,21766812,21347244,,30435780,30409576,30530728,30519460,,5240,5240,5240,5240,,10686124,10224848,10198232,10605296
73,0,34,32,2,0,0,0,7405052,85665560,121631420,20960,41906460,,1857152,1886556,1879660,1781684,,21153664,21581044,21603840,21327012,,30418820,30345448,30367916,30499236,,5240,5240,5240,5240,,10701700,10294548,10278952,10631260
75,0,35,33,2,0,0,0,7645244,85442312,121408592,20960,42127912,,1883900,1906568,1932936,1921840,,21135220,21580104,21562852,21164136,,30400436,30344564,30327100,30336492,,5240,5240,5240,5240,,10727836,10320308,10341320,10738448
77,0,36,34,2,0,0,0,7727212,85383968,121350540,20960,42205640,,1904248,1926140,1943104,1953720,,21102924,21572380,21578320,21130344,,30368188,30336872,30342628,30302852,,5240,5240,5240,5240,,10737976,10340980,10356800,10769884
79,0,37,35,2,0,0,0,8073872,85000776,120967980,20960,42500332,,2059704,1952896,1968924,2092348,,20910812,21556084,21553468,20980412,,30176372,30320656,30317836,30153116,,5240,5240,5240,5240,,10870380,10366828,10382644,10880480
81,0,38,36,2,0,0,0,8262472,84762512,120730180,20960,42651852,,2065316,1973820,2098152,2125184,,20916608,21534452,21357880,20953572,,30182260,30299088,30122420,30126412,,5240,5240,5240,5240,,10881240,10388224,10469416,10912972
83,1,39,37,2,0,0,0,8412476,84656520,120624568,20960,42805048,,2107088,1999680,2156040,2149668,,20885768,21513096,21324784,20932872,,30151496,30277740,30089544,30105788,,5240,5240,5240,5240,,10912192,10414400,10535852,10942604
86,0,40,38,2,0,0,0,8666892,84318528,120287224,20960,43006584,,2246920,2082832,2166500,2170640,,20700396,21384920,21321492,20911720,,29966504,30149772,30086272,30084676,,5240,5240,5240,5240,,11028648,10462764,10551624,10963548
88,0,41,39,2,0,0,0,8965320,84036720,120005964,20960,43267248,,2267120,2182176,2314056,2201968,,20710684,21288096,21160460,20877480,,29976832,30053220,29925436,30050476,,5240,5240,5240,5240,,11054740,10562528,10655664,10994316
90,0,42,40,2,0,0,0,9186444,83791268,119761076,20960,43470248,,2293348,2196988,2354024,2342084,,20698772,21275100,21109276,20708120,,29964984,30040292,29874472,29881328,,5240,5240,5240,5240,,11080904,10583224,10704876,11101244
92,0,43,41,2,0,0,0,9376176,83616544,119586648,20960,43630348,,2319384,2299500,2373736,2383556,,20664128,21156340,21120272,20675804,,29930348,29921628,29885528,29849144,,5240,5240,5240,5240,,11106396,10651804,10730360,11141788
94,0,44,42,2,0,0,0,9523972,83461924,119432424,20960,43771868,,2356936,2379704,2399136,2388196,,20627056,21062572,21090848,20681448,,29893368,29828120,29856124,29854812,,5240,5240,5240,5240,,11132608,10730972,10756176,11152112
96,1,45,43,2,0,0,0,9879032,83074584,119045692,20960,44067432,,2512204,2399776,2538156,2428896,,20446196,21048700,20928184,20651504,,29712776,29814296,29693696,29824924,,5240,5240,5240,5240,,11265056,10756644,10852620,11193112
98,1,46,44,2,0,0,0,9991496,82989112,118960564,20960,44182036,,2538908,2420340,2587056,2445192,,20427596,21045332,20879996,20636188,,29694276,29810952,29645684,29809652,,5240,5240,5240,5240,,11286156,10777304,10909648,11208928
101,0,47,45,2,0,0,0,10355656,82594264,118566300,20960,44494800,,2694604,2451440,2607552,2602060,,20249828,21024244,20856548,20463644,,29516788,29789920,29622280,29637312,,5240,5240,5240,5240,,11418656,10808716,10935668,11331760
103,0,48,46,2,0,0,0,10509328,82414580,118387096,20960,44619304,,2710036,2529500,2633236,2636556,,20231036,20916872,20834152,20432520,,29498044,29682704,29599924,29606424,,5240,5240,5240,5240,,11439252,10852960,10961932,11365160
105,0,49,47,2,0,0,0,10747200,82142680,118115596,20960,44833988,,2740960,2693716,2664368,2648156,,20200612,20716372,20805896,20419800,,29467668,29482492,29571712,29593724,,5240,5240,5240,5240,,11469972,10988532,10992940,11382544
107,0,50,47,3,0,0,0,10996344,81890832,117864256,20960,45048924,,2760964,2755232,2686080,2794068,,20186936,20675096,20798680,20230120,,29454040,29441420,29564560,29404236,,5240,5240,5240,5240,,11490680,11049016,11014232,11494996
109,1,51,47,4,0,0,0,11236172,81627144,117601104,20960,45249876,,2788012,2789024,2824424,2834712,,20174260,20644780,20604724,20203380,,29441412,29411244,29370780,29377668,,5240,5240,5240,5240,,11516936,11088704,11108836,11535400
112,0,52,50,2,0,0,0,11363564,81524008,117498404,20960,45380668,,2825080,2814884,2869484,2854116,,20128372,20622468,20574400,20198768,,29395620,29388948,29340672,29373164,,5240,5240,5240,5240,,11543412,11114456,11162540,11560260
114,0,53,51,2,0,0,0,11588932,81266944,117241808,20960,45582296,,2981408,2840920,2884620,2881984,,19936040,20588380,20568936,20173588,,29203680,29354892,29335228,29348008,,5240,5240,5240,5240,,11671048,11140456,11183072,11587720
116,0,54,52,2,0,0,0,11883376,80963696,116939180,20960,45820140,,3121332,2938684,2915208,2908152,,19776764,20491696,20542092,20153144,,29044776,29258372,29308428,29327604,,5240,5240,5240,5240,,11787860,11205052,11213836,11613392
118,0,55,53,2,0,0,0,12141480,80694476,116670592,20960,46050356,,3145760,3029476,3037140,2929104,,19779348,20398332,20388460,20128336,,29047404,29165312,29155016,29302860,,5240,5240,5240,5240,,11818656,11294508,11302936,11634256
120,0,56,54,2,0,0,0,12399688,80422796,116399576,20960,46279364,,3166868,3044684,3107316,3080820,,19763352,20407636,20319292,19932516,,29031468,29174688,29086120,29107300,,5240,5240,5240,5240,,11839836,11315188,11371940,11752400
122,1,57,55,2,0,0,0,12607556,80198276,116175560,20960,46448580,,3198692,3075924,3220276,3112664,,19734920,20377140,20180556,19905660,,29003064,29144228,28947644,29080624,,5240,5240,5240,5240,,11870948,11346892,11447936,11782804
124,1,58,56,2,0,0,0,12811004,79985100,115962960,20960,46632492,,3218952,3160040,3289208,3142804,,19717816,20250136,20138488,19878660,,28986024,29017456,28905808,29053672,,5240,5240,5240,5240,,11891728,11396800,11525244,11818720
127,0,59,57,2,0,0,0,13084860,79661864,115640428,20960,46874960,,3251232,3264732,3294076,3274820,,19678292,20132700,20131352,19719520,,28946540,28900372,28898724,28894792,,5240,5240,5240,5240,,11922744,11499972,11535588,11916656
129,0,60,58,2,0,0,0,13212232,79592352,115571392,20960,46998004,,3276304,3279492,3336172,3320264,,19653628,20141012,20105596,19692116,,28922032,28908712,28873012,28867636,,5240,5240,5240,5240,,11938612,11520540,11577220,11961632
131,0,61,59,2,0,0,0,13438340,79365560,115345260,20960,47199224,,3439856,3315416,3346696,3336372,,19462760,20118248,20101544,19683008,,28731688,28886008,28869000,28858564,,5240,5240,5240,5240,,12071604,11557020,11587636,11982964
133,1,62,60,2,0,0,0,13786080,78914456,114894956,20960,47489988,,3578548,3337388,3383056,3487088,,19269916,20098928,20058204,19487408,,28539264,28866716,28825716,28663260,,5240,5240,5240,5240,,12188388,11577928,11623536,12100136
135,1,63,61,2,0,0,0,13977648,78741292,114722416,20960,47649184,,3594132,3368308,3502260,3512948,,19296836,20072844,19901176,19470436,,28566248,28840720,28668964,28646484,,5240,5240,5240,5240,,12209064,11609736,11699644,12130740
138,0,64,62,2,0,0,0,14199324,78531356,114513124,20960,47847316,,3624620,3454232,3566376,3554096,,19272356,19956304,19846572,19456124,,28541820,28724384,28614676,28632244,,5240,5240,5240,5240,,12240268,11662460,11772404,12172184
