Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
50,669,48,2,0,0,38815300,31210120,,6108460,7575292,9958788,8973724,6199036,,7849192,5839364,4397980,5036992,8086592
51,682,50,1,0,0,39433340,30574292,,6108904,7580676,10343268,8985820,6414672,,7846232,5826076,4010100,5025092,7866792
52,696,52,0,0,0,40363500,29630424,,6109060,7574284,10655148,8991396,7033612,,7841112,5837032,3696120,5016880,7239280
53,709,52,1,0,0,41012304,28960452,,6111216,8009452,10652744,8984572,7254320,,7841200,5392784,3693804,5017324,7015340
54,723,52,2,0,0,41052688,28927132,,6105532,8088032,10650208,8983864,7225052,,7843108,5314572,3699904,5021948,7047600
55,736,53,2,0,0,41279192,28688048,,6111180,8297848,10655696,8987612,7226856,,7833144,5098332,3694884,5016380,7045308
56,750,54,2,0,0,41610160,28343532,,6147568,8602584,10647848,8990116,7222044,,7788484,4793196,3702180,5010504,7049168
57,764,55,2,0,0,42233460,27701164,,6763716,8604376,10655676,8984896,7224796,,7166888,4790660,3686696,5009472,7047448
58,777,56,2,0,0,43002276,26932184,,7136588,8597340,10657156,9379800,7231392,,6795700,4798848,3689452,4614072,7034112
59,791,57,2,0,0,43394052,26523808,,7132056,8605312,10656836,9504636,7495212,,6799240,4788024,3685808,4485072,6765664
60,805,59,1,0,0,44016924,25873624,,7129252,8854964,10776628,9499964,7756116,,6796460,4530068,3557344,4489340,6500412
61,819,60,1,0,0,44880872,24998200,,7341180,9115372,11159924,9504216,7760180,,6580504,4268948,3171568,4481924,6495256
62,832,60,2,0,0,45231688,24639232,,7646856,9170880,11169404,9503068,7741480,,6272972,4202524,3162636,4482736,6518364
63,847,61,2,0,0,45612556,24257420,,7647608,9121780,11587092,9507004,7749072,,6271064,4261588,2740104,4478432,6506232
64,861,62,2,0,0,45921076,23934580,,7650484,9120544,11684040,9717656,7748352,,6262768,4258540,2643552,4262660,6507060
65,875,64,1,0,0,46483416,23351076,,7649092,9122648,11676440,10049948,7985288,,6267360,4257020,2649760,3916456,6260480
66,889,65,1,0,0,47221476,22606532,,7656116,9253212,11688864,10359844,8263440,,6259844,4117900,2633512,3608896,5986380
67,903,66,1,0,0,48012440,21808156,,7927244,9610016,11679136,10534316,8261728,,5979636,3764856,2642344,3433008,5988312
68,917,67,1,0,0,48556264,21241560,,8171600,9634128,11685340,10534024,8531172,,5728612,3739880,2631624,3431584,5709860
69,931,69,0,0,0,49011084,20776740,,8159400,9634816,11891092,10540908,8784868,,5743716,3736020,2426344,3419224,5451436
70,945,69,1,0,0,49678072,20103164,,8159160,10005012,12200424,10532960,8780516,,5743948,3356412,2115880,3430612,5456312
71,959,69,2,0,0,49842300,19933684,,8163084,10154580,12209004,10537196,8778436,,5739080,3208512,2106272,3421720,5458100
72,973,70,2,0,0,49972408,19782368,,8167504,10148656,12202368,10532700,8921180,,5728788,3215608,2103352,3423960,5310660
73,986,72,1,0,0,50653552,19097368,,8165384,10154040,12203516,10851492,9279120,,5730704,3209080,2107416,3101584,4948584
74,1000,73,1,0,0,51582532,18146324,,8639244,10154156,12199192,11056436,9533504,,5250572,3205592,2110752,2893052,4686356
75,1014,74,1,0,0,52205360,17518712,,8675240,10145824,12511584,11055680,9817032,,5214092,3216992,1789396,2894544,4403688
76,1028,74,2,0,0,52401364,17303720,,8681704,10146160,12714068,11049924,9809508,,5203132,3215916,1580448,2893300,4410924
77,1042,74,3,0,0,52426660,17276004,,8689988,10157936,12715348,11051380,9812008,,5196532,3200988,1583884,2890808,4403792
78,1057,75,3,0,0,52695100,16994080,,8691052,10155384,12981276,11056788,9810600,,5190172,3198472,1312536,2883808,4409092
79,1070,78,1,0,0,53789600,15886736,,8690492,10561296,13464576,11272304,9800932,,5189720,2792604,821376,2665220,4417816
80,1084,79,1,0,0,54853520,14803168,,9060856,10666444,13742084,11580016,9804120,,4810544,2683820,538240,2355128,4415436
81,1098,79,2,0,0,54994144,14659644,,9207544,10668720,13741144,11575700,9801036,,4666592,2682240,542556,2354268,4413988
82,1112,79,2,0,0,54973792,14672036,,9196584,10668228,13737684,11574336,9796960,,4676388,2672704,546244,2354748,4421952
83,1126,81,1,0,0,55444280,14186380,,9204868,11109596,13743388,11588788,9797640,,4663548,2223116,540284,2338580,4420852
84,1140,81,2,0,0,55822036,13793144,,9203156,11494060,13745312,11577764,9801744,,4658688,1837232,533864,2350100,4413260
85,1155,83,2,0,0,56752648,12842944,,9573736,11720520,13740044,11910836,9807512,,4288484,1601012,543112,2011364,4398972
86,1169,84,2,0,0,57333760,12257484,,9712448,11695172,13745972,12378804,9801364,,4148736,1633268,532252,1533540,4409688
87,1183,86,1,0,0,57791128,11784020,,9722556,11695292,13746624,12601088,10025568,,4136632,1632788,527860,1309940,4176800
88,1197,86,2,0,0,58555908,11000636,,9721876,11697436,13743476,12595272,10797848,,4129080,1631036,529572,1307068,3403880
89,1211,87,1,0,0,58970740,10580144,,9721760,11702656,14111668,12598440,10836216,,4132604,1620608,161416,1301304,3364212
90,1226,87,2,0,0,59150648,10581856,,9725720,11694800,14290812,12606068,10833248,,4128324,1628936,165248,1291804,3367544
91,1240,87,3,0,0,59145908,10596708,,9724888,11703504,14280792,12597652,10839072,,4124020,1621692,189240,1300876,3360880
92,1254,88,2,0,0,59457368,10320552,,9732324,11905728,14313868,12605056,10900392,,4113740,1415396,211532,1287884,3292000
93,1268,91,1,0,0,60631624,9129280,,10244484,12218852,14315052,12602304,11250932,,3594024,1092376,211896,1292944,2938040
94,1283,92,1,0,0,61298196,8493480,,10762616,12215992,14360732,12607160,11351696,,3074128,1099596,195304,1286544,2837908
95,1297,94,1,0,0,61986464,7803440,,10752036,12608368,14410972,12859376,11355712,,3077044,698504,163508,1029544,2834840
96,1312,94,2,0,0,62526484,7407880,,10764376,12736368,14553268,13115156,11357316,,3066224,569104,179372,763588,2829592
97,1327,94,1,0,0,62579352,7397556,,10755080,12741072,14610196,13121552,11351452,,3075404,560360,166172,761044,2834576
98,1341,95,0,0,0,62843428,7117452,,10755688,12741800,14629104,13363284,11353552,,3069860,563216,139584,512344,2832448
99,1368,98,0,0,0,63586952,6017256,,10757264,13072348,14268080,13623320,11865940,,3063856,227752,178024,236772,2310852
100,1730,99,1,0,0,64400492,5352428,,11350752,13269096,14294924,13612964,11872756,,2425620,212416,166948,248464,2298980
101,1744,101,0,0,0,65006888,4828756,,11325288,13265628,14408156,13627032,12380784,,2457452,216512,148244,227400,1779148
102,1859,100,1,0,0,65534420,4363556,,11837164,13258960,14414924,13633336,12390036,,1929688,248200,194308,227756,1763604
103,1874,100,1,0,0,65517532,4304528,,11835540,13285896,14383944,13629532,12382620,,1930324,218168,148000,231920,1776116
104,1888,100,1,0,0,65534824,4310460,,11850824,13269524,14405072,13628688,12380716,,1912568,233656,153112,231596,1779528
105,1903,101,2,0,0,65647208,4307364,,11846632,13264332,14530160,13625500,12380584,,1912092,238360,154604,222792,1779516
106,1917,105,0,0,0,66485268,3779496,,11855748,13263464,14323088,14141576,12901392,,1902888,239700,157460,227876,1251572
107,2158,105,1,0,0,67542428,3230212,,12369968,13775180,14343304,14147184,12906792,,1363000,225056,178768,222532,1240856
108,2172,106,1,0,0,67560952,3145524,,12365496,13785912,14349136,14158176,12902232,,1362764,214524,165396,157304,1245536
109,2186,106,3,0,22,67508232,3486284,,12358988,13820544,14435736,13989780,12903184,,1371592,207964,213956,445280,1247492
110,2201,107,1,0,22,67691080,3291776,,12360604,13991108,14374364,14061348,12903656,,1369660,163376,184284,331528,1242928
