Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
56,318,40,14,0,0,31428532,1083444,,7765408,5537680,5859116,4469088,7797240,,143304,164524,163316,296392,315908
57,324,40,15,0,0,31717868,1022580,,7765408,5432320,5870384,4472500,8177256,,143304,167544,221624,293144,196964
58,330,40,15,0,0,31727392,1034200,,7765408,5397444,5871736,4473184,8219620,,143304,187988,220268,292988,189652
59,336,41,15,0,0,31829480,1033112,,7881564,5350140,5891212,4475948,8230616,,141044,239940,199576,290040,162512
60,342,41,18,0,0,31772508,1004188,,7967180,5369240,5518188,4475912,8441988,,176156,198980,170104,289972,168976
61,348,41,19,0,0,31830508,1024640,,7967832,5378208,5502836,4478948,8502684,,162024,183696,196624,286252,196044
62,353,42,19,0,0,32037156,971740,,8033428,5386784,5465944,4477732,8673268,,140660,177684,154984,286996,211416
63,359,43,19,0,0,32085648,954684,,8132344,5385776,5324048,4487104,8756376,,157356,178224,186088,270036,162980
64,365,43,20,0,0,32122772,969528,,8132344,5377400,5292248,4487108,8833672,,157356,182204,184008,269812,176148
65,371,43,21,0,0,32020284,1017100,,8132344,5378916,5212416,4473284,8823324,,157356,182880,190468,289708,196688
66,376,44,20,0,0,31845088,1170756,,8132344,5343544,5096900,4472568,8799732,,157356,243532,231864,290608,247396
67,382,45,20,0,0,31842728,1094804,,8132344,5345460,5068728,4478292,8817904,,157356,237504,195228,285276,219440
68,388,45,21,0,0,31662216,1412456,,8132344,5346824,5073360,4481720,8627968,,157356,236908,182396,280524,555272
69,394,45,22,0,0,31705632,1215084,,8132344,5365776,5055428,4488864,8663220,,157356,212520,222744,270920,351544
70,400,45,23,0,0,31712296,1008736,,8132344,5355648,5034256,4476480,8713568,,157356,205688,190972,285056,169664
71,406,45,24,0,0,31716384,1109564,,8132344,5337528,4936356,4488948,8821208,,157356,252136,242508,272156,185408
72,411,46,24,0,0,31669160,1275408,,8132344,5241428,4944796,4504196,8846396,,157356,300464,401824,244748,171016
73,417,46,25,0,0,31651984,1097828,,8132344,5208320,4951180,4506184,8853956,,157356,282432,245208,230900,181932
74,423,46,26,0,0,31758020,979636,,8132344,5286752,4983768,4504980,8850176,,157356,188892,205016,230664,197708
75,429,46,27,0,0,31642732,1049288,,8132344,5218476,4953740,4488420,8849752,,157356,265116,190316,257016,179484
76,435,46,28,0,0,31583140,1083852,,8132344,5219560,4920412,4485496,8825328,,157356,263696,242188,265448,155164
77,441,47,28,0,0,31338488,1577508,,8132344,5203064,4917344,4489824,8595912,,157356,304936,237016,260452,617748
78,446,47,29,0,0,31234116,2857860,,8132344,5159864,4859324,4490188,8592396,,157356,308128,1937056,260500,194820
79,452,47,30,0,0,31270340,2566656,,8132344,5168184,4854784,4492548,8622480,,157356,273508,1699440,257996,178356
80,458,47,31,0,0,31290524,2486588,,8132344,5135392,4847260,4489092,8686436,,157356,326720,1597804,259984,144724
81,464,47,32,0,0,31375988,2125820,,8132344,5169808,4843812,4496484,8733540,,157356,262684,1287308,251764,166708
82,470,47,33,0,0,31616808,4420148,,8132344,5279272,4818136,4520468,8866588,,157356,2880376,995028,214076,173312
83,476,48,33,0,0,31456840,4084832,,8132344,5095876,4804328,4494512,8929780,,157356,2999856,509720,242452,175448
84,482,48,34,0,0,31469624,3506740,,8132344,4982704,4881756,4491824,8980996,,157356,2654344,276764,246384,171892
85,487,49,34,0,0,31527196,3299936,,8132344,5050372,4863556,4494620,8986304,,157356,2452464,298576,247444,144096
86,493,49,35,0,0,31588960,3141396,,8132344,4952132,4866780,4512684,9125020,,157356,2322508,294708,227788,139036
87,499,49,36,0,0,31733772,2944204,,8132344,4950196,4868040,4514212,9268980,,157356,2125276,293468,225156,142948
88,505,49,37,0,0,31833480,2813912,,8132344,4914020,4827716,4517304,9442096,,157356,1839352,455572,220968,140664
89,511,49,38,0,0,31850436,2404272,,8132344,4917860,4812560,4521600,9466072,,157356,1474516,395272,215444,161684
90,517,49,39,0,0,32009372,1928820,,8132344,4939076,4844520,4521696,9571736,,157356,1072896,337168,219848,141552
91,522,52,37,0,0,32290948,1519824,,8132344,5043908,4849216,4524660,9740820,,157356,674096,330496,217612,140264
92,528,54,35,0,0,32662532,1292560,,8132344,5042408,4846792,4522336,10118652,,157356,418856,332148,245128,139072
93,534,54,36,0,0,33058396,1222264,,8132344,5109440,4844852,4517536,10454224,,157356,334480,333660,254056,142712
94,540,54,37,0,0,33348676,1227152,,8132344,5109804,4849268,4519828,10737432,,157356,328344,348880,252284,140288
95,546,54,38,0,0,33618268,1216712,,8132344,5106604,4863968,4519336,10996016,,157356,325644,326096,253252,154364
96,552,54,39,0,0,33926256,1299184,,8132344,5118816,4881160,4519684,11274252,,157356,452204,296828,252932,139864
97,558,54,41,0,0,34103076,1158412,,8132344,5140184,4874104,4514748,11441696,,157356,293488,303196,258436,145936
98,564,54,42,0,0,34404200,1088204,,8132344,5146492,4919480,4511640,11694244,,157356,283368,238404,262616,146460
99,569,54,43,0,0,34460160,2274552,,8132344,5162980,4876224,4514824,11773788,,157356,282792,1427536,257468,149400
100,575,54,43,0,0,34496240,2202664,,8132344,5177416,4831904,4514376,11840200,,157356,252000,1394208,260096,139004
101,581,54,44,0,0,34718564,1911752,,8132344,5180840,4812096,4506968,12086316,,157356,249020,1102776,259480,143120
102,587,54,44,0,0,34839000,2715644,,8132344,5121564,4780084,4512688,12292320,,157356,1623140,541708,254152,139288
103,593,54,45,0,0,34958128,2214084,,8132344,5141476,4872588,4519400,12292320,,157356,1294648,371184,251608,139288
104,599,54,46,0,0,35116536,2098612,,8132344,5169676,4837000,4527124,12450392,,157356,1121844,411868,251224,156320
105,605,54,46,0,0,35143068,1928676,,8132344,5122764,4907920,4524468,12455572,,157356,933260,444192,253492,140376
106,611,55,46,0,0,35144328,2058004,,8132344,5146588,4771376,4522744,12571276,,157356,510768,995428,255132,139320
107,616,55,47,0,0,35395340,1456020,,8132344,5146744,4797988,4520644,12797620,,157356,395336,507508,257528,138292
108,622,55,48,0,0,35426284,1365560,,8132344,5174260,4802900,4519160,12797620,,157356,335712,474844,259356,138292
109,628,55,48,0,0,36335764,1345068,,8132344,5175456,4828204,4512408,13687352,,157356,334168,447852,266856,138836
110,634,56,47,0,0,36395204,1629620,,8132344,5156792,4820244,4523540,13762284,,157356,623348,463484,245744,139688
111,640,56,48,0,0,36348332,2093396,,8132344,5169896,4759948,4523860,13762284,,157356,468264,1083384,244704,139688
112,646,56,49,0,0,36349588,1991652,,8132344,5191456,4736752,4526752,13762284,,157356,321440,1129296,243872,139688
113,652,56,50,0,0,36607520,1405588,,8132344,5184800,4801512,4530840,13958024,,157356,340780,526092,239048,142312
114,658,56,51,0,0,36601152,1428004,,8132344,5187648,4777068,4534144,13969948,,157356,337812,559596,234472,138768
115,664,56,55,0,0,36606856,1415696,,8132344,5200288,4765164,4539112,13969948,,157356,317860,572928,228784,138768
116,670,56,55,0,0,36113752,1503728,,8132344,5155384,4795148,4540464,13490412,,157356,440364,515932,225260,164816
117,675,56,56,0,0,36149844,1335964,,8132344,5215052,4792204,4539856,13470388,,157356,302456,511816,225268,139068
118,681,56,56,0,0,35856116,1700768,,8132344,5004452,4757756,4537684,13423880,,157356,143036,1030716,228604,141056
119,687,56,56,0,0,35630508,2065992,,8132344,4812240,4725664,4541564,13418696,,157356,917472,624976,225468,140720
120,693,56,56,0,0,35658888,1885072,,8132344,4882692,4696420,4549852,13397580,,157356,690964,657940,240360,138452
121,699,56,56,0,0,35851292,1904056,,8132344,4867540,4711356,4560708,13579344,,157356,700144,667956,239380,139220
122,705,56,56,0,0,35923984,1882404,,8132344,4830760,4820196,4561340,13579344,,157356,801116,546496,238216,139220
123,711,58,56,0,0,36074872,1523456,,8132344,4884200,4746756,4560076,13751496,,157356,141352,844016,239524,141208
124,717,58,56,0,0,36359320,1380692,,8132344,5203424,4711016,4561040,13751496,,157356,141796,701316,239016,141208
125,723,58,56,0,0,36165644,2136896,,8132344,4856304,4719024,4560256,13897716,,157356,897472,701280,239396,141392
126,729,58,56,0,0,32890784,4829636,,8132344,4857316,4693920,4561476,10645728,,157356,753024,726164,238748,2954344
127,735,59,57,0,0,33053552,3977816,,8132344,4861648,4696488,4564208,10798864,,157356,744928,726248,236080,2113204
128,740,59,57,0,0,33416420,2535736,,8132344,4888008,4706416,4575972,11113680,,157356,709832,679208,214880,774460
129,746,59,57,0,0,33386168,2319016,,8132344,4907872,4671608,4574692,11099652,,157356,670336,830660,241604,419060
130,752,59,57,0,0,34337628,1873332,,8132344,4961144,4653588,4581172,12009380,,157356,535556,775872,234692,169856
131,758,59,57,0,0,34536052,2126304,,8132344,4962208,4692188,4579500,12169812,,157356,581200,710096,238652,439000
132,764,59,57,0,0,34790704,1957868,,8132344,4961876,4646904,4565864,12483716,,157356,578844,800400,262384,158884
133,770,59,57,0,0,34626764,3256848,,8132344,4932904,4653056,4562000,12346460,,157356,951620,776188,266596,1105088
134,776,59,57,0,0,35010920,2051180,,8132344,4963788,4661388,4565316,12688084,,157356,609120,761992,262448,260264
135,782,59,57,0,0,34957004,1978072,,8132344,4964504,4647992,4563724,12648440,,157356,550560,836928,265904,167324
136,787,59,57,0,0,34831000,2153996,,8132344,4826664,4625256,4560476,12686260,,157356,739336,817472,270540,169292
137,793,59,57,0,0,35037088,1948772,,8132344,4959280,4644396,4562948,12738120,,157356,581652,779424,267772,162568
138,799,59,57,0,0,35185832,2000388,,8132344,4962932,4620756,4563772,12906028,,157356,578016,853388,258836,152792
139,805,59,57,0,0,34979392,2975576,,8132344,4982156,4631708,4566644,12666540,,157356,809280,832376,262092,914472
140,811,59,57,0,0,35334064,1924840,,8132344,5018848,4650520,4566036,12966316,,157356,562156,796888,267052,141388
141,817,59,57,0,0,35194464,1963016,,8132344,5014828,4620600,4568612,12858080,,157356,566712,834864,264660,139424
142,823,59,57,0,0,35322308,2126556,,8132344,4940424,4615636,4568620,13065284,,157356,701136,852956,264644,150464
143,829,59,57,0,0,35651164,1935668,,8132344,5030700,4645236,4567096,13275788,,157356,572776,793160,268868,143508
144,835,59,57,0,0,35766368,1979964,,8132344,5029916,4618432,4567236,13418440,,157356,573512,841304,268852,138940
145,840,59,57,0,0,35739648,2323032,,8132344,4990956,4638480,4569224,13408644,,157356,943208,810220,266988,145260
146,846,59,57,0,0,35866896,1997644,,8132344,5028852,4634172,4568548,13502980,,157356,593316,807324,267680,171968
