Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
79,0,26,22,3,0,2,1,28059340,151648508,171983748,16656,30677116,,5694640,8397500,8741264,5225936,,39969652,36326108,35061712,40291036,,44159108,41889348,41646628,44288664,,3832,3828,3828,5168,,6874320,8156596,9217200,6429000
81,1,27,22,3,0,2,2,28410780,150961904,171330916,16656,30948284,,5575680,8570612,8982880,5281608,,39790120,36111620,34806268,40253896,,43980032,41689292,41409748,44251844,,3832,3828,3828,5168,,6730060,8270740,9461004,6486480
84,1,28,22,3,0,2,3,28997428,150576556,170976896,16656,31468024,,5457772,8851080,9067372,5621204,,40082044,35825032,34696400,39973080,,44271456,41397548,41320100,43987792,,3832,3828,3828,5168,,6622660,8547004,9530984,6767376
87,1,29,22,3,0,2,4,29272024,150436348,170883988,16656,31583480,,5600540,8634380,9291752,5745352,,40021120,36106732,34463792,39844704,,44228480,41705896,41089512,43860100,,3832,3828,3828,5168,,6700760,8292016,9696928,6893776
90,0,30,23,3,0,2,4,30125808,149582840,170071512,16656,32424764,,5935180,8883684,9521980,5784964,,39638220,35870712,34236544,39837364,,43866704,41471116,40864992,43868700,,3832,3828,3828,5168,,7027924,8533016,9930652,6933172
93,0,31,25,3,0,2,3,30298456,149249184,169791320,16656,32573468,,6325048,9076916,9074944,5821548,,39216780,35657160,34568296,39806948,,43481812,41258668,41212248,43838592,,3832,3828,3828,5168,,7381756,8685064,9538548,6968100
96,0,32,29,3,0,2,0,30266804,149211608,169770608,16656,32498012,,6421376,9355656,8811492,5678280,,39118528,35381636,34859368,39852076,,43383992,40999736,41502948,43883932,,3832,3828,3828,5168,,7476952,8968472,9245528,6807060
99,0,33,27,3,0,2,3,31111928,148372864,168972448,16656,33214896,,6503468,9204324,9285760,6118376,,39040996,35463296,34435320,39433252,,43327208,41098784,41080360,43466096,,3832,3828,3828,5168,,7548824,8811852,9660296,7193924
102,0,34,28,3,0,2,3,31319844,147894412,168541868,16656,33410320,,6555360,9337364,9480488,5946632,,38960076,35332828,34222176,39379332,,43248716,40969532,40889808,43433812,,3832,3828,3828,5168,,7584864,8949136,9875704,7000616
105,0,35,28,3,0,2,4,31834212,147441936,168149532,16656,33837032,,6911020,9209300,9532232,6181660,,38579168,35495832,34152840,39214096,,42868768,41156836,40838916,43285012,,3832,3828,3828,5168,,7906660,8750228,9939252,7240892
108,0,36,30,3,0,2,3,32507768,146823236,167549744,16656,34446556,,6692968,9700616,9559108,6555076,,38721432,35006484,34138448,38956872,,43010748,40669424,40824876,43044696,,3832,3828,3828,5168,,7684256,9247768,9953968,7560564
110,1,37,30,4,0,2,3,32553120,146688600,167448484,16656,34501816,,6967152,9780324,9595500,6210144,,38504652,34868664,34099740,39215544,,42810756,40547984,40786892,43302852,,3832,3828,3828,5168,,7928828,9333892,9988764,7250332
113,1,38,32,4,0,2,2,32222204,146328404,167135256,16656,34544824,,7348852,9419616,8863732,6590004,,38124136,35011016,34277112,38916140,,42443616,40707940,40961528,43022172,,3832,3828,3828,5168,,8289004,8930524,9736656,7588640
116,1,39,34,3,0,2,2,32567260,145646332,166458760,16656,35317824,,7461056,9849520,8568788,6687896,,37992056,34758732,34096376,38799168,,42315536,40457276,40780236,42905712,,3832,3828,3828,5168,,8400764,9294584,9932752,7689724
119,0,40,35,2,1,2,2,32130516,145867948,166717644,16656,34916556,,7013092,10204816,8650092,6262516,,38288684,34399632,34432188,38747444,,42627028,40099712,41120940,42869964,,3832,3828,3828,5168,,7995692,9656988,9522468,7741408
122,0,41,37,1,2,2,1,32666772,145380860,166262176,16656,35427812,,7060676,10286648,9015332,6304116,,38257500,34320944,34090240,38712176,,42598072,40039764,40794080,42830260,,3832,3828,3828,5168,,8041964,9759740,9849768,7776340
125,0,42,38,0,3,2,1,32403644,145199000,166094412,16656,35645604,,7103804,9849600,9123344,6326896,,38217464,34262008,34037104,38682424,,42558456,39997808,40737564,42800584,,3832,3828,3828,5168,,8081396,9806528,9959832,7797848
128,0,43,37,0,4,2,2,32819128,145052324,165971532,16656,35548648,,7126084,10158184,9159024,6375836,,38198300,34210648,34008968,38634408,,42539364,39951220,40725948,42755000,,3832,3828,3828,5168,,8101980,9613640,9994040,7838988
131,0,44,38,0,5,2,1,33091240,144808824,165722388,16656,35808940,,7173676,10318780,9195444,6403340,,38166424,34063732,33964840,38613828,,42509640,39805000,40677064,42730684,,3832,3828,3828,5168,,8148652,9777324,10029324,7853640
134,0,45,37,0,6,2,2,32424408,145418384,166342288,16656,35109424,,6758672,10374124,9341196,5950416,,38578948,34025616,34230428,38583392,,42906060,39783632,40957944,42694652,,3832,3828,3828,5168,,7719292,9837944,9682444,7869744
137,0,46,37,0,7,2,2,33582404,144770612,165694668,16656,35820228,,7107492,10423396,9623496,6428020,,38262584,33994568,33955380,38558080,,42593956,39753436,40683480,42663796,,3832,3828,3828,5168,,8060540,9880780,9971744,7907164
140,0,47,37,0,8,2,2,33246400,145080948,166002012,16656,35528716,,6685744,10444780,9670512,6445364,,38653724,33982536,33912864,38531824,,42984388,39741844,40641684,42634096,,3832,3828,3828,5168,,7674456,9901776,10024024,7928460
143,0,48,36,0,9,2,3,32668824,144795112,165742908,16656,35854720,,6967632,9988884,9708656,6003652,,38449648,33962900,33885228,38497336,,42780428,39720764,40632096,42609620,,3832,3828,3828,5168,,7900764,9931024,10059696,7963236
146,0,49,37,0,10,2,2,31695184,145309296,166262208,16656,35309988,,7124676,9539488,9255508,5775512,,38301140,33950496,33856656,39201004,,42632676,39697560,40604056,43327916,,3832,3828,3828,5168,,8058256,9948620,10087164,7215948
149,0,50,34,0,11,2,5,31683188,145821736,166755232,16656,34766228,,6821984,10030204,9297580,5533420,,38615740,33938508,33838904,39428584,,42948996,39677928,40586780,43541528,,3832,3828,3828,5168,,7734248,9975644,10118168,6938168
152,0,51,33,0,12,2,6,32387664,146354244,167276780,16656,34083548,,6634100,9597848,9471848,6683868,,38678508,34837700,34120060,38717976,,43015200,40559468,40870084,42832028,,3832,3828,3828,5168,,7571860,9113628,9787892,7610168
155,0,52,31,0,13,2,8,33001600,145279584,166277912,16656,35127540,,7001684,9947212,9243388,6809316,,38308880,34526504,33853388,38590812,,42664096,40270928,40606488,42736400,,3832,3828,3828,5168,,7894508,9438328,10060300,7734404
158,0,53,32,0,14,2,7,32264824,145853660,166858560,16656,34377044,,6879900,9224580,9303012,6857332,,38342044,35150640,33806004,38554972,,42696840,40880384,40562840,42718496,,3832,3828,3828,5168,,7758668,8724788,10110000,7783588
161,0,54,32,0,15,2,7,32227208,146082628,167091684,16656,34247148,,6796408,9478696,9338892,6613212,,38489680,35062172,33758232,38772544,,42844304,40782400,40528676,42936304,,3832,3828,3828,5168,,7660588,8931340,10142988,7512232
164,0,55,28,0,16,2,11,32394260,145835128,166838544,16656,34376232,,7045020,9866960,8923448,6558832,,38290996,34676500,34108296,38759336,,42662428,40398452,40866076,42911588,,3832,3828,3828,5168,,7914344,9326628,9692828,7442432
167,0,56,28,0,17,2,11,32739308,145521596,166554260,16656,34757092,,7116756,9904432,8953412,6764708,,38250592,34632520,34066976,38571508,,42622488,40369580,40819876,42742316,,3832,3828,3828,5168,,7974904,9388652,9709808,7683728
170,0,57,28,0,18,2,11,32656496,145611696,166655336,16656,34629336,,7079828,9718748,9180136,6677784,,38335088,34837720,33872720,38566168,,42706864,40574500,40637384,42736588,,3832,3828,3828,5168,,7992456,9153956,9943264,7539660
173,0,58,30,0,19,2,9,32181600,146100852,167147296,16656,34106800,,6653788,9953428,8782780,6791604,,38715672,34603676,34252936,38528568,,43089040,40341352,41017652,42699252,,3832,3828,3828,5168,,7579064,9327348,9541792,7658596
175,1,59,29,0,20,2,10,33270916,145500216,166584676,16656,34661980,,6991140,10017660,9605764,6656352,,38409672,34500940,33922368,38667236,,42783352,40270612,40693136,42837576,,3832,3828,3828,5168,,7885328,9393960,9882808,7499884
178,1,60,29,0,21,2,10,32381940,145832224,166943652,16656,33793652,,6718452,9541532,9348220,6773736,,38533432,34828668,33914248,38555876,,42926212,40611608,40676504,42729328,,3832,3828,3828,5168,,7599796,8978156,9596100,7619600
181,0,61,30,0,22,2,9,32291068,146141940,167297880,16656,33667676,,7019100,9221024,9230388,6820556,,38292108,35158376,34163556,38527900,,42687660,40960908,40930092,42719220,,3832,3828,3828,5168,,7897748,8639508,9459380,7671040
184,1,62,30,0,23,2,9,33006724,145590532,166751128,16656,34371876,,7094500,9523980,9545008,6843236,,38224880,34906968,33935504,38523180,,42620616,40710120,40705448,42714944,,3832,3828,3828,5168,,7965132,8935500,9777280,7693964
187,0,63,31,0,24,2,8,33197608,145364004,166611956,16656,34572176,,7137184,9576580,9611960,6871884,,38196652,34851924,33877580,38437848,,42608356,40674972,40663660,42664968,,3832,3828,3828,5168,,8007140,8994468,9844384,7726184
190,1,64,34,0,25,2,5,32487016,145911440,167161508,16656,33927288,,7159196,9133132,9649744,6544944,,38177340,35172932,33849388,38711780,,42589332,40997488,40651576,42923112,,3832,3828,3828,5168,,8030912,8584648,9887516,7424212
193,0,65,33,0,26,2,6,32349132,145692792,166923884,16656,34205108,,7170968,9201060,9187580,6789524,,38173548,35149436,33828924,38540884,,42585860,40958796,40626892,42752336,,3832,3828,3828,5168,,8051768,8578040,9904480,7670820
196,0,66,33,0,27,2,6,31809116,146144096,167383068,16656,33763840,,6743944,9495052,8705164,6864956,,38542748,34862540,34257540,38481268,,42970060,40672940,41047124,42692944,,3832,3828,3828,5168,,7640032,8889076,9491740,7742992
199,0,67,33,0,28,2,6,32652988,145879340,167149056,16656,34056080,,7114788,9557468,9090120,6890612,,38211704,34839940,34367308,38460388,,42639476,40668816,41168644,42672120,,3832,3828,3828,5168,,7966808,8946360,9374812,7768100
202,0,68,34,0,29,2,5,32174180,145461304,166727232,16656,34571324,,7199008,9527520,9483416,5964236,,38114416,34924364,33988536,38433988,,42542500,40753776,40791208,42639748,,3832,3828,3828,5168,,8059224,8977148,9735024,7799928
205,0,69,35,0,30,2,4,31438548,146034460,167313064,16656,33878808,,6293368,9578112,9587032,5980036,,38831800,34885776,33898168,38418716,,43272288,40715244,40703952,42621580,,3832,3828,3828,5168,,7218576,9000072,9844932,7815228
208,0,70,33,0,31,2,6,32664052,145438112,166698836,16656,34525448,,6949612,9631092,9611492,6471856,,38326596,34841084,33898560,38371872,,42738872,40673388,40704784,42581792,,3832,3828,3828,5168,,7784316,9034296,9871524,7835312
211,0,71,33,0,32,2,6,32442540,146099612,167363072,16656,33898884,,7134364,9655276,9645048,6007852,,38131940,34819256,33864652,39283764,,42544704,40652164,40675624,43490580,,3832,3828,3828,5168,,7971088,9053344,9899844,6974608
214,0,72,33,0,33,2,6,32490756,145583492,166858028,16656,34353376,,7187248,9215188,9661704,6426616,,38141744,34754800,33836372,38850576,,42560784,40601620,40647740,43047884,,3832,3828,3828,5168,,8022964,9092464,9912520,7325428
217,0,73,32,0,34,2,7,32878468,145273856,166525436,16656,34672420,,7208848,9248852,9679884,6740884,,38119668,34728872,33818100,38607216,,42538892,40567188,40629928,42789428,,3832,3828,3828,5168,,8041792,9111832,9934436,7584360
220,0,74,32,0,35,2,7,33071076,145067848,166345720,16656,34849392,,7240628,9270920,9710636,6848892,,38097848,34714200,33758128,38497672,,42517424,40552668,40593256,42682372,,3832,3828,3828,5168,,8068932,9126440,9959956,7694064
223,0,75,31,0,36,2,8,31802964,146285160,167545992,16656,33618148,,5914220,9284404,9731232,6873108,,39376824,34695360,33702536,38510440,,43766088,40532156,40548420,42699328,,3832,3828,3828,5168,,6756992,9154568,9990368,7716220
226,0,76,31,0,37,2,8,32800836,145324288,166577960,16656,34568448,,6859448,9304536,9755800,6881052,,38469368,34672004,33681416,38501500,,42862740,40497308,40527500,42690412,,3832,3828,3828,5168,,7645356,9176048,10019936,7727108
