Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
54,6,54,0,41654144,22894628,,8414744,11038604,7163180,6685988,8351628,,5381000,3356480,3850236,4650924,5655988
55,29,55,0,42312132,22223276,,8558524,11042324,7344920,7012292,8354072,,5246568,3349140,3664532,4311196,5651840
56,47,56,0,43039680,21537192,,8580796,11036492,7597304,7476716,8348372,,5226080,3359016,3448192,3847484,5656420
57,16,57,0,43325576,21194360,,8589840,11107148,7724320,7551492,8352776,,5221628,3276620,3274176,3770472,5651464
58,47,58,0,43957380,20530196,,8647736,11403592,7936620,7613080,8356352,,5139076,2978744,3059256,3706252,5646868
59,46,59,0,44602588,19917712,,8979360,11562704,7970636,7608352,8481536,,4822676,2816024,3025152,3710532,5543328
60,30,60,0,45046516,19510552,,9233716,11559088,7969928,7606052,8677732,,4618968,2816880,3016296,3710212,5348196
61,36,61,0,45524596,18993480,,9466152,11553768,7968524,7614232,8921920,,4360912,2824804,3021648,3698892,5087224
62,37,62,0,46055936,18463916,,9606096,11642128,7980788,7618060,9208864,,4220096,2720024,3023996,3689820,4809980
63,23,63,0,46398412,18085896,,9608908,11798524,7964768,7735196,9291016,,4213408,2563872,3018248,3563588,4726780
64,38,64,0,47037344,17443832,,9612632,11970440,7967104,8012408,9474760,,4216252,2377836,3015876,3300128,4533740
65,44,65,0,47557536,16915384,,9622200,12139712,7964024,8123804,9707796,,4217632,2208544,3014312,3171036,4303860
66,40,66,0,48844524,16222688,,9617228,12386476,8661516,8329176,9850128,,4208536,1971704,2820008,3066312,4156128
67,43,67,0,49243016,15659816,,9610964,12539164,8836076,8356284,9900528,,4214252,1819784,2549044,2971744,4104992
68,30,68,0,49686544,15192424,,9699300,12590684,8929776,8566732,9900052,,4114884,1768304,2434728,2765708,4108800
69,31,69,0,50237820,14612752,,9963436,12585080,8976724,8814452,9898128,,3845692,1773640,2388952,2495520,4108948
70,43,70,0,50895708,13921716,,10130936,12589400,8978356,9184168,10012848,,3684184,1770688,2367420,2129984,3969440
71,61,71,0,51383456,13442012,,10122872,12599656,9069756,9305956,10285216,,3692672,1771064,2266508,1998508,3713260
