Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,0,0,0,1,0,0,8980176,29908116,,629068,651320,3062176,1627272,3010340,,5070276,4453348,6602436,8943592,4838464
2,11,0,0,0,2,0,0,8980860,29899808,,629176,651336,3062476,1627288,3010584,,5069476,4458864,6590520,8941036,4839912
3,17,0,0,0,3,0,0,8980924,29887868,,629172,651332,3062552,1627292,3010576,,5066584,4457936,6592000,8936628,4834720
4,22,0,0,0,4,0,0,8981032,29888432,,629188,651340,3062616,1627300,3010588,,5065824,4456820,6585596,8948536,4831656
5,28,0,0,0,5,0,0,8981140,29874812,,629188,651332,3062736,1627300,3010584,,5069440,4460296,6574204,8939356,4831516
6,34,1,8.54768e+06,1,5,0,0,8981128,29873072,,629200,651348,3062684,1627284,3010612,,5070980,4450904,6585992,8941332,4823864
7,39,1,8.71741e+06,1,6,0,0,8981148,29823804,,629188,651332,3062708,1627292,3010628,,5072192,4431936,6568952,8939568,4811156
8,45,2,1.71266e+07,2,6,0,0,8981132,29832260,,629168,651300,3062704,1627292,3010668,,5071788,4428216,6559272,8944388,4828596
9,51,2,1.72024e+07,2,7,0,0,8981284,29809812,,629188,651300,3062828,1627296,3010672,,5082668,4428032,6552184,8941788,4805140
10,56,4,3.43878e+07,4,6,0,0,8981524,29788632,,629188,651296,3062912,1627392,3010736,,5072264,4429584,6531308,8937832,4817644
11,62,5,4.24653e+07,5,6,0,0,8981624,29781304,,629188,651296,3063052,1627376,3010712,,5072012,4427240,6526468,8937620,4817964
12,68,9,7.57307e+07,9,3,0,0,8982348,29727712,,629192,651296,3063100,1627384,3011376,,5067784,4406072,6523828,8936908,4793120
13,73,9,7.50831e+07,9,4,0,0,8982460,29722404,,629192,651300,3063116,1627392,3011460,,5067924,4404340,6517920,8938340,4793880
14,79,10,8.50386e+07,10,4,0,0,8982520,29726100,,629200,651296,3063168,1627404,3011452,,5077740,4406656,6516028,8938432,4787244
15,85,10,8.45333e+07,10,5,0,0,8982560,29702920,,629192,651300,3063168,1627388,3011512,,5073600,4403028,6514696,8924720,4786876
16,91,13,1.07934e+08,13,3,0,0,8982756,29662216,,629196,651300,3063212,1627420,3011628,,5069712,4395824,6498632,8919056,4778992
17,97,13,1.07581e+08,13,4,0,0,8982924,29652184,,629192,651320,3063248,1627464,3011700,,5064244,4397688,6512084,8914036,4764132
18,102,13,1.08571e+08,13,5,0,0,8983040,29640700,,629200,651312,3063236,1627520,3011772,,5066224,4395648,6505876,8917808,4755144
19,108,14,1.15684e+08,14,5,0,0,8983112,29663376,,629196,651316,3063300,1627524,3011776,,5073836,4398264,6499984,8925200,4766092
20,114,15,1.24638e+08,15,5,0,0,8983240,29616324,,629196,651296,3063376,1627612,3011760,,5068724,4395228,6475960,8909396,4767016
21,119,16,1.32679e+08,16,5,0,0,8983332,29605820,,629268,651312,3063316,1627664,3011772,,5062624,4394196,6485260,8899596,4764144
22,125,18,1.43162e+08,18,4,0,0,8983456,29603636,,629276,651316,3063372,1627744,3011748,,5061928,4376376,6492648,8914288,4758396
23,131,18,1.42555e+08,18,5,0,0,8983736,29547920,,629284,651512,3063436,1627740,3011764,,5041796,4366992,6471756,8912076,4755300
24,136,21,1.5357e+08,21,3,0,0,8984356,29527896,,629764,651516,3063500,1627732,3011844,,5031188,4357852,6475828,8918112,4744916
25,142,21,1.61396e+08,22,3,0,0,8984456,29507888,,629796,651516,3063576,1627732,3011836,,5032328,4352960,6462512,8916880,4743208
26,148,22,1.53244e+08,23,3,0,0,8984520,29513984,,629792,651584,3063572,1627740,3011832,,5034356,4364340,6459504,8912020,4743764
27,154,25,1.53386e+08,24,3,0,0,8984628,29485756,,629780,651660,3063608,1627736,3011844,,5040696,4347412,6441844,8913212,4742592
28,160,24,1.42668e+08,24,4,0,0,8984700,29465136,,629796,651656,3063656,1627744,3011848,,5042936,4346192,6443940,8892504,4739564
29,166,24,1.63894e+08,24,5,0,0,8984808,29472616,,629796,651664,3063708,1627792,3011848,,5040924,4349152,6441580,8901696,4739264
30,172,25,1.52866e+08,25,5,0,0,8985068,29487468,,629784,651720,3063772,1627812,3011980,,5040956,4338964,6455628,8908364,4743556
31,178,26,1.47568e+08,26,5,0,0,8985492,29471496,,629836,651724,3063964,1627812,3012156,,5029108,4340920,6454368,8903300,4743800
32,184,28,1.47361e+08,28,4,0,0,8985832,29422516,,629928,651720,3064176,1627784,3012224,,5024740,4337556,6453876,8883240,4723104
33,191,28,1.4605e+08,28,5,0,0,8986152,29424704,,630008,651716,3064300,1627812,3012316,,5027808,4338292,6450056,8883136,4725412
34,197,29,1.45577e+08,29,5,0,0,8986816,29404028,,630004,651720,3064560,1627884,3012648,,5030180,4337260,6430904,8890600,4715084
35,203,31,1.21741e+08,30,5,0,0,8987312,29387360,,630008,651792,3064660,1627876,3012976,,5033300,4323464,6432088,8885068,4713440
36,211,33,1.22551e+08,32,4,0,0,8987964,29376428,,630004,651900,3064804,1627932,3013324,,5029040,4323416,6434132,8867284,4722556
37,219,34,1.1846e+08,33,4,0,0,8988460,29343044,,630036,651916,3065140,1627936,3013432,,5012816,4325728,6431968,8864744,4707788
38,227,37,1.11616e+08,34,4,0,0,8989096,29312548,,630096,651912,3065312,1628000,3013776,,5010380,4299896,6434460,8866460,4701352
39,237,35,7.62619e+07,35,4,0,0,8989876,29187496,,630260,652008,3065572,1628060,3013976,,4937628,4266768,6433840,8844464,4704796
40,249,41,7.35746e+07,37,3,0,0,8990756,29203820,,630304,652072,3065808,1628084,3014488,,4985096,4265524,6412788,8843064,4697348
41,263,40,7.724e+07,39,2,0,0,8991860,29109000,,630328,652232,3066188,1628092,3015020,,4959500,4209700,6418008,8833968,4687824
42,275,39,9.75037e+07,39,3,0,0,8992904,29119760,,630312,652424,3066540,1628152,3015476,,4957332,4233032,6399712,8845612,4684072
43,283,41,9.58785e+07,39,4,0,0,8993504,29115952,,630288,652428,3066796,1628152,3015840,,4944172,4236168,6407748,8838376,4689488
44,292,44,1.02644e+08,40,4,0,0,8994364,29088140,,630416,652428,3067068,1628236,3016216,,4921836,4240496,6397632,8850928,4677248
45,303,42,8.51008e+07,41,4,0,0,8994956,29078420,,630408,652452,3067256,1628300,3016540,,4945176,4221436,6400196,8829492,4682120
46,316,46,7.47445e+07,42,4,0,0,8995936,29035444,,630404,652596,3067516,1628296,3017124,,4931496,4201648,6388924,8832488,4680888
47,329,51,6.84991e+07,43,4,0,0,8998500,28968072,,631576,652664,3067980,1628300,3017980,,4927040,4212936,6387788,8838700,4601608
48,340,45,9.00081e+07,44,4,0,0,8999124,28992128,,631608,652588,3068188,1628288,3018452,,4928944,4207116,6390000,8834712,4631356
49,349,47,8.83102e+07,45,4,0,0,9000076,28895972,,631752,652700,3068508,1628316,3018800,,4873920,4181020,6379368,8829252,4632412
50,360,48,8.25587e+07,45,5,0,0,9000660,28942472,,631684,652720,3068732,1628304,3019220,,4909524,4178960,6386320,8832480,4635188
51,371,46,7.95095e+07,45,6,0,0,9001460,28917300,,631772,652844,3068924,1628308,3019612,,4900064,4162056,6384608,8832332,4638240
52,382,47,1.00091e+08,47,5,0,0,9002408,28832628,,631788,652792,3069264,1628368,3020196,,4889876,4180452,6342396,8826208,4593696
53,391,51,1.15553e+08,49,4,0,0,9003156,28852336,,631788,652744,3069760,1628372,3020492,,4883816,4169640,6369696,8823980,4605204
54,402,53,1.00961e+08,51,3,0,0,9004088,28813184,,631832,652824,3070040,1628384,3021008,,4865452,4152632,6363792,8828528,4602780
55,412,54,7.55978e+07,51,4,0,0,9004904,28769472,,631924,652836,3070356,1628396,3021392,,4833720,4143276,6353964,8828444,4610068
56,424,55,1.07859e+08,52,4,0,0,9005992,28731952,,631992,652820,3070732,1628392,3022056,,4848244,4135304,6353508,8818228,4576668
57,439,60,9.42497e+07,54,3,0,0,9007148,28653932,,632056,652940,3071184,1628392,3022576,,4847560,4108344,6349528,8802720,4545780
58,453,57,9.77925e+07,55,3,0,0,9008168,28731108,,632052,652900,3071444,1628532,3023240,,4847504,4151968,6328304,8800932,4602400
59,465,63,9.20934e+07,55,4,0,0,9008972,28694408,,632032,652972,3071640,1628536,3023792,,4813832,4146460,6323876,8806504,4603736
60,475,57,9.58061e+07,56,4,0,0,9009624,28674912,,632088,652928,3071824,1628540,3024244,,4817500,4117864,6330844,8806904,4601800
61,485,63,9.22379e+07,58,3,0,0,9010492,28623536,,632080,653020,3072084,1628596,3024712,,4823276,4135992,6300788,8794428,4569052
62,495,66,1.04126e+08,59,3,0,0,9011520,28622080,,632092,653136,3072480,1628600,3025212,,4824996,4138212,6289124,8796460,4573288
63,507,64,8.53931e+07,60,3,0,0,9012596,28548340,,632092,653180,3072892,1628744,3025688,,4808340,4088864,6297240,8769416,4584480
64,522,68,7.48033e+07,61,3,0,0,9014496,28595884,,633000,653276,3073152,1628736,3026332,,4821568,4112900,6295692,8776520,4589204
65,536,68,9.45341e+07,61,4,0,0,9015996,28500232,,633284,653404,3073532,1628756,3027020,,4796904,4097488,6265100,8781276,4559464
66,547,63,9.06595e+07,62,4,0,0,9016568,28569036,,633328,653268,3073816,1628744,3027412,,4797288,4107196,6303544,8777380,4583628
67,559,65,8.20425e+07,63,4,0,0,9017348,28518364,,633308,653336,3074216,1628744,3027744,,4772668,4118524,6271560,8770816,4584796
68,573,73,1.00694e+08,65,3,0,0,9018352,28488788,,633424,653328,3074508,1628756,3028336,,4769280,4109496,6257400,8776348,4576264
69,586,73,1.1286e+08,66,3,0,0,9019696,28466996,,633428,653676,3074872,1628760,3028960,,4774988,4052076,6288756,8769868,4581308
70,599,75,9.95819e+07,67,3,0,0,9020396,28473172,,633416,653620,3075052,1628756,3029552,,4767384,4090492,6267344,8769184,4578768
71,611,71,1.00323e+08,67,4,0,0,9022016,28411648,,633424,654056,3075528,1628748,3030260,,4768772,4086988,6292492,8749184,4514212
72,622,75,9.35603e+07,70,2,0,0,9022976,28419500,,633516,654060,3075724,1628832,3030844,,4743668,4076268,6293304,8766824,4539436
73,634,84,9.58541e+07,70,2,0,0,9023548,28444448,,633584,654076,3075936,1628836,3031116,,4765664,4075904,6292952,8761192,4548736
74,645,76,1.09515e+08,70,2,0,0,9024328,28403788,,633592,654092,3076360,1628840,3031444,,4753040,4044488,6285460,8766964,4553836
75,656,79,9.05522e+07,70,2,0,0,9025568,28418048,,633604,654084,3076736,1628928,3032216,,4752308,4069320,6282300,8766016,4548104
76,670,78,8.64784e+07,70,2,0,0,9026284,28385740,,633604,654140,3077028,1628928,3032584,,4747608,4063256,6282132,8757940,4534804
77,680,75,1.05207e+08,70,2,0,0,9027284,28374532,,633616,654520,3077156,1629012,3032980,,4746196,4062148,6282220,8752180,4531788
78,697,80,9.78965e+07,70,2,0,0,9028620,28352636,,633616,654692,3077600,1629012,3033700,,4741548,4038368,6283936,8755520,4533264
79,712,75,1.0232e+08,72,3,0,0,9029680,28299664,,633684,654692,3077936,1628984,3034384,,4742652,4031980,6280956,8735808,4508268
80,725,86,7.59653e+07,77,1,0,0,9030504,28211396,,633812,654732,3078124,1628988,3034848,,4676956,3994152,6282956,8750056,4507276
81,735,88,1.06314e+08,78,2,0,0,9031152,28232440,,633816,654768,3078316,1629068,3035184,,4701144,4003176,6287104,8735244,4505772
82,747,88,9.64632e+07,79,2,0,0,9032200,28223028,,633812,654756,3078772,1629060,3035800,,4712428,4010256,6276956,8740924,4482464
83,759,85,9.15473e+07,80,3,0,0,9033260,28149544,,633816,654832,3079040,1629076,3036496,,4701092,4020404,6223744,8729960,4474344
84,769,90,1.05622e+08,81,3,0,0,9033796,28159484,,633832,654816,3079344,1629124,3036680,,4690392,4011836,6257288,8701988,4497980
85,782,92,9.11588e+07,82,3,0,0,9034916,28164736,,633940,654824,3079680,1629260,3037212,,4667496,4049996,6243544,8703948,4499752
86,794,91,9.58108e+07,84,2,0,0,9035512,28177088,,633828,654816,3079972,1629324,3037572,,4706304,4046928,6240940,8708312,4474604
87,803,85,9.56511e+07,84,3,0,0,9036208,28154708,,633824,654868,3080184,1629324,3038008,,4686808,4034908,6240920,8710216,4481856
88,814,97,9.27327e+07,84,4,0,0,9037084,28096524,,633896,654892,3080552,1629336,3038408,,4698056,4005060,6234324,8710464,4448620
89,828,98,9.54598e+07,85,4,0,0,9038752,28145964,,633920,654924,3081576,1629320,3039012,,4694900,4032388,6224072,8703996,4490608
90,841,106,9.45689e+07,86,4,0,0,9039340,28090032,,633908,654892,3081720,1629404,3039416,,4698088,4031228,6193700,8678372,4488644
91,853,93,9.34886e+07,87,4,0,0,9040356,28102988,,633916,654892,3082172,1629400,3039976,,4685376,4024564,6205292,8698516,4489240
92,865,114,1.12626e+08,88,4,0,0,9041076,28039564,,633904,655000,3082420,1629396,3040356,,4683928,3993076,6176500,8702408,4483652
93,878,99,9.07884e+07,89,4,0,0,9042140,28028656,,633992,655000,3082980,1629412,3040756,,4658776,3973688,6206600,8697940,4491652
94,889,103,9.39582e+07,90,4,0,0,9042924,28030608,,634128,654996,3083240,1629404,3041156,,4641792,4016692,6210168,8691620,4470336
95,900,93,8.56116e+07,90,5,0,0,9046996,28052132,,634104,655012,3086712,1629484,3041684,,4670412,3995916,6210572,8693004,4482228
96,911,116,1.07744e+08,91,5,0,0,9047600,28023340,,634108,655268,3086908,1629464,3041852,,4672148,3958460,6210148,8700032,4482552
97,923,111,1.03364e+08,93,4,0,0,9048392,27951172,,634124,655204,3087228,1629476,3042360,,4656772,3990688,6168388,8687568,4447756
98,934,102,9.31324e+07,94,4,0,0,9049228,27991540,,634120,655212,3087552,1629476,3042868,,4650164,3997924,6181756,8697544,4464152
99,945,112,9.45425e+07,96,3,0,0,9050052,27926212,,634320,655184,3087824,1629484,3043240,,4614084,3980176,6166432,8696040,4469480
100,957,103,8.99369e+07,96,4,0,0,9050716,27926928,,634328,655216,3088020,1629492,3043660,,4615696,3987376,6170008,8693276,4460572
101,971,110,1.02728e+08,97,4,0,0,9051908,27840164,,634320,655276,3088492,1629576,3044244,,4618308,3969572,6139232,8663908,4449144
102,984,121,9.9459e+07,99,3,0,0,9052872,27850324,,634260,655296,3088812,1629532,3044972,,4584432,3974588,6178788,8673460,4439056
103,999,117,9.80259e+07,101,2,0,0,9053940,27810560,,634420,655328,3089088,1629592,3045512,,4584848,3952016,6177760,8661744,4434192
104,1014,132,9.81812e+07,102,2,0,0,9054892,27787244,,634476,655292,3089444,1629640,3046040,,4568588,3960972,6151644,8673904,4432136
105,1026,131,1.06352e+08,103,2,0,0,9055716,27764616,,634484,655356,3089816,1629632,3046428,,4586896,3941200,6119156,8678320,4439044
106,1035,120,1.0122e+08,103,3,0,0,9056544,27769572,,634476,655376,3090096,1629640,3046956,,4585732,3953944,6147408,8647672,4434816
107,1045,118,8.93231e+07,103,4,0,0,9057308,27792640,,634488,655380,3090344,1629700,3047396,,4587668,3953052,6153488,8664412,4434020
108,1059,117,9.15312e+07,105,3,0,0,9058420,27759908,,634560,655412,3090636,1629836,3047976,,4584892,3957268,6157904,8622696,4437148
109,1070,128,9.01605e+07,107,2,0,0,9058936,27768268,,634548,655372,3090856,1629820,3048340,,4588696,3952136,6159416,8629604,4438416
110,1083,115,8.40765e+07,107,3,0,0,9059956,27724720,,634556,655544,3091168,1629868,3048820,,4589492,3930496,6151608,8634456,4418668
111,1094,131,9.972e+07,107,4,0,0,9060980,27730556,,634564,655524,3091484,1629844,3049564,,4580076,3936588,6151684,8630916,4431292
112,1107,115,9.32493e+07,107,5,0,0,9061696,27707876,,634612,655532,3091740,1629848,3049964,,4554468,3937984,6153220,8632160,4430044
113,1119,124,9.34588e+07,110,3,0,0,9033708,27819792,,634644,655540,3092128,1629932,3021464,,4563040,3925512,6145988,8635984,4549268
114,1130,129,9.7423e+07,110,4,0,0,9034096,27757412,,634768,655536,3092400,1629932,3021460,,4547600,3922744,6109584,8633068,4544416
115,1143,130,9.52872e+07,112,3,0,0,9034716,27786340,,634808,655612,3092808,1629928,3021560,,4555408,3926608,6124400,8634656,4545268
116,1156,133,9.70049e+07,113,3,0,0,9035008,27777916,,634812,655604,3093076,1629916,3021600,,4559836,3924796,6122392,8635472,4535420
117,1169,134,9.22027e+07,113,4,0,0,9035520,27749552,,634880,655748,3093364,1629928,3021600,,4559432,3917020,6112524,8635368,4525208
118,1183,135,1.02826e+08,115,3,0,0,9035904,27715852,,634892,655744,3093724,1629932,3021612,,4542968,3908712,6109272,8638360,4516540
119,1194,134,9.29034e+07,115,4,0,0,9036640,27690748,,634912,655752,3094244,1629968,3021764,,4561232,3905676,6105180,8616380,4502280
120,1207,150,8.54963e+07,117,3,0,0,9036872,27657428,,634876,655760,3094492,1629996,3021748,,4556140,3891360,6099256,8613060,4497612
121,1217,141,9.10603e+07,117,4,0,0,9037280,27436748,,635004,655764,3094644,1630132,3021736,,4449092,3812636,6125708,8550832,4498480
122,1229,135,8.67358e+07,118,4,0,0,9037568,27375840,,635016,655780,3094860,1630144,3021768,,4431096,3742416,6125196,8610204,4466928
123,1241,141,9.51869e+07,119,4,0,0,9037972,27223728,,635016,655748,3095292,1630136,3021780,,4377560,3699356,6082376,8609056,4455380
124,1253,144,9.78966e+07,119,5,0,0,9094028,27282152,,635028,655848,3151136,1630144,3021872,,4326692,3666408,6232484,8604864,4451704
125,1264,133,8.83075e+07,119,6,0,0,9094080,27307728,,635032,655844,3151208,1630152,3021844,,4328708,3662924,6224784,8609376,4481936
126,1275,143,9.54646e+07,120,6,0,0,9094376,27241044,,635160,655924,3151212,1630224,3021856,,4272920,3693128,6210968,8603976,4460052
127,1287,144,9.40957e+07,121,6,0,0,9094376,27271632,,635048,655980,3151200,1630224,3021924,,4321112,3682736,6211868,8585860,4470056
128,1301,155,1.04474e+08,123,5,0,0,9094872,27174380,,635028,656236,3151332,1630288,3021988,,4292328,3692916,6200744,8590456,4397936
129,1314,150,9.5649e+07,125,4,0,0,9094700,27253224,,635048,656048,3151340,1630300,3021964,,4299324,3727008,6206016,8579896,4440980
130,1325,146,9.64994e+07,125,5,0,0,9094832,27264564,,635068,656068,3151348,1630384,3021964,,4296604,3720772,6204492,8576956,4465740
131,1336,153,9.356e+07,125,6,0,0,9094996,27259112,,635176,656072,3151356,1630396,3021996,,4291984,3718760,6207164,8575736,4465468
132,1348,150,9.50125e+07,126,6,0,0,9095048,27226312,,635184,656136,3151340,1630388,3022000,,4292420,3696024,6205604,8566800,4465464
133,1359,156,1.05041e+08,126,7,0,0,9095160,27211556,,635252,656112,3151348,1630388,3022060,,4300660,3650872,6203776,8591892,4464356
134,1372,151,9.44967e+07,128,6,0,0,9095292,27134544,,635248,656176,3151412,1630376,3022080,,4294724,3640148,6198764,8550668,4450240
135,1384,164,1.01621e+08,129,6,0,0,9095460,27099972,,635312,656248,3151416,1630392,3022092,,4225928,3638728,6203156,8569940,4462220
136,1396,157,9.80857e+07,129,7,0,0,9095620,27145860,,635508,656224,3151416,1630400,3022072,,4276008,3639500,6205984,8561416,4462952
137,1408,153,9.6506e+07,132,5,0,0,9095728,27080736,,635404,656312,3151368,1630468,3022176,,4277408,3634564,6174456,8575268,4419040
138,1420,173,1.04981e+08,134,4,0,0,9095976,27111568,,635404,656280,3151480,1630468,3022344,,4279436,3628244,6188484,8563828,4451576
139,1432,164,9.8082e+07,134,5,0,0,9096096,27043716,,635416,656308,3151548,1630480,3022344,,4269052,3627252,6185912,8512248,4449252
140,1443,160,9.80826e+07,135,5,0,0,9096056,27060312,,635488,656316,3151548,1630532,3022172,,4265188,3630736,6184236,8548560,4431592
141,1453,157,9.36255e+07,136,5,0,0,9096148,27020616,,635460,656280,3151576,1630620,3022212,,4267872,3630788,6153592,8533424,4434940
142,1464,152,8.97451e+07,137,5,0,0,9096352,26939824,,635468,656372,3151628,1630600,3022284,,4240508,3590160,6169892,8508212,4431052
143,1475,167,1.04791e+08,137,6,0,0,9096512,27000656,,635528,656376,3151700,1630624,3022284,,4253824,3593164,6168228,8544488,4440952
144,1488,180,1.05933e+08,139,5,0,0,9096640,26966032,,635544,656436,3151712,1630680,3022268,,4239016,3610752,6154940,8521992,4439332
145,1500,174,9.19837e+07,139,6,0,0,9096736,26993368,,635616,656424,3151716,1630688,3022292,,4238184,3611732,6159696,8544656,4439100
146,1513,171,1.00526e+08,139,7,0,0,9096860,26947856,,635620,656436,3151712,1630764,3022328,,4248540,3611028,6167144,8543156,4377988
147,1524,177,9.72379e+07,140,7,0,0,9097156,26966300,,635624,656516,3151776,1630740,3022500,,4250680,3594480,6160788,8542268,4418084
148,1536,175,1.01254e+08,140,8,0,0,9097132,26948992,,635632,656528,3151776,1630760,3022436,,4236608,3594636,6158120,8537504,4422124
149,1548,176,1.03035e+08,142,7,0,0,9097624,26893100,,635684,656932,3151780,1630828,3022400,,4249728,3580144,6143868,8525520,4393840
150,1561,173,8.55357e+07,144,6,0,0,9097780,26901364,,635692,656948,3151844,1630768,3022528,,4247332,3583780,6141768,8528500,4399984
151,1573,171,9.40026e+07,144,7,0,0,9098064,26871676,,635696,657020,3152000,1630764,3022584,,4245044,3580572,6111160,8531644,4403256
152,1585,183,9.75687e+07,146,6,0,0,9098000,26921292,,635692,657032,3151924,1630760,3022592,,4230792,3615000,6140464,8532516,4402520
153,1597,174,9.82212e+07,146,7,0,0,9098152,26932580,,635696,657020,3151912,1630940,3022584,,4232804,3660012,6143884,8496812,4399068
154,1610,183,1.09755e+08,148,6,0,0,9098268,26939552,,635788,657012,3151912,1630904,3022652,,4237760,3646536,6142344,8524268,4388644
155,1621,181,1.00604e+08,149,6,0,0,9098352,26920828,,635844,657024,3151932,1630908,3022644,,4277420,3631864,6143164,8523556,4344824
156,1631,181,9.80185e+07,150,6,0,0,9098580,26950472,,635824,657144,3151964,1630916,3022732,,4299976,3634448,6132512,8509236,4374300
157,1643,197,9.71856e+07,150,7,0,0,9098584,26951228,,635848,657156,3151932,1630908,3022740,,4291332,3635240,6131060,8516072,4377524
158,1654,174,9.71797e+07,151,7,0,0,9098724,26886860,,635932,657148,3151992,1630924,3022728,,4249188,3638752,6128368,8495012,4375540
159,1664,191,1.02485e+08,152,7,0,0,9099124,26873348,,635960,657136,3152000,1631288,3022740,,4239660,3638568,6117800,8505516,4371804
160,1676,180,9.32335e+07,153,7,0,0,9099040,26820060,,635924,657108,3152004,1631048,3022956,,4254768,3613460,6113312,8496960,4341560
161,1687,187,9.96394e+07,156,5,0,0,9099260,26841944,,635996,657224,3152068,1631180,3022792,,4265976,3619104,6106684,8481412,4368768
162,1697,188,9.89145e+07,156,6,0,0,9099332,26840428,,635992,657220,3152088,1631188,3022844,,4266232,3615576,6114468,8476912,4367240
163,1710,193,9.41509e+07,156,7,0,0,9099600,26766124,,636128,657228,3152152,1631204,3022888,,4212860,3620696,6114544,8460424,4357600
164,1723,191,9.79133e+07,157,7,0,0,9099904,26801752,,636140,657344,3152140,1631352,3022928,,4261632,3605404,6109028,8484004,4341684
165,1735,212,1.01872e+08,158,7,0,0,9100004,26739864,,636124,657408,3152140,1631336,3022996,,4270124,3578828,6071892,8487028,4331992
166,1746,199,9.98999e+07,158,8,0,0,9100096,26778300,,636136,657380,3152236,1631340,3023004,,4267552,3586740,6088700,8490936,4344372
167,1759,209,1.0913e+08,159,8,0,0,9100120,26751852,,636136,657420,3152212,1631340,3023012,,4260596,3591480,6099780,8476492,4323504
168,1771,195,9.2139e+07,159,9,0,0,9100092,26757908,,636080,657440,3152224,1631280,3023068,,4265064,3588308,6087908,8476244,4340384
169,1783,196,1.03086e+08,159,10,0,0,9100252,26739724,,636088,657444,3152276,1631288,3023156,,4251428,3593196,6094144,8477952,4323004
170,1794,189,9.35952e+07,160,10,0,0,9100416,26641436,,636156,657528,3152368,1631280,3023084,,4226232,3536588,6072712,8461088,4344816
171,1806,206,1.045e+08,162,9,0,0,9100536,26624136,,636148,657560,3152364,1631360,3023104,,4227228,3518844,6074068,8475208,4328788
172,1818,215,9.97183e+07,163,9,0,0,9100640,26648224,,636148,657584,3152368,1631452,3023088,,4214728,3541152,6080128,8477040,4335176
173,1830,206,9.99925e+07,164,9,0,0,9100792,26619444,,636240,657592,3152376,1631428,3023156,,4206440,3546492,6080424,8460536,4325552
174,1842,215,1.13771e+08,164,10,0,0,9100908,26640320,,636300,657588,3152372,1631428,3023220,,4233808,3552068,6085796,8447628,4321020
175,1855,215,1.05562e+08,166,9,0,0,9101088,26598460,,636288,657620,3152380,1631572,3023228,,4260140,3504604,6084100,8436772,4312844
176,1868,222,1.08712e+08,167,9,0,0,9101132,26616952,,636284,657664,3152380,1631572,3023232,,4281528,3513452,6080988,8444280,4296704
177,1879,205,1.03355e+08,168,9,0,0,9101300,26522952,,636304,657664,3152472,1631636,3023224,,4223992,3515248,6051620,8433156,4298936
178,1891,205,9.23589e+07,169,9,0,0,9101512,26495352,,636308,657664,3152532,1631652,3023356,,4228340,3517120,6053396,8436816,4259680
179,1904,202,9.99463e+07,170,9,0,0,9101636,26449172,,636308,657796,3152520,1631648,3023364,,4211080,3446968,6058352,8438340,4294432
180,1916,222,1.12367e+08,171,9,0,0,9101672,26436536,,636300,657812,3152532,1631648,3023380,,4235328,3464492,6017644,8439608,4279464
181,1928,226,1.10368e+08,173,8,0,0,9101888,26386980,,636376,657784,3152612,1631724,3023392,,4226016,3443624,6000500,8429288,4287552
182,1940,223,1.08587e+08,173,9,0,0,9101964,26401928,,636452,657804,3152600,1631728,3023380,,4224052,3444532,6021636,8423048,4288660
183,1951,206,9.49495e+07,174,9,0,0,9102036,26360016,,636448,657804,3152616,1631720,3023448,,4226744,3451984,5997656,8408292,4275340
184,1962,221,1.05291e+08,176,8,0,0,9102476,26299808,,636468,657964,3152840,1631732,3023472,,4193756,3439988,5968248,8424604,4273212
185,1974,221,1.0138e+08,177,8,0,0,9102480,26316024,,636468,658016,3152828,1631728,3023440,,4205916,3441760,5971072,8421116,4276160
186,1985,215,9.64529e+07,177,9,0,0,9103296,26281900,,636660,658024,3152812,1631804,3023996,,4155396,3427964,6012516,8424320,4261704
187,1996,225,9.69924e+07,178,9,0,0,9103388,26294756,,636608,658032,3152792,1631820,3024136,,4202860,3436072,6012640,8409036,4234148
188,2007,223,1.03936e+08,179,9,0,0,9103828,26283056,,636592,658028,3152832,1631876,3024500,,4190576,3420616,6016620,8400896,4254348
189,2018,223,1.01794e+08,179,10,0,0,9104036,26259724,,636644,658168,3152840,1631884,3024500,,4163824,3427796,6007788,8406348,4253968
190,2029,235,1.07863e+08,181,9,0,0,9104112,26230612,,636768,658168,3152828,1631876,3024472,,4156148,3425972,6010780,8409496,4228216
191,2040,235,1.03411e+08,182,9,0,0,9104416,26223088,,636848,658180,3152828,1631940,3024620,,4142772,3431808,6006884,8394660,4246964
192,2053,244,1.16157e+08,182,10,0,0,9104424,26203408,,636836,658180,3152820,1631960,3024628,,4153268,3431396,6007088,8404560,4207096
193,2064,247,1.07291e+08,184,9,0,0,9104412,26182224,,636836,658140,3152820,1631960,3024656,,4148512,3416332,6008328,8413560,4195492
194,2078,218,1.03491e+08,184,10,0,0,9104604,26221060,,636840,658240,3152904,1631960,3024660,,4147448,3420068,5992620,8423352,4237572
195,2089,229,1.02713e+08,184,11,0,0,9104856,26162328,,637008,658244,3152908,1632056,3024640,,4114592,3421448,5998684,8391484,4236120
196,2101,225,9.55349e+07,185,11,0,0,9104792,26175196,,636932,658252,3152896,1632052,3024660,,4132528,3420368,6002044,8410284,4209972
