Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,0,0,38104964,70823556,98251680,128,28468104,,8180052,11034312,11597780,7292820,,21070848,15327588,13063856,21361264,,26572732,23454120,21186780,27038048,,32,32,32,32,,5695936,8454992,8485980,5831196
3,1,1,0,0,0,0,0,38050976,70906360,98337424,128,28470968,,8156068,11036992,11561668,7296248,,21103804,15324388,13116896,21361272,,26606056,23451116,21239948,27040304,,32,32,32,32,,5696304,8455156,8486064,5833444
6,1,2,0,0,0,0,0,38051300,70925140,98357972,128,28472796,,8150240,11039964,11564512,7296584,,21109316,15326556,13128976,21360292,,26611580,23454756,21252292,27039344,,32,32,32,32,,5696308,8456668,8486352,5833468
9,0,3,0,0,0,0,0,38074764,70903228,98341024,128,28477708,,8161836,11040500,11574208,7298220,,21097668,15330272,13118124,21357164,,26600076,23462852,21241668,27036428,,32,32,32,32,,5696464,8461020,8486552,5833672
11,1,4,0,0,0,0,0,38070988,70882496,98328004,128,28485488,,8146208,11041276,11580208,7303296,,21112380,15322344,13107752,21340020,,26614796,23456548,21233068,27023592,,32,32,32,32,,5696472,8462700,8488332,5837984
14,1,5,0,0,0,0,0,38076468,70856520,98302488,128,28485908,,8161024,11044260,11566828,7304356,,21090912,15322260,13118636,21324712,,26593472,23456684,21244036,27008296,,32,32,32,32,,5696616,8462872,8488428,5837992
