Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,1,7.26873e+06,1,0,0,0,9482056,29202224,,1122284,884988,3125064,1430644,2919076,,3173040,3791564,6928748,9612176,5696696
2,11,2,1.38954e+07,2,0,0,0,9482748,29182572,,1122372,885084,3125272,1430660,2919360,,3173324,3790144,6900968,9629060,5689076
3,17,3,2.08517e+07,3,0,0,0,9482952,29165160,,1122388,885088,3125444,1430660,2919372,,3171212,3797864,6880372,9624432,5691280
4,23,4,2.88593e+07,4,0,0,0,9483036,29112524,,1122376,885084,3125540,1430664,2919372,,3169896,3788996,6846484,9621556,5685592
5,28,5,3.62135e+07,5,0,0,0,9483116,29136092,,1122372,885092,3125620,1430664,2919368,,3170276,3792748,6864880,9620684,5687504
6,34,5,3.85297e+07,5,1,0,0,9483204,29097460,,1122376,885096,3125692,1430660,2919380,,3169856,3787488,6847652,9620644,5671820
7,40,5,3.94374e+07,5,2,0,0,9483268,29112004,,1122376,885092,3125688,1430664,2919448,,3175744,3791816,6847092,9621492,5675860
8,45,6,4.64147e+07,6,2,0,0,9483340,29106600,,1122376,885108,3125684,1430668,2919504,,3173324,3799888,6834980,9618212,5680196
9,51,7,5.38309e+07,7,2,0,0,9483492,29145060,,1122384,885088,3125816,1430668,2919536,,3228088,3792368,6835768,9624180,5664656
10,57,8,6.12966e+07,8,2,0,0,9483588,29130124,,1122384,885100,3125852,1430672,2919580,,3231132,3788116,6827796,9622316,5660764
11,62,8,6.34467e+07,8,3,0,0,9483712,29167420,,1122388,885100,3125860,1430784,2919580,,3233520,3834560,6826904,9610716,5661720
12,68,8,6.47384e+07,8,4,0,0,9483824,29165648,,1122384,885108,3125856,1430756,2919720,,3231552,3835060,6824956,9611900,5662180
13,74,8,6.56862e+07,8,5,0,0,9483928,29118536,,1122384,885100,3125924,1430752,2919768,,3198968,3836456,6820028,9613724,5649360
14,79,9,7.32578e+07,9,5,0,0,9483984,29093044,,1122392,885108,3125936,1430752,2919796,,3195444,3840248,6802276,9616896,5638180
15,85,9,7.25307e+07,9,4,0,0,9485560,29062404,,1122368,885100,3125980,1430756,2921356,,3193668,3832572,6810344,9592072,5633748
16,91,9,7.39258e+07,9,4,0,0,9485956,29087948,,1122384,885112,3126016,1430820,2921624,,3191844,3836464,6816536,9606236,5636868
