Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,5,0,0,0,1,0,0,8948188,36407664,,803952,664372,3075340,1359120,3045404,,6392344,5325552,7341368,10198376,7150024
2,11,0,0,0,2,0,0,8949584,36167568,,804156,664512,3076168,1359140,3045608,,6381208,5324712,7104900,10204620,7152128
3,17,0,0,0,3,0,0,8950820,35879592,,804152,664508,3076220,1359144,3046796,,6395896,5323180,7030636,10199484,6930396
4,22,0,0,0,4,0,0,8951532,35567576,,804164,664472,3076920,1359148,3046828,,6395268,5321352,6863812,10197888,6789256
5,28,0,0,0,5,0,0,8962224,35240904,,804172,664480,3076924,1359168,3057480,,6393016,5317872,6676820,10193788,6659408
6,34,0,0,0,6,0,0,8962192,35002496,,804160,664468,3076924,1359156,3057484,,6390256,5314848,6657232,10192832,6447328
7,39,1,4.01681e+06,1,6,0,0,8962276,34573476,,804188,664472,3076932,1359180,3057504,,6380404,5313500,6282748,10185384,6411440
8,45,2,8.07183e+06,3,5,0,0,8966592,34078496,,804168,664500,3076964,1363444,3057516,,6384500,5317588,6398788,9892128,6085492
9,51,4,1.65243e+07,5,4,0,0,8967444,33734552,,804168,664476,3077640,1363496,3057664,,6388936,5322764,6117324,9775956,6129572
10,56,6,2.74193e+07,6,4,0,0,8968584,33463368,,804832,664480,3077848,1363764,3057660,,6190408,5386572,6093816,9606536,6186036
11,62,6,2.61898e+07,6,5,0,0,8970208,33148704,,805616,665288,3077880,1363768,3057656,,6051812,5221752,6083492,9606580,6185068
12,68,8,3.46045e+07,8,4,0,0,8971276,32742368,,806032,665292,3077880,1364416,3057656,,6042964,5006920,6062700,9453708,6176076
13,73,5,2.18681e+07,8,5,0,0,8974968,32474376,,806016,668396,3077880,1364472,3058204,,6047152,4990256,6068896,9273312,6094760
14,79,5,2.12448e+07,8,6,0,0,8975364,32213340,,806132,668416,3077884,1364588,3058344,,6033112,4991884,6046160,9271332,5870852
15,85,6,2.66282e+07,9,6,0,0,8976136,31543064,,806224,668432,3078560,1364552,3058368,,5676776,4999464,5751172,9264952,5850700
16,90,7,3.071e+07,10,6,0,0,9057316,31433516,,808032,668472,3078564,1365276,3136972,,5770680,4997884,5707304,8987680,5969968
17,96,8,3.55166e+07,11,6,0,0,9061640,31045712,,808056,672736,3078608,1365272,3136968,,5784140,4662360,5698624,8925388,5975200
18,102,7,3.1456e+07,11,7,0,0,9053012,30620000,,808044,673428,3078608,1365272,3127660,,5780804,4365692,5703084,8924596,5845824
19,107,7,3.23426e+07,11,8,0,0,9055220,30281004,,808652,674996,3078608,1365268,3127696,,5650512,4350200,5694756,8926636,5658900
20,113,8,3.22865e+07,12,8,0,0,9061904,29935476,,808724,674992,3079352,1365272,3133564,,5453816,4349536,5559532,8921180,5651412
21,119,10,4.36375e+07,14,7,0,0,9063140,29690396,,809464,674996,3079352,1365280,3134048,,5444700,4347800,5353304,8903896,5640696
22,125,11,4.86398e+07,15,7,0,0,9063880,29344456,,809480,674996,3079412,1365948,3134044,,5426688,4347816,5346008,8585876,5638068
23,130,12,5.20072e+07,16,7,0,0,9064716,29066208,,810160,674992,3079420,1366096,3134048,,5166436,4345956,5344176,8566220,5643420
24,136,14,5.93027e+07,18,6,0,0,9069772,28588952,,810256,676928,3079412,1366196,3136980,,5084768,4311244,5338304,8553156,5301480
25,142,15,6.44928e+07,19,6,0,0,9070544,28362444,,810256,677652,3079412,1366196,3137028,,5081868,4119992,5325644,8549836,5285104
26,148,17,6.74846e+07,22,4,0,0,9073412,28054544,,811924,677648,3080540,1366216,3137084,,5071328,3950568,5214936,8545404,5272308
27,153,19,8.08697e+07,23,4,0,0,9073576,27804300,,811976,677716,3080600,1366204,3137080,,4999108,3973984,5006528,8549116,5275564
28,159,20,8.0828e+07,24,4,0,0,9074368,27539864,,812672,677716,3080604,1366296,3137080,,4750928,3968880,4989708,8536804,5293544
29,165,20,8.39932e+07,25,4,0,0,9074500,27491576,,812664,677748,3080608,1366296,3137184,,4721240,3968832,4990988,8537644,5272872
30,171,23,9.12119e+07,27,3,0,0,9053040,27250440,,812664,677720,3080676,1366296,3115684,,4718336,3965168,4985644,8545132,5036160
31,176,23,9.08026e+07,27,4,0,0,9067292,26653828,,812704,678512,3080672,1366976,3128428,,4722472,3649780,4995488,8333896,4952192
32,182,25,9.07101e+07,29,3,0,0,9068476,26309312,,812708,679060,3081296,1366980,3128432,,4706692,3628488,4819820,8201784,4952528
33,188,25,7.66386e+07,29,4,0,0,9068752,26079444,,812840,679064,3081356,1367048,3128444,,4649608,3620508,4657936,8193332,4958060
34,194,25,9.26872e+07,29,5,0,0,9068752,26076372,,812780,679128,3081356,1367052,3128436,,4689600,3607084,4623684,8202352,4953652
35,200,25,9.09794e+07,29,6,0,0,9069436,25833744,,813468,679132,3081356,1367040,3128440,,4459840,3588164,4636140,8205096,4944504
36,206,25,8.94594e+07,29,7,0,0,9070848,25187408,,813468,679828,3081356,1367752,3128444,,4381588,3280820,4633196,7950376,4941428
37,212,25,9.21211e+07,29,8,0,0,9068000,24931016,,813476,679940,3081360,1367756,3125468,,4369376,3272300,4631828,7858704,4798808
38,217,27,8.64449e+07,32,6,0,0,9079584,24594328,,813496,679940,3082512,1367764,3135872,,4349864,3271600,4479064,7854432,4639368
39,223,28,8.94555e+07,32,7,0,0,9079904,24364708,,813452,679928,3082668,1367660,3136196,,4349592,3269936,4325908,7856788,4562484
40,229,29,9.04165e+07,34,6,0,0,9080844,24051312,,813448,679944,3082660,1367760,3137032,,4358244,3262624,4271372,7855900,4303172
41,235,29,9.19732e+07,34,7,0,0,9080928,23972468,,813452,679944,3082668,1367752,3137112,,4356440,3262684,4278840,7836184,4238320
42,241,29,8.05949e+07,34,8,0,0,9082524,23378724,,814132,679992,3082680,1368496,3137224,,4055356,3212548,4269220,7604164,4237436
43,248,31,7.91222e+07,36,7,0,0,9082104,23191160,,814224,679412,3082720,1368432,3137316,,3994568,3184908,4282284,7489380,4240020
44,254,33,7.65124e+07,38,6,0,0,9079156,23913056,,814236,676376,3082716,1368472,3137356,,3977276,3984036,4243244,7479516,4228984
45,260,35,7.39344e+07,38,7,0,0,9079828,23572380,,814236,676376,3083392,1368472,3137352,,3955784,3886308,4022872,7478804,4228612
46,266,35,8.05254e+07,40,6,0,0,9080288,23463492,,814228,676804,3083376,1368484,3137396,,3962252,3859208,3919000,7488416,4234616
47,272,36,7.74327e+07,41,6,0,0,9066264,23085320,,814212,676824,3083416,1369208,3122604,,3968492,3862792,3879504,7312916,4061616
48,278,38,7.32296e+07,43,5,0,0,9068140,22850840,,814252,676908,3083484,1369212,3124284,,3971312,3844468,3882508,7174352,3978200
49,285,39,7.88487e+07,44,5,0,0,9063016,22650560,,814204,671868,3083456,1369216,3124272,,3946488,3730456,3891408,7140748,3941460
50,291,40,7.97886e+07,44,6,0,0,9072488,22418924,,814900,671936,3083452,1369212,3132988,,3818204,3635944,3891496,7142512,3930768
51,297,41,8.49986e+07,46,5,0,0,9080900,21888400,,814940,679456,3084268,1369240,3132996,,3644044,3557760,3640952,7120456,3925188
52,303,42,8.41273e+07,46,6,0,0,9082160,21671164,,815664,679936,3084284,1369276,3133000,,3515252,3537756,3575084,7119880,3923192
53,309,41,8.14838e+07,46,7,0,0,9085244,21398984,,815648,683024,3084292,1369260,3133020,,3410100,3410412,3558536,7092076,3927860
54,316,41,7.59299e+07,46,8,0,0,9086456,20907588,,815652,683568,3084284,1369948,3133004,,3351008,3315472,3558332,6756796,3925980
55,322,42,7.83897e+07,46,9,0,0,9072444,20563948,,815672,683980,3084292,1369964,3118536,,3213216,3244348,3565200,6775648,3765536
56,328,43,7.84929e+07,49,7,0,0,9080192,20450804,,815664,684252,3084296,1370028,3125952,,3236920,3227104,3530948,6767232,3688600
57,335,44,8.6276e+07,50,7,0,0,9081656,20153976,,815656,684944,3085080,1370024,3125952,,3235820,3207044,3317852,6767152,3626108
58,341,44,9.22393e+07,51,7,0,0,9085324,19979872,,815692,688560,3085064,1370020,3125988,,3241692,3114728,3247548,6762824,3613080
59,347,42,8.10748e+07,51,8,0,0,9090476,19426664,,819408,689348,3085044,1370692,3125984,,3074360,2942780,3176180,6602768,3630576
60,353,42,8.1476e+07,52,7,0,0,9091520,19093528,,819860,692912,3085076,1370772,3122900,,2981272,2902524,3180032,6443080,3586620
61,360,45,7.67334e+07,53,7,0,0,9172616,18893300,,899704,693516,3085044,1370840,3123512,,2982516,2886284,3181492,6415972,3427036
62,366,43,7.79389e+07,53,8,0,0,9178372,18667604,,899720,698336,3085044,1370832,3124440,,2960452,2814168,3185696,6404188,3303100
63,372,42,7.86001e+07,53,9,0,0,9179932,18472856,,899852,698496,3085052,1370836,3125696,,2906656,2683728,3184040,6402216,3296216
64,379,44,8.4453e+07,54,9,0,0,9181188,18223312,,901112,698500,3085044,1370836,3125696,,2758336,2612716,3183948,6410352,3257960
65,385,41,8.19239e+07,54,5,0,0,9160856,17978128,,901108,698560,3085088,1370824,3105276,,2676208,2592076,3158276,6411504,3140064
66,391,39,7.2807e+07,54,5,0,0,9167444,17562456,,901152,700060,3085156,1371560,3109516,,2603028,2580236,3184000,6215080,2980112
67,398,41,7.9314e+07,54,6,0,0,9167648,17328604,,901176,700060,3085248,1371552,3109612,,2595204,2581428,3118580,6079196,2954196
68,404,39,8.41556e+07,54,5,0,0,9168804,17095932,,901164,700628,3085840,1371556,3109616,,2585524,2554792,2946776,6052140,2956700
69,410,39,7.50193e+07,54,4,0,0,9171596,16857676,,901948,702632,3085836,1371564,3109616,,2419908,2556008,2864540,6058972,2958248
70,416,40,8.14223e+07,55,4,0,0,9173296,16608180,,901948,704232,3085864,1371608,3109644,,2335200,2440516,2827904,6052156,2952404
71,422,40,7.50869e+07,55,5,0,0,9174140,16260916,,901952,704348,3085872,1372324,3109644,,2250756,2281416,2830344,5945820,2952580
72,429,42,7.17742e+07,56,6,0,0,9175660,15988676,,901916,704472,3085876,1372348,3111048,,2225916,2251348,2823360,5750932,2937120
73,435,42,7.93045e+07,57,7,0,0,9163168,15676804,,901900,706892,3085880,1372368,3096128,,2181660,2238120,2805212,5704420,2747392
74,442,48,8.81892e+07,61,7,0,0,9175076,15158300,,902532,706988,3086632,1372352,3106572,,2091508,2214716,2552316,5710832,2588928
75,448,49,8.04693e+07,66,6,0,0,9173116,14860380,,902612,703056,3086632,1372372,3108444,,1955164,2174492,2489592,5705668,2535464
76,455,58,8.42519e+07,69,5,0,0,9173844,14679648,,902664,703664,3086636,1372364,3108516,,1912836,2052216,2473448,5699796,2541352
77,461,56,7.57315e+07,69,6,0,0,9136708,14217396,,902696,703664,3086616,1373228,3070504,,1870852,1958472,2451104,5491148,2445820
78,467,55,6.96292e+07,69,7,0,0,9143752,13870152,,902764,707804,3086628,1373204,3073352,,1842620,1872080,2466652,5388304,2300496
79,474,56,7.22995e+07,70,8,0,0,9145092,13769752,,902764,709032,3086644,1373272,3073380,,1832144,1866100,2439088,5356712,2275708
80,480,60,7.6599e+07,73,7,0,0,9148376,13572384,,903432,709056,3086680,1373300,3075908,,1691524,1830736,2449036,5340376,2260712
81,486,57,6.85431e+07,73,8,0,0,9146304,13297200,,903432,706084,3086688,1374004,3076096,,1626228,1830660,2456388,5132156,2251768
82,493,64,7.55589e+07,73,9,0,0,9153152,12832580,,903452,706108,3086796,1374008,3082788,,1526996,1629256,2416656,5017516,2242156
83,499,57,7.78415e+07,73,10,0,0,9153132,12760932,,903432,706116,3086788,1374008,3082788,,1522436,1577428,2421784,4999928,2239356
84,506,59,7.91684e+07,75,9,0,0,9153876,12584852,,903440,706120,3087444,1374008,3082864,,1524024,1562748,2279328,5000264,2218488
85,512,60,7.44443e+07,75,6,0,0,9133464,12145080,,903472,705496,3087460,1374092,3062944,,1519048,1496872,2119132,4987132,2022896
86,518,56,7.40247e+07,75,6,0,0,9137364,11901132,,903596,709232,3087460,1374140,3062936,,1447900,1377404,2101264,4994020,1980544
87,524,57,7.30153e+07,75,5,0,0,9138156,11629928,,904204,709368,3087464,1374176,3062944,,1327912,1314124,2090084,4965068,1932740
88,531,56,6.53203e+07,75,6,0,0,9138824,11248872,,904208,709376,3087464,1374844,3062932,,1228536,1258452,2090712,4751140,1920032
89,537,57,7.69746e+07,75,6,0,0,9136432,10992000,,904204,706812,3087492,1374844,3063080,,1190484,1206840,2083652,4633632,1877392
90,543,56,7.38987e+07,75,7,0,0,9137612,10770168,,904240,707864,3087500,1374844,3063164,,1080928,1105404,2083096,4631784,1868956
91,550,59,7.66449e+07,75,5,0,0,9139812,10535000,,904920,707876,3087516,1374852,3064648,,942052,1018924,2066028,4627752,1880244
92,556,57,7.34218e+07,75,6,0,0,9141236,10095132,,904904,707916,3088196,1375568,3064652,,866488,972736,1926608,4447636,1881664
93,563,61,8.71401e+07,75,5,0,0,9130024,9682340,,904904,709052,3088192,1375564,3052312,,797024,946296,1784472,4305016,1849532
94,571,54,7.25803e+07,75,6,0,0,9124416,9440876,,904944,714024,3088196,1375584,3041668,,765748,930824,1747148,4283064,1714092
95,577,58,7.68755e+07,75,6,0,0,9125212,9288576,,904952,714144,3088204,1375600,3042312,,755716,934448,1736816,4274948,1586648
96,583,53,7.86618e+07,75,4,0,0,9122752,9156088,,900952,715640,3088228,1375620,3042312,,676760,899036,1738212,4287028,1555052
97,590,54,7.35989e+07,75,5,0,0,9121668,9011732,,900980,714312,3088224,1375584,3042568,,600276,835268,1737688,4278740,1559760
98,596,57,7.69773e+07,75,6,0,0,9123112,8885304,,901520,715144,3088248,1375628,3042572,,570012,740216,1736860,4279784,1558432
99,602,58,7.70868e+07,76,6,0,0,9104852,8509148,,901524,711604,3088252,1375620,3027852,,517184,622220,1736352,4271728,1361664
100,608,57,7.19755e+07,78,6,0,0,9110492,8203440,,902060,716572,3088252,1375664,3027944,,478020,492352,1735224,4192132,1305712
101,615,64,7.59608e+07,82,6,0,0,9111212,7853328,,902072,716648,3088216,1376316,3027960,,495644,407568,1702300,3982244,1265572
102,621,67,8.00244e+07,86,7,0,0,9113252,7474552,,903468,716648,3088928,1376272,3027936,,459016,349940,1512384,3910012,1243200
103,628,67,6.76359e+07,88,8,0,0,9114048,7508176,,915808,716076,3088920,1376356,3016888,,591160,357840,1402816,3904300,1252060
104,634,78,7.24995e+07,93,7,0,0,9114516,7367960,,916004,716180,3088920,1376348,3017064,,507272,361304,1380072,3864756,1254556
105,640,74,7.67103e+07,94,8,0,0,9107304,7203680,,908676,716184,3088956,1376344,3017144,,352008,337084,1375556,3874800,1264232
106,647,79,8.19154e+07,95,8,0,0,9107848,7102872,,909064,716296,3088956,1376340,3017192,,299144,302628,1367068,3886408,1247624
107,653,73,7.09808e+07,98,8,0,0,9101780,6687096,,908584,711572,3089652,1376340,3015632,,169836,294584,1096572,3881640,1244464
108,660,77,7.65491e+07,98,9,0,0,9081428,6776120,,908904,709192,3089728,1376352,2997252,,403640,272484,1055536,3881572,1162888
