Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
54,18,54,0,22451312,14431136,,4070816,3466148,5740968,5487548,3685832,,3166080,4081944,1608828,1793816,3780468
55,24,55,0,22547308,13840248,,4077408,3554236,5735868,5493336,3686460,,3132476,3622776,1582448,1755036,3747512
56,37,56,0,22543076,13362236,,4064552,3515688,5792468,5479608,3690760,,3102544,3672120,1177716,1702632,3707224
57,157,57,0,22598152,12417580,,4064740,3522064,5783744,5538172,3689432,,2989116,3567780,1027164,1219460,3614060
58,33,58,0,22652108,11918268,,4110864,3525716,5786612,5535612,3693304,,2622988,3529376,992640,1181608,3591656
59,37,59,0,22699036,11407236,,4111412,3576108,5786136,5536128,3689252,,2565296,3169712,956160,1142424,3573644
60,26,60,0,22791716,10911472,,4109440,3575248,5791220,5539972,3775836,,2543692,3128060,927512,1113120,3199088
61,21,61,0,22811600,10470172,,4106112,3577332,5839864,5556312,3731980,,2518216,3126328,551496,1090568,3183564
62,21,62,0,22895800,9937212,,4134532,3578692,5839284,5582672,3760620,,2501784,3107384,516580,719892,3091572
63,36,63,0,22898680,9473596,,4178164,3576752,5832256,5579452,3732056,,2123596,3085828,443160,679900,3141112
64,20,64,0,22961084,9032372,,4160624,3579456,5843560,5596384,3781060,,2094784,3063712,451796,653844,2768236
65,18,65,0,22991564,8600792,,4165316,3626232,5839180,5582656,3778180,,2072112,2708748,434684,633244,2752004
66,33,66,0,23048988,8067724,,4164976,3627524,5838652,5630772,3787064,,2030808,2670968,402084,250816,2713048
67,26,67,0,23049940,7817632,,4165360,3628844,5848760,5627308,3779668,,2009032,2651132,227956,231008,2698504
68,16,68,0,23119656,7364328,,4210924,3629848,5847944,5642520,3788420,,1645392,2631076,229904,211636,2646320
69,37,69,0,23194700,6932208,,4213300,3630368,5857424,5656568,3837040,,1600784,2595464,226752,216712,2292496
70,33,70,0,23283584,6551932,,4213952,3683476,5861644,5667256,3857256,,1561988,2244592,222748,255408,2267196
71,31,71,0,23275464,6376128,,4208976,3679364,5854572,5694388,3838164,,1540704,2204128,204168,187984,2239144
72,31,72,0,23284232,6284428,,4208180,3679248,5877084,5682976,3836744,,1496484,2174272,190084,207460,2216128
73,20,73,0,23382632,5965764,,4252572,3688748,5882312,5718352,3840648,,1155016,2162588,197576,255208,2195376
74,33,74,0,23386332,5445520,,4258440,3729272,5887592,5678056,3832972,,1108380,1766828,187660,219824,2162828
75,23,75,0,23489700,4952708,,4273368,3735208,5875424,5678372,3927328,,1077140,1743724,211504,224816,1695524
76,28,76,0,23370424,4916552,,4263684,3737024,5796936,5680804,3891976,,1052540,1720424,188084,190364,1765140
77,48,77,0,23373492,4802004,,4271544,3733256,5770692,5705024,3892976,,1013324,1692924,186644,176460,1732652
78,133,0,0,23608992,4970308,,4319164,3792320,5788376,5717272,3991860,,791464,1890108,451388,249872,1587476
79,147,77,1,23760328,4325360,,4509452,3762076,5802412,5674568,4011820,,483504,1930588,186636,207272,1517360
80,74,77,1,23613704,4163008,,4495992,3744080,5756784,5608108,4008740,,310992,1891040,240572,221672,1498732
81,14,77,0,23591248,3960556,,4509708,3775140,5720436,5597860,3988104,,196744,1845456,237768,178468,1502120
82,78,77,1,23411292,4017772,,4416560,3732620,5696404,5577440,3988268,,362536,1825824,218864,177492,1433056
83,170,77,6,23814244,3594292,,4452176,3748000,5670000,5806116,4137952,,179992,1727784,186820,159268,1340428
84,94,0,0,23826228,3733332,,4534628,3748896,5647044,5773700,4121960,,222800,1672176,248936,249896,1339524
85,16,0,0,23719920,3800532,,4483736,3768776,5641792,5764760,4060856,,381708,1654948,204412,199496,1359968
