Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
54,14,54,0,39891608,26499248,,8456552,9811032,7237264,6460160,7926600,,5872872,4845396,3682444,5568596,6529940
55,14,55,0,40363340,25937660,,8440964,9916296,7493476,6543004,7969600,,5880864,4648888,3429824,5486880,6491204
56,8,56,0,40661612,25703212,,8505332,10034440,7604556,6589860,7927424,,5798972,4614468,3324928,5435912,6528932
57,31,57,0,41447056,24895072,,8773720,10200788,7848296,6707008,7917244,,5534132,4446940,3065736,5309152,6539112
58,14,58,0,42019768,24341036,,8869536,10272860,7993032,6841328,8043012,,5442496,4369568,2960176,5168156,6400640
59,8,59,0,42384816,23936896,,8922700,10323072,8064832,6920860,8153352,,5388816,4323904,2834212,5097000,6292964
60,125,60,0,43425220,22726304,,9030512,10369592,8481528,7103768,8439820,,5258508,4201236,2411688,4904440,5950432
61,14,61,0,43759812,22552568,,9199380,10369096,8528552,7213440,8449344,,5095168,4278336,2407976,4773036,5998052
62,13,62,0,44015840,22237120,,9286872,10366972,8479500,7345192,8537304,,5004968,4280036,2411204,4652212,5888700
63,15,63,0,44414504,21822044,,9374560,10443948,8481444,7442076,8672476,,4913816,4184096,2408856,4552484,5762792
64,14,64,0,44892860,21307556,,9451224,10662792,8487020,7527792,8764032,,4842744,3956432,2386716,4450448,5671216
65,21,65,0,45525488,20674580,,9476040,10989424,8480876,7621528,8957620,,4809796,3636864,2407004,4364212,5456704
66,16,66,0,45995816,20201252,,9538488,11167176,8478644,7627516,9183992,,4738848,3457636,2403040,4361924,5239804
67,21,67,0,46587580,19595116,,9750468,11333316,8552584,7631748,9319464,,4530376,3293712,2310400,4354856,5105772
68,15,68,0,47080008,19032848,,9843428,11386104,8728872,7741648,9379956,,4441924,3239500,2109532,4199068,5042824
69,42,69,0,47854716,18222748,,10030688,11407700,8934112,8012300,9469916,,4242268,3215132,1889432,3920840,4955076
70,36,70,0,48421864,17637692,,10308572,11401856,8993788,8140204,9577444,,3962116,3223352,1828744,3789868,4833612
71,47,71,0,48947428,17085088,,10498660,11473568,9002792,8144068,9828340,,3775012,3133356,1808868,3781924,4585928
72,42,72,0,49443684,16585136,,10499452,11736784,8997188,8242116,9968144,,3771192,2872632,1818608,3674244,4448460
73,73,73,0,50155832,15887516,,10505496,11923252,9081484,8662768,9982832,,3750580,2682388,1715264,3311836,4427448
74,40,74,0,50512124,15471112,,10501868,11919448,9357616,8749704,9983488,,3770560,2686476,1436928,3152812,4424336
75,6,75,0,50755816,15179724,,10505064,11917768,9395088,8849232,10088664,,3770224,2693172,1354952,3050000,4311376
76,170,76,0,51721264,14267028,,10504152,12002212,9476408,9238860,10499632,,3769376,2589008,1300896,2706380,3901368
77,1,76,1,51789140,14146172,,10513168,12060408,9478084,9233732,10503748,,3700332,2537032,1299024,2712376,3897408
78,35,78,0,52200984,13761116,,10648156,12337604,9485992,9227124,10502108,,3615000,2243104,1286684,2717100,3899228
79,15,79,0,52653492,13308404,,10763832,12574068,9483748,9224388,10607456,,3492780,2033872,1288284,2715396,3778072
80,40,80,0,53490372,12497172,,10993588,12830708,9572552,9235936,10857588,,3321620,1758772,1182948,2700344,3533488
81,103,81,0,54304440,11591080,,11023528,12963824,9990796,9312740,11013552,,3238076,1626464,746068,2605348,3375124
82,35,82,0,54641624,11243080,,11098832,12964940,10002932,9557920,11017000,,3151100,1625352,745044,2351160,3370424
83,40,83,0,55163824,10671244,,11369032,12966728,10002792,9725892,11099380,,2882420,1618528,754424,2188288,3227584
84,48,84,0,55715756,10094004,,11532804,13034372,10297960,9750700,11099920,,2717148,1537520,460180,2154740,3224416
85,68,85,0,56296508,9505992,,11538860,13372984,10422084,9861020,11101560,,2712772,1206308,331436,2031588,3223888
86,127,86,0,56946336,8818036,,11542784,13497536,10423392,10262448,11220176,,2709596,1076396,318176,1627852,3086016
87,17,87,0,57172368,8550276,,11543364,13485760,10520000,10268476,11354768,,2708736,1092572,206748,1585368,2956852
88,30,88,0,57631380,8288612,,11602080,13481900,10759752,10323184,11464464,,2631884,1095456,172624,1541832,2846816
89,8,89,0,57901324,8140104,,11726720,13582956,10813472,10279400,11498776,,2510724,977212,222536,1616420,2813212
90,51,90,0,58825604,7360192,,11966124,13868368,10990912,10279884,11720316,,2272548,699372,206788,1597140,2584344
91,116,91,0,59518936,6687412,,12111476,14010112,11006288,10277880,12113180,,2103716,558212,240788,1595936,2188760
92,41,92,0,59924744,6201536,,12400876,14002412,11010484,10369220,12141752,,1794036,561812,216408,1468728,2160552
93,8,93,0,60165044,6067704,,12437932,14011724,11102732,10466664,12145992,,1794560,554952,171256,1393428,2153508
94,47,94,0,60854944,5649568,,12574732,14090400,11352880,10688260,12148672,,1655180,458208,216016,1169920,2150244
95,15,95,0,61187256,5299644,,12573792,14252256,11384556,10719332,12257320,,1656796,302148,183132,1128456,2029112
96,7,96,0,61526752,5032116,,12576868,14294384,11421928,10880656,12352916,,1652956,259536,225584,960532,1933508
97,48,97,0,62333508,4406576,,12642716,14450232,11527816,11179944,12532800,,1579540,193904,226868,655360,1750904
98,8,98,0,62664392,4090812,,12775768,14450120,11628896,11235512,12574096,,1440688,161748,173020,603192,1712164
99,7,99,0,62928900,3981940,,12915660,14407428,11721176,11271792,12612844,,1278860,232840,228292,568892,1673056
100,22,100,0,63469128,3538280,,13184664,14501612,11808940,11315732,12658180,,1014360,169608,214536,523728,1616048
101,7,101,0,63757844,3437120,,13288176,14548088,11951108,11311664,12658808,,918240,184656,183720,525700,1624804
102,40,102,0,64405028,3096964,,13535892,14596512,12202120,11315580,12754924,,671280,197568,191904,518672,1517540
103,7,103,0,64722664,2779880,,13581508,14583436,12293872,11414276,12849572,,630420,146800,174968,409276,1418416
104,52,104,0,65901664,2268604,,13638320,14295792,12602208,12165828,13199516,,565988,163640,229016,222348,1087612
105,23,105,0,66268988,2190972,,13620396,14520324,12596388,12220904,13310976,,584072,197284,269828,188036,951752
106,14,106,0,66583364,2024356,,13685052,14595016,12596512,12294092,13412692,,507772,182680,268812,215816,849276
107,38,107,0,67270136,1443508,,13914692,14597036,12742224,12415096,13601088,,279060,140072,189228,178564,656584
108,2,107,0,67900900,1480740,,13951512,14675480,13119344,12459596,13694968,,244892,184916,253672,238804,558456
109,95,109,0,68053288,1258936,,14208300,14435280,13128604,12450668,13830436,,159448,175960,254200,254440,414888
110,47,110,0,68568056,1061428,,14213080,14280936,13415628,12474616,14183796,,235740,197708,213712,240468,173800
111,54,111,0,69251960,962836,,14243804,14528172,13793768,12493944,14192272,,163488,153708,206180,227420,212040
112,49,112,0,54951228,1081932,,14339156,0,13938388,12495500,14178184,,196076,181700,229772,235776,238608
113,30,113,0,69609272,1053212,,14441640,14434388,13941484,12607624,14184136,,180388,217056,225564,206700,223504
114,44,114,0,70028412,989540,,14456748,14547152,13945536,12889888,14189088,,173232,184964,235264,174380,221700
115,27,115,0,70759444,1041324,,14449404,14355128,13966532,13528268,14460112,,175472,232408,256292,204936,172216
116,44,116,0,70965896,981284,,14460408,14310156,14041296,13706736,14447300,,170096,191048,205940,238328,175872
117,38,117,0,56612088,1093220,,0,14298176,14018052,13833576,14462284,,271888,174296,233708,224668,188660
118,40,118,0,71221124,988344,,14347556,14462032,14114612,13827020,14469904,,243804,184472,170316,229172,160580
119,7,119,0,71508412,906160,,14395264,14538088,14171476,13963388,14440196,,192396,173316,179136,206912,154400
