Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,5,1,8.56063e+06,1,0,0,0,9148872,29191820,,1028924,837908,3108020,1208888,2965132,,2848700,1743752,7379664,10438704,6781000
2,11,1,8.66078e+06,1,1,0,0,9149252,29168696,,1028972,837940,3108124,1208908,2965308,,2841920,1744716,7370188,10434724,6777148
3,17,1,8.56472e+06,1,2,0,0,9149280,29185192,,1028936,837940,3108188,1208908,2965308,,2847956,1742796,7368920,10444892,6780628
4,22,1,8.69359e+06,1,3,0,0,9149356,29168416,,1028936,837940,3108268,1208908,2965304,,2845308,1743156,7364928,10440676,6774348
5,28,1,8.57575e+06,1,4,0,0,9149420,29130180,,1028932,837940,3108336,1208908,2965304,,2848068,1745348,7325668,10438004,6773092
6,33,2,1.62406e+07,2,4,0,0,9150336,28866064,,1028932,837940,3109240,1208908,2965316,,2846584,1751464,7071896,10437552,6758568
7,39,2,1.6587e+07,2,5,0,0,9150672,28882484,,1028932,837940,3109500,1208912,2965388,,2846056,1744136,7100792,10438252,6753248
8,45,2,1.66531e+07,2,6,0,0,9150756,28830412,,1028936,837932,3109504,1208908,2965476,,2847720,1741512,7077460,10435756,6727964
9,50,8,6.05356e+07,8,1,0,0,9185476,28536852,,1028948,838072,3109812,1208908,2999736,,2823732,1711724,7059372,10437024,6505000
10,56,8,6.30202e+07,8,2,0,0,9185432,28583048,,1028940,837952,3109812,1208992,2999736,,2822940,1746848,7073520,10429628,6510112
11,62,9,7.21959e+07,9,2,0,0,9185712,28560556,,1028932,837952,3109932,1208988,2999908,,2823384,1741688,7069564,10427576,6498344
12,67,10,7.80604e+07,10,2,0,0,9185708,28527352,,1028932,837948,3109924,1208996,2999908,,2799972,1745924,7057504,10427796,6496156
13,73,11,8.76127e+07,11,1,0,0,9185796,28536448,,1028940,837948,3109996,1208996,2999916,,2816720,1746520,7054188,10425784,6493236
14,79,11,8.92539e+07,11,2,0,0,9185824,28480852,,1028948,837948,3110048,1209020,2999860,,2783188,1745320,7029476,10434272,6488596
15,85,11,9.03713e+07,11,3,0,0,9185892,28504896,,1028944,837948,3110048,1209020,2999932,,2779584,1746596,7035456,10439548,6503712
16,90,11,9.18148e+07,11,4,0,0,9185888,28510424,,1028940,837944,3110052,1209020,2999932,,2783128,1747248,7038588,10436416,6505044
17,96,12,9.4045e+07,12,4,0,0,9186120,28179708,,1028944,837944,3110052,1209100,3000080,,2773880,1744348,7036328,10149972,6475180
18,102,14,1.11611e+08,14,4,0,0,9211276,28130348,,1028940,838024,3110052,1234048,3000212,,2778064,1739836,7049372,10087880,6475196
19,107,14,1.11216e+08,14,5,0,0,9211352,28149040,,1028944,838028,3110056,1234120,3000204,,2782252,1739936,7037508,10116684,6472660
20,113,15,1.20817e+08,15,5,0,0,9211596,28142912,,1028952,838084,3110052,1234120,3000388,,2782048,1735704,7037052,10115704,6472404
21,119,18,1.36722e+08,18,3,0,0,9211948,27989956,,1028944,838092,3110124,1234204,3000584,,2778156,1679980,7020032,10077988,6433800
22,125,20,1.5488e+08,20,2,0,0,9215184,27647296,,1028956,841020,3110192,1234260,3000756,,2762424,1301716,7013068,10106896,6463192
23,130,21,1.56805e+08,21,2,0,0,9236672,27778124,,1029024,862376,3110192,1234260,3000820,,2773240,1421104,7009480,10109712,6464588
24,136,21,1.49471e+08,21,3,0,0,9236956,27712784,,1029072,862504,3110188,1234256,3000936,,2840444,1287420,7007940,10104324,6472656
25,142,21,1.59945e+08,21,4,0,0,9237252,27621876,,1029072,862508,3110252,1234256,3001164,,2760508,1278892,7014820,10112728,6454928
26,148,21,1.57366e+08,21,5,0,0,9237460,28523896,,1029144,862508,3110256,1234260,3001292,,3200696,1723160,7019060,10118692,6462288
27,153,23,1.64987e+08,23,4,0,0,9237572,28507276,,1029144,862544,3110264,1234256,3001364,,3196316,1725380,7006700,10116152,6462728
28,159,23,1.637e+08,23,5,0,0,9237792,28445084,,1029144,862576,3110384,1234264,3001424,,3179116,1710808,6994584,10100048,6460528
29,165,24,1.534e+08,24,5,0,0,9237960,28698408,,1029164,862580,3110380,1234320,3001516,,3243632,1901088,6993172,10101496,6459020
30,171,24,1.50969e+08,24,6,0,0,9238524,28424152,,1029248,862696,3110448,1234320,3001812,,2925656,1975468,7000008,10072596,6450424
31,177,25,1.7252e+08,25,6,0,0,9267468,28557524,,1058024,862708,3110448,1234344,3001944,,3036244,1977352,6996280,10095432,6452216
32,183,26,1.70916e+08,26,4,0,0,9267692,28557848,,1058116,862712,3110516,1234344,3002004,,3048896,1981472,6985752,10085460,6456268
33,189,26,1.78322e+08,26,3,0,0,9267884,28552456,,1058116,862720,3110512,1234340,3002196,,3049760,1985600,6989048,10089688,6438360
34,195,27,1.64725e+08,27,1,0,0,9268096,28565452,,1058132,862716,3110512,1234340,3002396,,3045520,1999296,6989388,10085632,6445616
35,201,27,1.64413e+08,27,2,0,0,9268368,28485420,,1058108,862744,3110536,1234408,3002572,,3004676,1960852,6989420,10094104,6436368
36,207,27,1.79804e+08,27,3,0,0,9268504,28506196,,1058104,862748,3110536,1234476,3002640,,3017032,1974668,6987092,10086996,6440408
37,213,28,1.76697e+08,28,3,0,0,9268720,28482108,,1058116,862744,3110608,1234544,3002708,,3016964,1969900,6981516,10066820,6446908
38,219,29,1.68904e+08,29,3,0,0,9268820,28442556,,1058072,862744,3110624,1234612,3002768,,2994752,1959660,6978580,10064668,6444896
39,225,30,1.13235e+08,30,4,0,0,9268876,28400072,,1058128,862764,3110596,1234612,3002776,,3007912,1921556,6961908,10065192,6443504
40,231,31,1.61135e+08,31,3,0,0,9269396,28384672,,1058148,862828,3110676,1234680,3003064,,3004828,1913604,6953224,10068260,6444756
41,237,32,1.68542e+08,31,3,0,0,9269516,28375560,,1058204,862828,3110672,1234688,3003124,,3001072,1897820,6961768,10066856,6448044
42,243,31,1.58606e+08,31,4,0,0,9269588,28362028,,1058196,862820,3110672,1234712,3003188,,3002632,1914048,6962568,10040352,6442428
43,249,31,1.61367e+08,31,4,0,0,9269708,28330920,,1058196,862840,3110676,1234744,3003252,,2997564,1872404,6959544,10057564,6443844
44,255,33,1.3962e+08,33,2,0,0,9269828,28331900,,1058192,862888,3110680,1234748,3003320,,2990904,1882048,6957680,10055244,6446024
45,261,34,1.47019e+08,33,3,0,0,9270248,28243088,,1058224,862928,3110736,1234772,3003588,,2992880,1814440,6951016,10058220,6426532
46,267,34,1.47166e+08,34,3,0,0,9270520,28204864,,1058232,862928,3110740,1234772,3003848,,2995448,1777948,6948912,10056636,6425920
47,273,35,1.39876e+08,35,3,0,0,9270728,28177108,,1058232,862936,3110804,1234772,3003984,,2994544,1784376,6932616,10055724,6409848
48,280,37,1.36006e+08,36,4,0,0,9271028,28117016,,1058232,863024,3110864,1234772,3004136,,2991924,1759924,6931324,10056732,6377112
49,286,39,1.14505e+08,39,3,0,0,9271520,28139620,,1058224,863016,3110876,1234784,3004620,,2990692,1793668,6925756,10055376,6374128
50,292,45,1.04163e+08,44,1,0,0,9189560,28164860,,1058420,863052,3110952,1234780,2922356,,2934080,1738532,6922184,10057260,6512804
51,299,45,1.20726e+08,45,2,0,0,9189732,28128032,,1058440,863180,3110956,1234800,2922356,,2949624,1723976,6902100,10038548,6513784
52,306,47,9.37313e+07,47,3,0,0,9189788,28144632,,1058452,863168,3110952,1234856,2922360,,2934288,1747212,6905680,10044044,6513408
53,313,49,8.1276e+07,47,4,0,0,9189768,28134140,,1058444,863160,3110948,1234848,2922368,,2933460,1747080,6915132,10042484,6495984
54,322,51,7.08065e+07,50,4,0,0,9190148,28093808,,1058524,863232,3111148,1234832,2922412,,2880500,1763768,6920020,10036660,6492860
55,333,50,9.96813e+07,50,5,0,0,9190444,28014500,,1058552,863244,3111396,1234824,2922428,,2860772,1734192,6883760,10037752,6498024
56,342,53,8.96498e+07,51,5,0,0,9191324,28016388,,1058824,863284,3111668,1235044,2922504,,2842196,1753104,6913320,10012752,6495016
57,353,55,8.12513e+07,53,4,0,0,9191416,28000124,,1058708,863292,3111864,1235044,2922508,,2858812,1752092,6874344,10020548,6494328
58,364,58,6.85912e+07,56,2,0,0,9191772,27940232,,1058704,863284,3112152,1235048,2922584,,2857696,1740176,6861232,10019832,6461296
59,380,57,8.86279e+07,56,2,0,0,9192132,27873744,,1058704,863312,3112532,1235076,2922508,,2819500,1747420,6839868,10010540,6456416
60,389,60,8.83229e+07,56,2,0,0,9192680,27847580,,1058704,863364,3112960,1235140,2922512,,2824324,1742016,6818884,10005776,6456580
61,399,59,8.44741e+07,56,2,0,0,9193180,27804792,,1058892,863376,3113192,1235144,2922576,,2758468,1738936,6846516,10004500,6456372
62,411,59,9.32662e+07,56,2,0,0,9193544,27856260,,1058880,863360,3113560,1235168,2922576,,2810292,1738312,6853672,10006448,6447536
63,424,59,8.96074e+07,56,2,0,0,9193808,27847216,,1058880,863368,3113772,1235172,2922616,,2819600,1737452,6865380,10006996,6417788
64,437,58,7.36314e+07,57,2,0,0,9194208,27779896,,1058868,863424,3114164,1235144,2922608,,2818924,1723048,6819260,9987876,6430788
65,450,61,6.49359e+07,57,3,0,0,9194640,27792692,,1058888,863428,3114424,1235216,2922684,,2818228,1718852,6855112,9981320,6419180
66,465,68,6.87769e+07,60,3,0,0,9195068,27795380,,1058888,863428,3114852,1235192,2922708,,2797352,1718960,6847800,9973272,6457996
67,481,67,8.25278e+07,63,2,0,0,9195588,27752948,,1059008,863448,3115276,1235212,2922644,,2785000,1705752,6837724,9988036,6436436
68,495,67,8.39416e+07,65,3,0,0,9196200,27735308,,1059000,863448,3115800,1235224,2922728,,2786016,1714976,6811252,9992324,6430740
69,505,71,7.01726e+07,66,3,0,0,9196608,27704564,,1059000,863584,3115940,1235272,2922812,,2764552,1708144,6823512,9978052,6430304
70,519,76,6.32006e+07,67,3,0,0,9197012,27662344,,1059068,863580,3116284,1235268,2922812,,2783960,1657632,6824100,9988800,6407852
71,536,79,7.05744e+07,70,1,0,0,9197512,27625528,,1059076,863584,3116600,1235284,2922968,,2775416,1654700,6826524,9970128,6398760
72,551,81,9.24746e+07,71,1,0,0,9197980,27581948,,1059060,863584,3117048,1235344,2922944,,2779644,1655228,6780624,9970088,6396364
73,564,75,7.93349e+07,71,2,0,0,9198636,27581076,,1059108,863656,3117440,1235408,2923024,,2764252,1636324,6826652,9957292,6396556
74,576,77,7.94973e+07,71,3,0,0,9198816,27578880,,1059152,863652,3117608,1235404,2923000,,2758596,1638048,6820240,9960448,6401548
75,590,77,7.52062e+07,72,3,0,0,9199208,27564920,,1059140,863716,3117944,1235404,2923004,,2759144,1627652,6820604,9953384,6404136
76,601,78,7.62083e+07,72,4,0,0,9199532,27553904,,1059148,863728,3118180,1235480,2922996,,2756860,1628180,6820252,9945788,6402824
77,613,79,7.95346e+07,74,3,0,0,9199984,27449016,,1059120,863740,3118540,1235568,2923016,,2724408,1619556,6798312,9935168,6371572
78,623,78,7.70654e+07,75,3,0,0,9200448,27445324,,1059240,863756,3118880,1235552,2923020,,2704848,1612348,6791436,9937328,6399364
79,636,85,7.6273e+07,75,4,0,0,9200816,27471208,,1059320,863728,3119200,1235552,2923016,,2735748,1607864,6789032,9940296,6398268
