Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
45,294,48,1.07691e+08,42,3,0,0,9121584,28936712,,873356,654472,3136456,1530396,2926904,,3521640,4826060,6432428,9145444,5011140
46,308,43,1.29054e+08,43,3,0,0,9121844,28906356,,873360,654516,3136516,1530524,2926928,,3526680,4801236,6434356,9146632,4997452
47,318,45,1.19315e+08,44,3,0,0,9123700,28916552,,874928,654572,3136528,1530540,2927132,,3528260,4815952,6442380,9143136,4986824
48,331,49,9.9306e+07,45,3,0,0,9123544,28900992,,874900,654600,3136524,1530540,2926980,,3505768,4795040,6440760,9139672,5019752
49,340,45,9.3734e+07,45,4,0,0,9123768,28873164,,875036,654672,3136532,1530544,2926984,,3510144,4768260,6437804,9144888,5012068
50,352,52,8.7153e+07,47,3,0,0,9123996,28774604,,875032,654688,3136612,1530600,2927064,,3508572,4737312,6420004,9132996,4975720
51,364,53,1.16915e+08,49,2,0,0,9124288,28704676,,875032,654768,3136736,1530604,2927148,,3473360,4737108,6432492,9125856,4935860
52,374,50,8.51669e+07,49,3,0,0,9124368,28696820,,875076,654808,3136736,1530604,2927144,,3451456,4720824,6431900,9136112,4956528
53,387,58,1.31665e+08,50,3,0,0,9124224,28674740,,875052,654800,3136608,1530636,2927128,,3455624,4728464,6418588,9103028,4969036
54,399,61,9.99456e+07,52,2,0,0,9124408,28668912,,875108,654804,3136612,1530676,2927208,,3460484,4719664,6423652,9104828,4960284
55,410,57,8.70446e+07,52,3,0,0,9124640,28666656,,875088,654864,3136692,1530768,2927228,,3476824,4724116,6395616,9106864,4963236
56,423,59,1.03187e+08,53,3,0,0,9124964,28627744,,875116,654888,3136896,1530760,2927304,,3457592,4711436,6414072,9087520,4957124
57,434,56,9.26635e+07,54,3,0,0,9125036,28619808,,875132,654892,3136896,1530816,2927300,,3464804,4700352,6417812,9076452,4960388
58,448,59,8.26114e+07,54,2,0,0,9125440,28617288,,875208,655196,3136904,1530832,2927300,,3449108,4712992,6416408,9080984,4957796
59,463,58,7.23264e+07,54,2,0,0,9125672,28564576,,875208,655304,3136956,1530908,2927296,,3422048,4679620,6418712,9089288,4954908
60,476,55,8.09118e+07,54,2,0,0,9125732,28585116,,875204,655376,3136932,1530904,2927316,,3422004,4692800,6425932,9092288,4952092
61,490,61,9.12684e+07,55,2,0,0,9125804,28548680,,875168,655408,3136936,1530904,2927388,,3398876,4688940,6419372,9098024,4943468
62,505,61,7.68443e+07,56,2,0,0,9127088,28504924,,876420,655412,3137016,1530904,2927336,,3409480,4667052,6409668,9096964,4921760
