Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,3,0,39102168,69124752,96147100,128,28219264,,8141996,10957836,12824648,7177688,,21059368,13955836,12976536,21133012,,26496128,21868564,20926524,26855884,,32,32,32,32,,5629832,8256820,8425420,5907192
3,0,1,0,1,0,3,0,39323788,68928896,95955884,128,28378904,,8143212,10962800,12817584,7400192,,21054132,13961568,12994816,20918380,,26491032,21874612,20946880,26643360,,32,32,32,32,,5629976,8257144,8427156,6064628
5,1,2,0,2,0,3,0,39531900,68754596,95731436,128,28480708,,8184024,10973988,12817692,7556196,,21024608,13953404,13029636,20746948,,26461548,21868820,20929124,26471944,,32,32,32,32,,5630036,8259504,8374632,6216536
8,0,3,0,3,0,3,0,39908868,68358712,95337960,128,28754224,,8453572,11058348,12821412,7575536,,20758232,13853012,13028724,20718744,,26195356,21770316,20928296,26443992,,32,32,32,32,,5858236,8278696,8374668,6242624
10,0,4,0,4,0,3,0,40655088,67605532,94680312,128,29468192,,8527244,11322788,13213692,7591364,,20665552,13590976,12632920,20716084,,26103804,21512648,20620652,26443208,,32,32,32,32,,5948552,8561560,8699324,6258756
14,0,5,2,3,0,3,0,40819356,67461408,94538740,128,29611160,,8589152,11362156,13268536,7599512,,20623096,13551652,12563424,20723236,,26062660,21473872,20551812,26450396,,32,32,32,32,,5973844,8592904,8780408,6264004
