Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
45,263,33,1.41195e+09,38,7,0,0,9719608,15956288,,847828,768732,3191556,1873500,3037992,,2384544,1834100,2949468,6038156,2750020
46,270,35,1.09799e+09,38,8,0,0,9719820,15889448,,847828,768764,3191572,1873504,3038152,,2365608,1834676,2901996,6040416,2746752
47,276,33,1.30836e+09,38,9,0,0,9721580,15449472,,848712,769512,3191568,1873500,3038288,,2191036,1609276,2867724,6038204,2743232
48,283,31,1.34455e+09,39,9,0,0,9725484,15162900,,848716,769492,3191664,1874356,3041256,,2103408,1561704,2824228,5950968,2722592
49,289,39,1.58367e+09,42,7,0,0,9728544,14839392,,848760,769492,3191660,1874428,3044204,,2049988,1523240,2820748,5747212,2698204
50,296,36,1.66269e+09,42,8,0,0,9623868,14796028,,848780,769548,3108508,1874556,3022476,,2011428,1517708,2934716,5702876,2629300
51,303,34,1.24757e+09,43,8,0,0,9594484,14452008,,848856,769772,3109380,1874552,2991924,,2002048,1457408,2712980,5700724,2578848
52,309,34,1.28706e+09,44,8,0,0,9593604,14187168,,848864,770636,3109380,1874588,2990136,,1993700,1292464,2654912,5689528,2556564
53,315,36,1.3182e+09,44,9,0,0,9590632,13779636,,849092,770632,3109388,1875444,2986076,,1913252,1233564,2606928,5435232,2590660
54,322,35,1.49244e+09,47,7,0,0,9591916,13439272,,849768,770660,3109372,1875504,2986612,,1757152,1168052,2583084,5339712,2591272
55,329,36,1.18132e+09,47,8,0,0,9582460,13388444,,849756,759516,3109440,1875492,2988256,,1637152,1212020,2565140,5343332,2630800
56,335,41,1.23358e+09,50,6,0,0,9585992,13226324,,849848,761980,3109452,1875496,2989216,,1607944,1189896,2523108,5345148,2560228
57,342,41,1.08853e+09,50,7,0,0,9561960,12813276,,849896,762004,3110200,1876356,2963504,,1561520,1172136,2378944,5166228,2534448
58,348,43,1.40615e+09,51,7,0,0,9525104,12489292,,849952,761988,3110236,1876336,2926592,,1545232,1168972,2264944,5013612,2496532
59,354,41,1.28042e+09,52,7,0,0,9526676,12229964,,850796,764036,3107552,1876520,2927772,,1383256,1119396,2256880,4982596,2487836
60,361,42,1.40607e+09,52,8,0,0,9509036,12197308,,850772,763928,3098624,1876508,2919204,,1307968,1130432,2303136,4979092,2476680
61,368,43,1.46423e+09,53,7,0,0,9467036,12083468,,850860,758552,3092920,1876528,2888176,,1218832,1076708,2303016,4981184,2503728
62,374,45,1.26956e+09,54,7,0,0,9450080,11983716,,850864,757632,3082036,1876528,2883020,,1187648,1055620,2288728,4965956,2485764
63,381,44,1.22567e+09,54,8,0,0,9438796,12029996,,836128,757704,3083884,1876516,2884564,,1214084,1052148,2332024,4965616,2466124
64,388,41,1.24614e+09,55,8,0,0,9421348,11849420,,841944,755624,3083904,1876536,2863340,,1136156,996760,2327700,4973780,2415024
65,394,40,1.36088e+09,56,6,0,0,9428900,11799324,,841060,756244,3083920,1876520,2871156,,1129184,959820,2336772,4971204,2402344
66,400,44,1.30899e+09,58,5,0,0,9417208,11737448,,839008,756508,3083912,1876588,2861192,,1118200,962884,2334648,4946496,2375220
67,407,46,1.31714e+09,58,6,0,0,9417060,11669032,,837996,763900,3084376,1877312,2853476,,1436152,967312,2275040,4628652,2361876
68,413,43,1.32563e+09,58,7,0,0,9353728,11565120,,836948,764512,3020816,1877320,2854132,,1399004,945572,2235164,4617316,2368064
69,421,44,1.51353e+09,58,8,0,0,9345944,11472524,,834812,764640,3013928,1877336,2855228,,1254660,967960,2233692,4618656,2397556
70,427,45,1.21997e+09,58,8,0,0,9337496,11323840,,848964,764676,3000632,1877308,2845916,,1126672,950376,2200844,4616692,2429256
71,433,45,1.37239e+09,58,7,0,0,9293812,11215356,,849872,764084,2961284,1877388,2841184,,1063724,914392,2200680,4582776,2453784
72,440,43,1.20225e+09,58,7,0,0,9295480,10961376,,851440,764460,2961936,1878068,2839576,,1042956,922404,2217704,4338804,2439508
73,446,44,1.48706e+09,58,8,0,0,9269212,10796184,,851616,765012,2962644,1878072,2811868,,1019528,901076,2201580,4275512,2398488
74,452,44,1.48793e+09,59,8,0,0,9275348,11079344,,867996,772284,2945576,1878188,2811304,,1445760,833576,2147992,4271848,2380168
75,459,41,1.29055e+09,59,9,0,0,9270832,10749568,,869528,783336,2946728,1878816,2792424,,1319432,819524,2109300,4156996,2344316
76,465,41,1.26518e+09,59,8,0,0,9251920,10428676,,869552,782492,2937596,1878976,2783304,,1192816,801120,2104488,3984632,2345620
77,472,41,1.40017e+09,59,8,0,0,9234724,10193908,,869668,782404,2940224,1878960,2763468,,1110952,773312,2093260,3922196,2294188
78,478,39,1.5066e+09,59,9,0,0,9201888,10028768,,862992,783832,2940388,1879000,2735676,,967260,776772,2079668,3922844,2282224
79,485,39,1.2304e+09,61,9,0,0,9342348,10318716,,1016240,784020,2927156,1879004,2735928,,1261704,782072,2092760,3924444,2257736
80,491,40,1.35572e+09,61,10,0,0,9191248,10475280,,861956,784092,2928576,1879036,2737588,,1416144,778104,2094868,3926908,2259256
81,498,37,1.03537e+09,61,11,0,0,9164740,9743660,,855704,789400,2928576,1879708,2711352,,1045400,765584,2086784,3586596,2259296
82,505,37,1.61372e+09,61,12,0,0,9169216,9569864,,857588,791676,2928576,1879708,2711668,,927384,717908,2087076,3574592,2262904
83,512,39,1.58895e+09,64,11,0,0,9163368,9684640,,857092,792380,2920660,1879728,2713508,,1111304,676800,2064192,3573908,2258436
84,518,43,1.50861e+09,65,12,0,0,9112748,9666132,,854176,795076,2909512,1879832,2674152,,1196180,676176,2021452,3547712,2224612
85,525,46,1.53969e+09,69,11,0,0,9053796,10067392,,851232,792132,2875452,1879832,2655148,,1593436,672584,2012004,3516416,2272952
86,532,50,1.67179e+09,74,9,0,0,8989320,9863048,,849848,792172,2828028,1879864,2639408,,1374612,662528,2011488,3539884,2274536
87,539,56,1.39011e+09,76,10,0,0,8917288,9363784,,852876,800748,2750236,1880008,2633420,,1008672,606912,2007684,3475184,2265332
88,545,58,1.59077e+09,77,10,0,0,8908084,9362200,,853264,801916,2738604,1880696,2633604,,1208684,599312,2012148,3273292,2268764
89,553,58,1.46062e+09,78,10,0,0,8901900,8956600,,854304,786192,2738740,1880724,2641940,,933164,566740,2017388,3172208,2267100
90,561,57,1.44568e+09,78,11,0,0,8901724,9630144,,851924,788176,2738772,1880728,2642124,,1621976,547328,2018224,3179160,2263456
91,567,54,1.33334e+09,79,12,0,0,8866916,9720608,,843412,764424,2735956,1880804,2642320,,1744936,559276,1975316,3180004,2261076
92,573,57,1.26223e+09,80,12,0,0,8799780,9091208,,846796,768160,2664600,1880784,2639440,,1209140,529444,1959896,3177712,2215016
93,580,55,1.41489e+09,81,12,0,0,8703932,9043900,,846812,754220,2638276,1880788,2583836,,1039620,650800,1965484,3178480,2209516
94,587,52,1.45033e+09,81,13,0,0,8708892,9147176,,849844,754596,2638856,1880788,2584808,,1193340,639256,1965132,3173276,2176172
95,594,52,1.11156e+09,82,13,0,0,8722808,8561072,,858584,756104,2639672,1881500,2586948,,893640,621720,1984944,2910956,2149812
96,600,54,1.42243e+09,83,12,0,0,8722784,9302928,,856972,756752,2639660,1881508,2587892,,1729520,618400,1980872,2817476,2156660
97,607,53,1.40872e+09,83,12,0,0,8740884,9410936,,856688,774680,2639696,1881612,2588208,,1790560,660932,1978096,2833888,2147460
98,613,54,1.46129e+09,83,13,0,0,8723396,8654584,,860788,780948,2638064,1881632,2561964,,1225880,537276,1949216,2820880,2121332
99,620,52,1.37369e+09,83,11,0,0,8662048,8467380,,860916,789180,2584612,1881724,2545616,,1072504,537752,1913288,2825896,2117940
100,626,52,1.62676e+09,83,12,0,0,8633612,8532500,,866920,777604,2558500,1881720,2548868,,1159792,562116,1923208,2794184,2093200
101,633,51,1.67338e+09,83,13,0,0,8642112,8224912,,866864,783340,2558816,1882452,2550640,,1232276,511600,1886940,2512060,2082036
102,639,50,1.43494e+09,83,14,0,0,8888896,8827084,,1120372,773864,2559592,1882476,2552592,,1781196,634112,1907940,2452520,2051316
103,646,47,1.33826e+09,83,14,0,0,8624688,8938228,,851084,778616,2559624,1882476,2552888,,1933412,565948,1903976,2484412,2050480
104,653,49,1.26985e+09,83,12,0,0,8615708,8619612,,847480,772680,2559652,1882508,2553388,,1630480,549372,1908740,2481404,2049616
105,660,46,1.53797e+09,83,13,0,0,8618088,8478500,,847992,774300,2559648,1882512,2553636,,1580480,506268,1910580,2444868,2036304
106,666,48,1.48756e+09,83,14,0,0,8720368,8344164,,955800,770828,2559648,1882516,2551576,,1403124,501284,1907220,2476712,2055824
107,673,50,1.7317e+09,84,14,0,0,8567072,8996768,,843484,756100,2559648,1882552,2525288,,1603508,742208,1909580,2471564,2269908
108,680,55,1.42164e+09,90,14,0,0,8534804,8696292,,836756,760140,2529264,1882544,2526100,,1674740,650896,1855128,2416016,2099512
109,686,59,1.49903e+09,91,15,0,0,8521048,8746012,,824432,777232,2530588,1862356,2526440,,1986492,546988,1839336,2355948,2017248
110,693,60,1.69846e+09,94,16,0,0,8472188,8852376,,824320,746320,2530868,1843968,2526712,,1893136,813212,1815280,2309284,2021464
111,700,58,1.3713e+09,94,17,0,0,8568864,8717748,,846200,833144,2531644,1847844,2510032,,1494624,1087156,1825720,2292564,2017684
112,707,56,1.36221e+09,94,16,0,0,8547208,8865880,,846328,819752,2522732,1848004,2510392,,1784928,950324,1833048,2297772,1999808
113,713,59,1.59059e+09,94,16,0,0,8474420,8670784,,847412,821520,2522776,1842720,2439992,,1491756,1092880,1830744,2283956,1971448
114,720,62,1.73078e+09,94,17,0,0,8389956,9080732,,840108,822440,2523820,1842800,2360788,,2153600,941828,1811212,2225532,1948560
115,727,59,1.71257e+09,94,18,0,0,8237992,8986276,,826904,706032,2516000,1844576,2344480,,1903780,1192888,1770356,2185712,1933540
116,733,58,1.69943e+09,96,18,0,0,8173488,9081280,,832712,703260,2473248,1820928,2343340,,2159948,1114912,1688544,2160768,1957108
117,739,56,1.75252e+09,96,19,0,0,8145596,8584076,,832864,724852,2432080,1827192,2328608,,1759660,1126292,1660372,2147812,1889940
118,746,57,1.43261e+09,98,19,0,0,8065860,8906324,,838660,724660,2361884,1827212,2313444,,1949272,1328616,1617644,2143348,1867444
119,753,55,1.77383e+09,98,20,0,0,8170708,8380440,,1022504,724836,2299000,1827360,2297008,,1565016,1240564,1554324,2151464,1869072
120,759,56,1.34276e+09,99,20,0,0,7914044,8523528,,841508,732396,2272684,1784360,2283096,,2168812,875364,1504164,2100820,1874368
121,766,62,1.66597e+09,100,20,0,0,7938896,8121428,,833316,732388,2330084,1765100,2278008,,1967112,801292,1442064,2048976,1861984
122,772,57,1.36931e+09,101,20,0,0,7891360,8233800,,827760,738720,2301228,1740896,2282756,,2127880,765320,1446708,2053556,1840336
123,779,53,1.33512e+09,101,21,0,0,7856028,8247192,,819868,739216,2277800,1732740,2286404,,2156108,682492,1448036,2019228,1941328
124,785,55,1.5629e+09,102,19,0,0,7726496,7901728,,811388,739780,2223100,1710192,2242036,,2130900,511300,1370340,2048736,1840452
125,792,59,1.54314e+09,103,18,0,0,7793424,7942996,,804304,903876,2151628,1710492,2223124,,2303992,474632,1296508,2029976,1837888
126,798,56,1.42926e+09,104,18,0,0,7804792,8056772,,935880,849380,2073568,1727424,2218540,,2355296,547012,1284152,2047740,1822572
127,805,58,1.51471e+09,105,17,0,0,7642328,8347116,,797808,854812,2067152,1736684,2185872,,2767240,511916,1273276,1980916,1813768
128,811,63,1.56927e+09,105,18,0,0,7623668,8166064,,816508,854832,2044464,1727272,2180592,,2646672,494316,1227332,1986416,1811328
129,818,62,1.49354e+09,105,19,0,0,7693248,7933116,,900380,854852,2046676,1723888,2167452,,2410328,494568,1250404,1990956,1786860
130,825,61,1.62408e+09,106,19,0,0,7606668,7777976,,951604,855216,1997788,1678132,2123928,,2375768,495048,1204444,1948552,1754164
131,831,58,1.44533e+09,107,19,0,0,7359016,8006564,,802976,854716,1913404,1656880,2131040,,2540536,485388,1230396,1948572,1801672
132,838,64,1.66588e+09,109,19,0,0,7280936,8304556,,801688,861716,1914548,1565620,2137364,,2911392,422908,1223464,1963228,1783564
133,844,64,1.54605e+09,111,18,0,0,7250116,7915176,,803016,819940,1921816,1567372,2137972,,2666672,321560,1161072,1984048,1781824
134,851,68,1.38012e+09,112,18,0,0,7238708,7962280,,806296,854764,1858812,1580408,2138428,,2652592,321320,1244436,1960392,1783540
135,858,71,1.67303e+09,112,19,0,0,7277312,7957816,,806036,852176,1859092,1621372,2138636,,2710612,327448,1231512,1908660,1779584
136,864,57,1.36217e+09,113,20,0,0,7393692,7788464,,787320,840280,1859312,1768024,2138756,,2401876,603672,1212332,1781724,1788860
137,870,59,1.47983e+09,114,21,0,0,7252068,8257360,,823876,764828,1859632,1662676,2141056,,2571092,911980,1218860,1770204,1785224
138,877,62,1.49979e+09,115,22,0,0,7227716,8078756,,823876,748312,1853676,1658068,2143784,,2576336,802688,1216336,1710432,1772964
139,884,65,1.35941e+09,116,21,0,0,6977128,7690924,,822548,742104,1853736,1523348,2035392,,2399412,657228,1221728,1676408,1736148
140,891,61,1.40814e+09,117,22,0,0,6790892,7186064,,823964,743864,1859904,1412436,1950724,,2177644,474604,1197192,1668208,1668416
141,897,57,1.36277e+09,118,22,0,0,6718312,7181124,,825944,739160,1806292,1421720,1925196,,2301724,415900,1127788,1648396,1687316
142,904,62,1.62395e+09,119,22,0,0,6871448,6921544,,818960,953864,1757612,1425296,1915716,,2166628,332344,1116128,1639900,1666544
143,910,59,1.49851e+09,120,22,0,0,6558272,7412636,,833716,706020,1742140,1425392,1851004,,2458312,608392,1109428,1637660,1598844
144,917,64,1.60591e+09,120,23,0,0,6503324,6948140,,835192,710488,1686768,1429044,1841832,,2221116,502704,1043224,1615548,1565548
145,924,57,1.4734e+09,120,24,0,0,6455680,6692684,,839664,713120,1672432,1417036,1813428,,2177464,441944,1005972,1502488,1564816
146,931,57,1.33679e+09,122,23,0,0,6818756,6265968,,862724,1122196,1624628,1417856,1791352,,1930840,314348,991260,1472736,1556784
147,937,62,1.64201e+09,122,24,0,0,7081340,6600128,,834480,1490704,1625356,1380900,1749900,,2284452,302888,1023920,1453824,1535044
148,944,60,1.71351e+09,126,21,0,0,7244832,6508036,,807140,1764048,1628832,1378408,1666404,,2163944,392712,1038648,1453216,1459516
149,951,63,1.76338e+09,126,22,0,0,7479292,6522868,,794100,2045852,1641784,1379352,1618204,,2419316,276440,991672,1446376,1389064
150,957,54,1.80466e+09,126,23,0,0,8343148,6438684,,796788,2994540,1630528,1381008,1540284,,2292540,275756,1082900,1449428,1338060
151,964,66,1.92015e+09,127,23,0,0,9938816,6205076,,767168,4673492,1632092,1381444,1484620,,2067944,275876,1126476,1450804,1283976
152,970,57,1.54417e+09,127,24,0,0,10272808,6547268,,727232,5063328,1632096,1381700,1468452,,2099524,613488,1125464,1437764,1271028
153,977,60,1.66926e+09,127,25,0,2,10539984,6388240,,762900,5324240,1632616,1354884,1465344,,2158776,399988,1116660,1445248,1267568
154,984,57,1.42995e+09,127,26,0,2,10184072,6737664,,766232,4963196,1633412,1355468,1465764,,2059744,848656,1109192,1448520,1271552
155,990,55,1.71248e+09,127,27,0,2,10175116,6588560,,808876,4938968,1634140,1355848,1437284,,2453428,316620,1095560,1448136,1274816
156,997,55,1.64347e+09,127,27,0,2,10271332,6521564,,732996,5110392,1634144,1355988,1437812,,2368408,343888,1096128,1443524,1269616
157,1003,56,1.82026e+09,128,26,0,2,10372348,6665228,,687508,5254656,1634544,1357440,1438200,,2565080,313700,1098416,1438212,1249820
158,1009,54,1.26741e+09,128,27,0,2,10246316,6956552,,664316,5138456,1646932,1357472,1439140,,2427832,750964,1084304,1442628,1250824
159,1016,54,1.77485e+09,128,27,0,2,9974256,7511760,,608372,4921576,1647044,1357472,1439792,,2513072,1203980,1085948,1447964,1260796
160,1023,63,2.06552e+09,129,26,0,2,10087500,7078356,,705592,4935452,1647160,1357472,1441824,,2382892,952008,1091184,1428940,1223332
161,1029,61,1.67819e+09,129,26,0,2,10010496,6565432,,626684,4936940,1647168,1357576,1442128,,2320620,465152,1088176,1451832,1239652
162,1036,53,1.46727e+09,129,26,0,2,10033320,6278260,,652584,4935936,1647172,1357672,1439956,,2173756,341648,1088692,1447204,1226960
163,1042,50,1.70362e+09,129,26,0,2,10057116,6426580,,632776,5044540,1647168,1357664,1374968,,2322984,304612,1094616,1442720,1261648
164,1049,54,1.64381e+09,130,25,0,2,10222176,7023352,,618780,5222276,1647176,1357668,1376276,,2385432,831096,1092996,1440332,1273496
165,1055,51,1.50044e+09,131,23,0,4,9901248,7344060,,589364,4925920,1647312,1361052,1377600,,2281120,1262592,1089644,1441548,1269156
166,1062,51,1.60275e+09,131,23,0,4,9919328,6848504,,581752,4948232,1649024,1361068,1379252,,2248448,830872,1075100,1440024,1254060
167,1068,50,1.6178e+09,131,23,0,4,9937656,6784500,,572652,4975644,1649040,1361064,1379256,,2329064,676700,1079200,1441736,1257800
168,1075,52,1.36929e+09,131,22,0,4,9954816,6663600,,582020,4982892,1649560,1361072,1379272,,2469308,408868,1088144,1442852,1254428
169,1081,51,1.66855e+09,131,22,0,4,9960756,6414604,,618972,4951344,1649620,1361072,1379748,,2252708,373564,1090112,1437524,1260696
170,1088,51,1.11166e+09,131,22,0,4,9954904,7091376,,616664,4947792,1649620,1361080,1379748,,2348240,949376,1089828,1439008,1264924
171,1096,53,1.65851e+09,131,22,0,4,9924448,6984300,,604036,4928456,1649640,1361096,1381220,,2151672,1060508,1076608,1440756,1254756
172,1102,60,1.78432e+09,131,22,0,4,9910392,6706044,,583316,4934744,1649736,1361328,1381268,,2162576,774204,1076760,1441580,1250924
173,1109,49,1.48679e+09,131,22,0,5,9926520,6758664,,592292,4941680,1649760,1361528,1381260,,2366060,622124,1079744,1438440,1252296
174,1116,52,1.89822e+09,132,21,0,5,9947560,6599536,,604012,4950848,1649824,1361608,1381268,,2477984,349212,1080272,1431968,1260100
175,1122,46,1.72546e+09,131,21,0,6,9963468,7222236,,639832,4930784,1649824,1361764,1381264,,2468940,1000656,1080612,1424352,1247676
176,1129,50,1.53433e+09,131,20,0,7,10157392,7422396,,584248,5179360,1649840,1362672,1381272,,2489076,1178608,1083076,1427680,1243956
177,1136,48,1.2822e+09,130,20,0,8,9964252,7076840,,667212,4902300,1650476,1362944,1381320,,2312064,1001984,1084224,1437788,1240780
178,1142,43,1.85652e+09,130,20,0,8,9983676,6952380,,682816,4904864,1650476,1363504,1382016,,2337116,859640,1083872,1431892,1239860
