Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
60,0,23,0,19,79694768,31876208,,18268032,16269488,22327468,22829780,,11440576,12381356,4270640,3783636
61,0,23,0,19,79956084,31618420,,18364636,16372656,22366620,22852172,,11342360,12282348,4226396,3767316
62,0,23,0,19,80399712,31164120,,18464932,16374692,22424820,23135268,,11237536,12280136,4158628,3487820
63,0,23,0,19,81380008,30182260,,18772140,16578660,22573040,23456168,,10930628,12070584,4020632,3160416
64,0,23,0,19,81799696,29754236,,18879340,16777124,22673172,23470060,,10823132,11867260,3925032,3138812
65,0,23,0,19,82249292,29325276,,18987732,16787332,22988556,23485672,,10715496,11852420,3616496,3140864
66,0,23,0,19,82633556,28912916,,18990020,16887008,22989964,23766564,,10722076,11750920,3584964,2854956
67,1,23,0,19,83417312,28143972,,19399184,16916332,23090660,24011136,,10321756,11730064,3489036,2603116
68,0,23,0,19,83916936,27615744,,19402288,17193292,23201272,24120084,,10299136,11446172,3378460,2491976
69,1,23,0,19,84347956,27198308,,19595252,17288660,23340720,24123324,,10108680,11354852,3247296,2487480
70,0,23,0,19,84631004,26939396,,19603860,17292508,23574308,24160328,,10097836,11351324,3034192,2456044
71,0,23,0,19,85005044,26582256,,19870588,17395908,23575948,24162600,,9845892,11257640,3029516,2449208
72,1,23,0,19,85505556,26074204,,20014188,17594368,23728764,24168236,,9697728,11055536,2865024,2455916
73,0,23,0,19,85838720,25730652,,20116700,17698856,23852408,24170756,,9593216,10938184,2747292,2451960
74,0,23,0,19,86155016,25393204,,20222632,17805280,23957568,24169536,,9480796,10832848,2630280,2449280
75,1,23,0,19,86260256,25287444,,20323272,17809664,23956480,24170840,,9367540,10834896,2632832,2452176
76,0,23,0,19,86362628,25187624,,20347336,17919316,23954836,24141140,,9336856,10737368,2633492,2479908
77,1,23,0,19,86646888,24900928,,20341772,18207080,23954280,24143756,,9344584,10449400,2630496,2476448
78,0,23,0,19,86785680,24767296,,20343104,18331336,23954120,24157120,,9333456,10332392,2635808,2465640
79,0,23,0,19,86787580,24779356,,20346312,18331980,23954224,24155064,,9352232,10329412,2628784,2468928
80,0,23,0,19,86780500,24757052,,20344368,18338500,23954044,24143588,,9355600,10314664,2621964,2464824
81,0,23,0,19,86936392,24604676,,20341400,18498404,23944896,24151692,,9353332,10158992,2628188,2464164
82,0,23,0,19,87194744,24351252,,20340832,18755564,23945784,24152564,,9353208,9903016,2640072,2454956
83,0,23,0,19,87289016,24250540,,20341628,18851000,23951476,24144912,,9362292,9799820,2637416,2451012
84,1,22,0,19,82152624,29389296,,20340960,18848664,23953692,19009308,,9361816,9788888,2645200,7593392
85,0,21,0,19,82494716,29039896,,20342012,18851916,23956544,19344244,,9358848,9795044,2634640,7251364
86,1,21,0,19,82961168,28572232,,20343200,19254892,23970140,19392936,,9352260,9393888,2619928,7206156
87,0,21,0,19,78909060,32637476,,20342136,19360592,19478672,19727660,,9358200,9289340,7128208,6861728
88,0,21,0,19,78085240,33448116,,18855176,19364724,20138768,19726572,,10849132,9274668,6434388,6889928
89,0,20,0,19,78859736,32631968,,19478608,19364220,20280356,19736552,,10216116,9275804,6271960,6868088
