Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
58,0,27,25,2,0,0,0,5660140,87736272,123308212,20960,40284028,,1506756,1310224,1403024,1440136,,21551452,22300992,22171648,21712180,,30719040,30966280,30837388,30785504,,5240,5240,5240,5240,,10350444,9791952,9851904,10289728
60,0,28,26,2,0,0,0,5785284,87612292,123184812,20960,40380676,,1512312,1378616,1413192,1481164,,21559968,22181000,22178464,21692860,,30727668,30846512,30844240,30766392,,5240,5240,5240,5240,,10361604,9826460,9862168,10330444
62,0,29,27,2,0,0,0,6049936,87291640,122864796,20960,40608272,,1537648,1477048,1553968,1481272,,21529252,22076716,21991308,21694364,,30696980,30742524,30657372,30767920,,5240,5240,5240,5240,,10387068,9924276,9960448,10336480
64,0,30,28,2,0,0,0,6245692,87108892,122682704,20960,40784348,,1547372,1481504,1585176,1631640,,21518340,22106552,21986572,21497428,,30686084,30772404,30652888,30571328,,5240,5240,5240,5240,,10397476,9934544,9999604,10452724
66,0,31,29,2,0,0,0,6411908,86936460,122510848,20960,40909148,,1573220,1581000,1605400,1652288,,21493168,21990168,21967468,21485656,,30660968,30656288,30633808,30559784,,5240,5240,5240,5240,,10423536,9986884,10025320,10473408
68,1,32,30,2,0,0,0,6543708,86786612,122361588,20960,41046476,,1596644,1648488,1621120,1677456,,21473508,21903188,21939824,21470092,,30641428,30569660,30606216,30544284,,5240,5240,5240,5240,,10434240,10066844,10041072,10504320
70,1,33,31,2,0,0,0,6814724,86488576,122064248,20960,41267852,,1746836,1733708,1646420,1687760,,21277640,21810724,21923232,21476980,,30445996,30477416,30589644,30551192,,5240,5240,5240,5240,,10561292,10124528,10067368,10514664
73,0,34,32,2,0,0,0,7072576,86229228,121805588,20960,41496744,,1751564,1814660,1667380,1838972,,21293868,21728900,21911344,21295116,,30462232,30395920,30577784,30369652,,5240,5240,5240,5240,,10571604,10204264,10087868,10633008
75,0,35,33,2,0,0,0,7257792,86059652,121636700,20960,41647708,,1771196,1835080,1791776,1859740,,21287388,21731208,21751384,21289672,,30455776,30398260,30418160,30364504,,5240,5240,5240,5240,,10592100,10229948,10173664,10651996
77,0,36,34,2,0,0,0,7396792,85895116,121472660,20960,41782772,,1806512,1855616,1845072,1889592,,21259560,21699736,21682888,21252932,,30428092,30366820,30349928,30327820,,5240,5240,5240,5240,,10612788,10250676,10231260,10688048
79,0,37,35,2,0,0,0,7588276,85680600,121258888,20960,41951960,,1949644,1882508,1854804,1901320,,21067712,21668464,21700760,21243664,,30236852,30335624,30367840,30318572,,5240,5240,5240,5240,,10729364,10277356,10246676,10698564
81,0,38,36,2,0,0,0,7916964,85324048,120903024,20960,42217952,,2098336,1899024,1992424,1927180,,20921392,21659064,21518368,21225224,,30090924,30326236,30185704,30300160,,5240,5240,5240,5240,,10856452,10293832,10343096,10724572
