Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
0,0,0,0,1,2293980,93113876,,496616,773592,492832,530940,,21724356,24604932,22269204,24515384
1,21,1,0,1,2300104,84189236,,497820,774924,494120,533240,,21717628,20240948,22238492,19992168
2,23,2,0,0,2334060,83476656,,498352,776868,525568,533272,,17165388,24214236,22115384,19981648
3,0,2,1,0,2335480,80986064,,498372,778188,525624,533296,,17148664,21746212,22109620,19981568
4,19,4,0,0,2336140,74981828,,498428,778176,526236,533300,,17144536,20228992,17614148,19994152
5,0,4,1,0,2336372,73327112,,498460,778360,526236,533316,,17122976,18626800,17586556,19990780
6,1,5,1,0,2339236,68778972,,498468,778388,526240,536140,,17130788,16248396,17595812,17803976
7,0,6,1,0,2339392,66956980,,498612,778388,526244,536148,,17120240,16240796,17593136,16002808
8,4,8,0,0,2345300,59722424,,501524,778392,529208,536176,,13862680,16240112,13609648,16009984
9,1,8,1,0,2346052,54943512,,501528,778404,529832,536288,,13147500,16225596,9596136,15974280
10,0,9,1,0,2346360,52166768,,501532,778424,529824,536580,,13124844,16244004,9577976,13219944
11,0,10,1,0,2346480,49657164,,501528,778548,529824,536580,,13138412,14995064,9551500,11972188
12,1,11,1,0,2346684,47110860,,501756,778524,529812,536592,,12845760,12728540,9556612,11979948
13,1,12,0,0,2346900,43517388,,501832,778628,529832,536608,,10602572,11377848,9559304,11977664
14,0,13,1,0,2347076,38301488,,501804,778640,529836,536796,,9138804,9189656,9572096,10400932
15,14,14,0,0,2348564,34827004,,502116,778644,530952,536852,,9105692,8204564,9543548,7973200
16,1,15,1,0,2348976,28524676,,502220,778644,531288,536824,,6832844,8205264,5525244,7961324
17,1,16,0,0,2349168,25051216,,502248,778652,531280,536988,,5067872,8181344,5514088,6287912
18,1,17,0,0,2350036,21989284,,502304,778776,531936,537020,,5035488,7511248,5488936,3953612
19,120,18,0,0,2350464,18425416,,502392,778820,532220,537032,,4783424,4215432,5489980,3936580
20,19,18,0,0,2350420,18246652,,502364,778848,532164,537044,,4664428,4179128,5489564,3913532
21,127,18,0,0,2350584,18157932,,502384,778896,532272,537032,,4588368,4144184,5503692,3921688
22,50,18,0,0,2350576,18085760,,502420,778892,532240,537024,,4532640,4128740,5508488,3915892
23,4,18,0,0,2351532,15622860,,502348,778888,532848,537448,,4540992,4116396,3104052,3861420
24,88,0,0,0,2359032,1608644,,502544,772880,571684,511924,,668644,319388,323888,296724
25,123,0,0,0,2361648,1698720,,502604,773960,572708,512376,,818532,324852,258692,296644
26,119,0,0,0,2361692,1584392,,502620,773988,572704,512380,,702940,300660,305832,274960
27,105,0,0,0,2361844,1569544,,502628,773976,572856,512384,,676508,294164,315304,283568
28,91,0,0,0,2359508,1549180,,502624,774064,570440,512380,,740284,295692,246140,267064
29,95,0,0,0,2367448,1475340,,502652,777048,575364,512384,,632232,296032,273708,273368
30,4,0,0,0,2365764,1384524,,502628,777676,573072,512388,,539748,298468,257492,288816
31,100,0,0,0,2368836,1350036,,503064,777688,571776,516308,,511704,284708,270848,282776
32,46,0,0,0,2369628,1487364,,503060,777680,571944,516944,,641212,309696,267488,268968
33,3,0,0,0,2369716,1445192,,503052,777680,571968,517016,,605104,298036,254856,287196
34,4,0,0,0,2365884,1437556,,503060,777692,568132,517000,,574212,303292,296292,263760
35,4,0,0,0,2366048,1450500,,503060,777688,568288,517012,,566320,288428,319820,275932
36,3,0,0,0,2368148,1461840,,503060,777688,568288,519112,,523492,324364,319084,294900
37,96,0,0,0,2368408,1356200,,503060,777808,568428,519112,,504488,307928,267212,276572
38,3,0,0,0,2368496,1367940,,503092,777844,568448,519112,,530168,290960,256992,289820
39,0,0,0,0,2367732,1375416,,503064,777844,567580,519244,,525440,314548,265452,269976
40,0,0,0,0,2367952,1376948,,503060,777832,567816,519244,,511128,296140,292720,276960
41,2,0,0,0,2363928,1437016,,503108,777836,563744,519240,,585844,289624,293132,268416
