Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
62,1,27,21,3,0,0,3,49086644,56643748,82125424,128,35159980,,8733192,17931876,14221388,8200188,,18418612,8376680,11023404,18825052,,24095112,16317692,17452020,24260600,,32,32,32,32,,8108092,10526568,8577380,7947940
65,0,28,23,3,0,0,2,49445736,56317584,81748560,128,35403400,,8378776,18163300,14651648,8252012,,18786780,8136056,10581144,18813604,,24463376,16077436,17010496,24197252,,32,32,32,32,,7794360,10763300,8890144,7955596
67,0,29,22,4,0,0,3,49567280,56219824,81649612,128,35456828,,8664964,18049468,14952564,7900284,,18516484,8232664,10292760,19177916,,24193276,16174392,16720576,24561368,,32,32,32,32,,8021280,10632736,9203952,7598860
69,1,30,23,3,0,0,4,50789760,54955868,80391040,128,36528644,,9094228,18218072,15039364,8438096,,18076108,8074188,10175636,18629936,,23752956,16019992,16604392,24013700,,32,32,32,32,,8384100,10806668,9293640,8044236
72,0,31,24,4,0,0,3,50344588,55368392,80802736,128,36215496,,9210736,17695524,14813136,8625192,,17937936,8593444,10408008,18429004,,23614948,16540224,16834804,23812760,,32,32,32,32,,8528408,10356804,9045052,8285232
74,0,32,24,4,0,0,4,50867188,54832516,80273264,128,36535400,,8883820,18006472,15265632,8711264,,18272440,8264096,9949284,18346696,,23949520,16211816,16381164,23730764,,32,32,32,32,,8194060,10499408,9475720,8366212
77,0,33,24,4,0,0,5,51156672,54522372,79960656,128,36745980,,8823916,18513560,15434472,8384724,,18326372,7763604,9772344,18660052,,24003648,15712592,16200248,24044168,,32,32,32,32,,8060120,11007528,9630724,8047608
79,0,34,24,3,0,0,7,51947636,53278768,78714108,128,37833020,,9471212,18650324,15075664,8750436,,17677444,7588056,9700196,18313072,,23354748,15537348,16124544,23697468,,32,32,32,32,,8688164,11146840,9688584,8309432
81,1,35,27,3,0,0,5,51786640,52989560,78431700,128,38119448,,9231684,18667148,14849596,9038212,,17899568,7593092,9505740,17991160,,23578112,15544208,15933792,23375588,,32,32,32,32,,8497024,11169448,9824076,8628900
84,0,36,28,3,0,0,5,51166900,54065976,79516460,128,36947132,,9177568,18392264,15179004,8418064,,17957352,7880968,9615316,18612340,,23636052,15832400,16050364,23997644,,32,32,32,32,,8358852,10867428,9741556,7979296
86,1,37,25,3,0,0,9,52761404,52389452,77846556,128,38448516,,9581444,18884748,15143984,9151228,,17544464,7363576,9614888,17866524,,23226460,15315528,16050736,23253832,,32,32,32,32,,8761980,11307992,9745632,8632912
89,0,38,23,4,0,0,11,52889120,52628388,78086012,128,38117088,,9338148,18639600,15470688,9440684,,17767636,7600796,9701900,17558056,,23449696,15552844,16137904,22945568,,32,32,32,32,,8495060,11110992,9580844,8930192
91,0,39,23,3,0,0,13,53725064,51810844,77273780,128,38752192,,9902560,19035736,15545656,9241112,,17210604,7196496,9636688,17767056,,22892884,15150372,16075624,23154900,,32,32,32,32,,9018208,11386496,9651188,8696300
94,0,40,24,3,0,0,13,54903028,50560172,76031104,128,39883904,,10043016,19413660,15972972,9473380,,17054004,6814380,9158872,17532916,,22740388,14768360,15599908,22922448,,32,32,32,32,,9166156,11770376,10008808,8938564
96,0,41,25,4,0,0,12,54868348,50575640,76048764,128,39786672,,10125308,19282916,16247124,9213000,,16976972,6933680,8874968,17790020,,22663644,14888312,15317020,23179788,,32,32,32,32,,9220780,11622536,10282092,8661264
98,1,42,28,4,0,0,10,55619644,49819784,75300152,128,40423780,,10047968,19520212,16326952,9724512,,17057992,6700532,8797536,17263724,,22744696,14657904,15243788,22653764,,32,32,32,32,,9107716,11857264,10356560,9102240
101,0,43,27,4,0,0,12,56167508,49223572,74710784,128,40898964,,10167012,19571024,16508648,9920824,,16902840,6623416,8632896,17064420,,22591776,14583008,15080248,22455752,,32,32,32,32,,9190856,11909936,10489824,9308348
103,0,44,31,3,0,0,10,55659268,49705216,75200752,128,40317916,,10468884,19086792,16395648,9707944,,16595744,7115596,8730072,17263804,,22285616,15076112,15180844,22658180,,32,32,32,32,,9496596,11385332,10347708,9088280
