Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,0,1542184,108440332,117927240,7952,11334528,,296232,323216,617316,305420,,25766336,28392816,28364192,25916988,,28239108,30580708,30643852,28463572,,1988,1988,1988,1988,,2854316,2574196,2975336,2930680
5,0,1,0,1,0,1,0,1251924,108712884,118303792,7952,11113252,,297620,324468,323484,306352,,25796120,28284016,28706744,25926004,,28269324,30525940,31035716,28472812,,1988,1988,1988,1988,,2854740,2628440,2699236,2930836
7,1,2,0,2,0,0,0,1591560,108206060,117812528,7952,11496328,,297808,526856,460340,306556,,25792548,28009852,28480336,25923324,,28266156,30266764,30809452,28470156,,1988,1988,1988,1988,,2855112,2866312,2844028,2930876
10,0,3,0,3,0,0,0,1850184,107939424,117546672,7952,11711964,,297864,634688,611040,306592,,25728868,27924824,28385824,25899908,,28202656,30181856,30715080,28447080,,1988,1988,1988,1988,,2855312,2952220,2973220,2931212
13,0,4,0,4,0,0,0,2259348,107198104,116981284,7952,12337928,,493856,644452,657120,463920,,25416940,27877432,28329468,25574264,,27959600,30172028,30659248,28190408,,1988,1988,1988,1988,,3141280,2999912,3017944,3178792
16,0,5,1,4,0,0,0,2617280,106441564,116535480,7952,12977332,,599396,644764,783644,589476,,25351008,27500932,28124336,25465288,,27893960,30105184,30454604,28081732,,1988,1988,1988,1988,,3225080,3304996,3164824,3282432
18,0,6,1,5,0,0,0,2833408,106240600,116508652,7952,13319672,,617272,668076,929508,618552,,25446288,27350308,28012952,25431052,,28033196,30082400,30343456,28049600,,1988,1988,1988,1988,,3286788,3426136,3293152,3313596
21,0,7,2,5,0,0,0,3137548,105236244,116029240,7952,14147028,,617304,903732,997924,618588,,25080096,27074572,27940336,25141240,,27954240,29807108,30271004,27996888,,1988,1988,1988,1988,,3569124,3670380,3357460,3550064
24,0,8,2,6,0,0,0,3274828,104516552,115847084,7952,14760180,,650376,996744,1008888,618820,,24864772,27005372,27920116,24726292,,27883536,29738056,30251912,27973580,,1988,1988,1988,1988,,3716232,3742700,3370104,3931144
27,0,9,4,5,0,0,0,3904692,103854136,115041912,7952,15259940,,861640,1023708,1160220,859124,,24605912,26998164,27682476,24567584,,27625876,29732380,30016208,27667448,,1988,1988,1988,1988,,3937072,3768448,3543548,4010872
30,0,10,6,4,0,0,0,4317372,103467584,114663936,7952,15635520,,970012,1076224,1308440,962696,,24544704,26874560,27583456,24464864,,27569004,29609120,29916632,27569180,,1988,1988,1988,1988,,4027704,3842588,3668452,4096776
32,1,11,6,5,0,0,0,4624796,103096044,114303220,7952,15944460,,1000976,1259596,1341972,1022252,,24444936,26687108,27539408,24424592,,27470372,29421932,29872632,27538284,,1988,1988,1988,1988,,4057932,4021768,3701736,4163024
35,0,12,7,5,0,0,0,5106928,102484472,113710520,7952,16469680,,1203616,1359704,1357312,1186296,,24183172,26622196,27496004,24183100,,27221624,29357216,29830028,27301652,,1988,1988,1988,1988,,4294476,4104292,3718916,4351996
38,0,13,9,4,0,0,0,5448788,102039876,113280460,7952,16804208,,1306728,1373236,1452228,1316596,,24067540,26594972,27306076,24071288,,27118912,29330896,29640444,27190208,,1988,1988,1988,1988,,4388524,4119764,3835368,4460552
41,0,14,10,4,0,0,0,5685976,101968404,113220360,7952,17035064,,1337100,1376752,1615656,1356468,,24032544,26497424,27178488,24259948,,27085052,29233768,29513168,27388372,,1988,1988,1988,1988,,4419036,4122520,3984660,4508848
43,0,15,11,4,0,0,0,6170484,101374892,112637108,7952,17566760,,1347740,1601812,1695532,1525400,,24036204,26261660,27097544,23979484,,27093156,28998368,29432320,27113264,,1988,1988,1988,1988,,4435916,4367812,4056848,4706184
46,0,16,12,4,0,0,0,6428052,101080956,112357452,7952,17797124,,1356480,1703896,1708304,1659372,,23962884,26176120,27104784,23837168,,27024284,28913028,29440504,26979636,,1988,1988,1988,1988,,4449012,4449796,4071528,4826788
49,0,17,13,4,0,0,0,6848792,100508852,111786560,7952,18261276,,1572916,1717212,1718668,1839996,,23700876,26154784,27093220,23559972,,26762820,28891728,29428972,26703040,,1988,1988,1988,1988,,4686420,4463188,4082000,5029668
51,1,18,14,4,0,0,0,7182404,100101780,111386232,7952,18583956,,1671220,1778336,1745172,1987676,,23619352,25983792,27062304,23436332,,26685492,28721876,29398160,26580704,,1988,1988,1988,1988,,4766872,4548112,4108532,5160440
54,0,19,15,4,0,0,0,7595360,99541780,110840604,7952,19022576,,1714684,1981828,1857680,2041168,,23561672,25784536,26843632,23351940,,26637024,28523004,29179896,26500680,,1988,1988,1988,1988,,4819620,4744992,4242856,5215108
57,0,20,16,4,0,0,0,7877148,99231172,110532724,7952,19272336,,1719680,2066264,2021828,2069376,,23505228,25714620,26707884,23303440,,26581532,28453204,29044380,26453608,,1988,1988,1988,1988,,4825108,4813912,4387788,5245528
60,0,21,17,4,0,0,0,8194076,98793272,110097272,7952,19609520,,1946032,2086688,2079964,2081392,,23181368,25689948,26636132,23285824,,26258500,28429644,28972764,26436364,,1988,1988,1988,1988,,5072160,4836420,4443196,5257744
63,0,22,19,2,1,0,0,8640380,98293644,109600156,7952,20079776,,2262692,2178916,2102040,2096732,,22845800,25507204,26630500,23310140,,25923864,28247352,28968052,26460888,,1988,1988,1988,1988,,5388704,4950476,4467256,5273340
66,0,23,19,4,0,0,0,9073752,97795400,109104332,7952,20511564,,2382316,2351576,2104772,2235088,,22751596,25344076,26621844,23077884,,25830896,28084644,28959512,26229280,,1988,1988,1988,1988,,5490248,5117796,4470092,5433428
69,0,24,20,4,0,0,0,9502732,97290404,108601712,7952,20926620,,2413264,2441680,2247240,2400548,,22707636,25265804,26392892,22924072,,25788272,28006484,28730900,26076056,,1988,1988,1988,1988,,5523436,5191316,4634516,5577352
72,0,25,22,3,0,0,0,9767596,96977816,108291988,7952,21174836,,2425948,2465244,2421860,2454544,,22652296,25247692,26247020,22830808,,25733308,27989372,28585236,25984072,,1988,1988,1988,1988,,5536552,5217008,4787992,5633284
75,0,26,23,3,0,0,0,10099896,96506320,107822868,7952,21549780,,2632376,2525076,2478576,2463868,,22408496,25096472,26167288,22834064,,25490376,27838436,28506576,25987480,,1988,1988,1988,1988,,5764804,5298028,4844012,5642936
77,1,27,24,3,0,0,0,10602524,95916696,107235048,7952,22052864,,2757148,2711224,2492604,2641548,,22313212,24907848,26158464,22537172,,25395388,27650064,28498076,25691520,,1988,1988,1988,1988,,5867776,5482212,4860152,5842724
80,0,28,24,4,0,0,0,10988160,95480132,106799720,7952,22419364,,2792996,2803216,2599704,2792244,,22268392,24840180,25967960,22403600,,25350720,27582556,28308240,25558204,,1988,1988,1988,1988,,5903800,5554192,4989444,5971928
83,0,29,25,4,0,0,0,11268656,95190688,106513464,7952,22690456,,2815816,2835080,2783628,2834132,,22236760,24803968,25801056,22348904,,25320204,27547480,28141536,25504244,,1988,1988,1988,1988,,5928712,5588300,5158036,6015408
86,0,30,27,3,0,0,0,11623944,94590476,105915240,7952,23083368,,3005488,2918992,2859080,2840384,,21938300,24639192,25720992,22291992,,25022628,27382980,28061548,25448084,,1988,1988,1988,1988,,6140252,5694100,5226964,6022052
88,0,31,27,4,0,0,0,12132540,94024132,105351548,7952,23587760,,3139448,3101868,2878716,3012508,,21836916,24465504,25701792,22019920,,24921772,27209752,28043308,25176716,,1988,1988,1988,1988,,6252580,5870364,5248728,6216088
91,0,32,28,4,0,0,0,12572300,93454764,104784292,7952,24014508,,3190476,3206376,3005024,3170424,,21769148,24368540,25480584,21836492,,24855124,27112832,27822496,24993840,,1988,1988,1988,1988,,6305688,5959352,5396960,6352508
94,0,33,30,3,0,0,0,12828528,93132960,104465456,7952,24260268,,3204712,3229884,3168784,3225148,,21699936,24330664,25336084,21766276,,24786228,27076080,27678404,24924744,,1988,1988,1988,1988,,6320484,5985064,5545132,6409588
97,0,34,30,4,0,0,0,13201944,92578504,103912788,7952,24671564,,3423848,3303092,3241948,3233056,,21400156,24166624,25259424,21752300,,24487324,26912416,27601828,24911220,,1988,1988,1988,1988,,6561560,6080200,5612072,6417732
100,0,35,31,4,0,0,0,13742412,91971312,103308788,7952,25211164,,3553208,3501228,3269064,3418912,,21304904,23975496,25229376,21461536,,24392648,26721688,27572728,24621724,,1988,1988,1988,1988,,6669080,6275032,5641296,6625756
