Start,GetPodsTime,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,1,0,7,0,23074436,97520984,107518496,128,11611836,,2872824,6295272,5014256,8892084,,28946116,21917732,26929708,19727428,,29883216,26171672,27800608,23663000,,32,32,32,32,,1355896,4668892,1252284,4334764
14,0,66,0,0,0,84036836,36515168,46569628,128,11637968,,19957452,21966796,18818300,23294288,,11782948,6295168,13088616,5348436,,12741244,10569012,13967572,9291800,,32,32,32,32,,1363724,4677268,1255576,4341400
