Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
73,0,26,22,4,0,0,0,56320932,55548676,93265240,7920,50803052,,10336912,17466456,17064156,11453408,,19391380,9105884,9449484,17601928,,26823204,20030332,20343228,26068476,,1980,1980,1980,1980,,10647652,14042320,14179956,11933124
76,0,27,23,4,0,0,0,56835356,54978456,92697916,7920,51272484,,10402584,17582920,17306276,11543576,,19306744,8990500,9180888,17500324,,26738772,19916572,20075444,25967128,,1980,1980,1980,1980,,10723508,14150896,14358724,12039356
79,0,28,24,4,0,0,0,57288368,54527612,92252400,7920,51683248,,10498288,17823864,17386800,11579416,,19212160,8746496,9106568,17462388,,26646140,19673508,20001652,25931100,,1980,1980,1980,1980,,10801004,14330280,14480184,12071780
82,0,29,25,4,0,0,0,57836332,53946732,91675140,7920,52159316,,10664968,17970440,17452156,11748768,,19036668,8589616,9024716,17295732,,26471264,19517320,19920056,25766500,,1980,1980,1980,1980,,10911824,14484616,14522704,12240172
84,1,30,26,4,0,0,0,58502008,53277412,91009176,7920,52772660,,10885436,18032228,17577136,12007208,,18809388,8527572,8917088,17023364,,26244584,19455504,19814296,25494792,,1980,1980,1980,1980,,11147332,14544352,14647756,12433220
87,0,31,27,4,0,0,0,59000876,52817312,90552912,7920,53238060,,10956632,18112388,17833248,12098608,,18744456,8464244,8661372,16947240,,26179844,19394720,19559388,25418960,,1980,1980,1980,1980,,11222120,14624392,14855984,12535564
90,0,32,28,4,0,0,0,59499412,52257312,89996356,7920,53649988,,11022564,18382612,17954152,12140084,,18670596,8177104,8521960,16887652,,26107808,19108464,19420560,25359524,,1980,1980,1980,1980,,11284780,14813152,14978364,12573692
93,0,33,29,4,0,0,0,60002264,51773116,89515656,7920,54146720,,11161880,18552380,17989000,12299004,,18553880,8015524,8474736,16728976,,25991612,18947408,19373748,25202888,,1980,1980,1980,1980,,11410680,14981160,15024772,12730108
95,1,34,30,4,0,0,0,60678908,51079260,88826916,7920,54692904,,11449868,18609488,18311128,12308424,,18259792,7940888,8164380,16714200,,25698200,18872980,19067540,25188196,,1980,1980,1980,1980,,11638932,15048540,15263676,12741756
98,0,35,31,4,0,0,0,61253600,50512040,88263356,7920,55249396,,11511468,18698592,18481916,12561624,,18191076,7848396,8005036,16467532,,25629676,18782696,18908840,24942144,,1980,1980,1980,1980,,11717568,15133468,15460536,12937824
101,0,36,32,4,0,0,0,61694180,50038088,87792720,7920,55620444,,11565432,18936836,18541248,12650664,,18122964,7619020,7917716,16378388,,25563444,18554088,18821904,24853284,,1980,1980,1980,1980,,11770496,15305304,15509332,13035312
104,0,37,33,4,0,0,0,62165064,49514640,87272244,7920,56005244,,11786784,19107828,18574476,12695976,,17897836,7439072,7883768,16293964,,25338968,18374836,18789456,24768984,,1980,1980,1980,1980,,11914280,15477644,15536988,13076332
106,1,38,33,5,0,0,0,62959024,48754216,86518748,7920,56751096,,12011844,19171512,18726852,13048816,,17662028,7379956,7749996,15962236,,25103812,18318200,18656856,24439880,,1980,1980,1980,1980,,12148904,15548280,15696592,13357320
109,0,39,35,4,0,0,0,63394460,48287408,86053592,7920,57168584,,12080052,19162896,18949976,13201536,,17598860,7374696,7508700,15805152,,25040872,18313480,18416084,24283156,,1980,1980,1980,1980,,12227884,15571392,15850724,13518584
112,0,40,35,5,0,0,0,63903044,47770992,85541984,7920,57609556,,12160740,19419752,19062592,13259960,,17512584,7118360,7404292,15735756,,24956532,18059472,18312012,24213968,,1980,1980,1980,1980,,12307156,15748432,15979068,13574900
115,0,41,37,4,0,0,0,64436864,47208036,84984480,7920,58123456,,12273316,19649292,19113036,13401220,,17398956,6877612,7329508,15601960,,24845252,17819460,18237652,24082116,,1980,1980,1980,1980,,12420268,15966132,16020436,13716620
118,0,42,38,3,1,0,0,64862300,46760364,84542256,7920,58498996,,12578160,19700916,19144536,13438688,,17081820,6819736,7306892,15551916,,24528940,17762508,18216420,24034388,,1980,1980,1980,1980,,12648876,16049072,16049812,13751236
120,1,43,39,2,2,0,0,65185244,46418012,84203108,7920,58787532,,12641756,19776732,19324724,13442032,,17005296,6742944,7122380,15547392,,24452640,17687736,18032860,24029872,,1980,1980,1980,1980,,12729904,16111216,16195000,13751412
123,0,44,40,1,3,0,0,65354648,46247024,84033484,7920,58962680,,12687520,19904020,19327064,13436044,,16967836,6612244,7113564,15553380,,24415796,17557516,18024296,24035876,,1980,1980,1980,1980,,12777744,16237992,16195520,13751424
126,0,45,41,0,4,0,0,65484892,46126052,83913144,7920,59108140,,12834028,19888188,19329192,13433484,,16845016,6637092,7100828,15543116,,24293388,17582460,18011672,24025624,,1980,1980,1980,1980,,12922600,16238292,16195624,13751624
