Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
60,0,40,0,0,81154976,38637548,,19018584,19603696,20917360,21615336,,11584820,9930152,8591576,8531000
61,0,40,0,0,81203560,38605064,,19072728,19607596,20918564,21604672,,11533196,9919796,8609628,8542444
62,1,40,0,0,80822408,38996752,,19073172,19611824,21017904,21119508,,11543232,9903336,8512352,9037832
63,0,39,0,0,81291232,38494328,,19072544,19616028,21022016,21580644,,11540752,9898808,8499428,8555340
64,0,39,0,0,81319468,38462328,,19071696,19597840,21027672,21622260,,11536844,9943944,8493152,8488388
65,1,39,0,0,81527928,38250748,,19071252,19597196,21239092,21620388,,11525640,9949424,8279136,8496548
66,0,40,0,0,81593148,38198156,,19073684,19590544,21308068,21620852,,11522168,9949552,8213576,8512860
67,0,40,0,0,81706344,38069688,,19076340,19589204,21410956,21629844,,11522760,9953528,8100088,8493312
68,1,40,0,0,81570120,38206424,,19079096,19349128,21510828,21631068,,11538372,10178780,8005436,8483836
69,0,40,0,0,81820204,37992420,,19079076,19595628,21515260,21630240,,11536780,9933004,8016576,8506060
70,0,40,0,0,80855736,38965964,,18007568,19602944,21614352,21630872,,12630284,9942924,7899156,8493600
71,0,39,0,0,81387684,38409124,,18439252,19605984,21714352,21628096,,12181016,9930608,7804388,8493112
72,1,39,0,0,81520608,38275284,,18555964,19610428,21727932,21626284,,12054716,9932024,7789464,8499080
73,0,39,0,0,81677432,38128320,,18673172,19605120,21774068,21625072,,11942236,9940344,7735564,8510176
74,0,39,0,0,81674840,38104712,,18677028,19601948,21771624,21624240,,11928200,9929952,7742048,8504512
75,1,38,0,0,81559416,38203788,,18684868,19604448,21773060,21497040,,11922460,9930172,7734332,8616824
76,0,39,0,0,82011252,37742268,,19062304,19604984,21786584,21557380,,11541136,9924524,7731068,8545540
77,0,40,0,0,82056660,37696772,,19105676,19602820,21786280,21561884,,11504832,9919188,7723776,8548976
78,1,40,0,0,82137844,37637728,,19107288,19602764,21765848,21661944,,11504452,9922492,7751880,8458904
79,0,40,0,0,82140076,37619136,,19106308,19606736,21768520,21658512,,11497628,9919244,7744484,8457780
80,0,40,0,0,81759976,38006504,,19104128,19216988,21768748,21670112,,11494272,10314600,7753568,8444064
81,0,40,0,0,82178376,37567732,,19084908,19643288,21791320,21658860,,11514832,9871020,7730608,8451272
82,1,40,0,0,80153160,39621680,,19084956,19593452,19814312,21660440,,11510524,9948728,9713208,8449220
83,0,39,0,0,80408132,39360992,,19086192,19589368,20074924,21657648,,11516268,9956888,9436680,8451156
84,1,39,0,0,80395768,39414256,,19087312,19592512,20059200,21656744,,11523008,9957856,9459420,8473972
85,0,39,0,0,80416596,39383408,,19087972,19590648,20061628,21676348,,11516736,9952528,9459764,8454380
86,1,39,0,0,80410524,39340208,,19084452,19590088,20063036,21672948,,11522488,9936996,9438512,8442212
87,0,38,0,0,79687660,40085516,,18361308,19594284,20057988,21674080,,12270844,9936744,9437892,8440036
88,0,38,0,0,80062956,39700984,,18564236,19595736,20227004,21675980,,12034116,9932836,9295248,8438784
89,1,40,0,0,80204616,39546132,,18736912,19599908,20238332,21629464,,11856584,9932624,9278168,8478756
90,0,38,0,0,80221128,39546932,,18845144,19436372,20243844,21695768,,11756644,10101064,9265396,8423828
91,0,38,0,0,80451092,39321420,,18846108,19624508,20322588,21657888,,11748064,9900552,9199064,8473740
92,1,38,0,0,80541964,39228564,,18952736,19616996,20326604,21645628,,11646396,9920684,9192364,8469120
93,0,38,0,0,80713848,39046108,,19127304,19618080,20317792,21650672,,11468028,9912812,9191044,8474224
94,0,38,0,0,80798208,39001740,,19127852,19618400,20400088,21651868,,11468596,9922104,9139692,8471348
95,0,38,0,0,80793976,38952856,,19126132,19614988,20397300,21655556,,11464276,9911076,9101828,8475676
96,1,38,0,0,80799524,38969172,,19124236,19617632,20401532,21656124,,11461788,9922932,9109836,8474616
97,0,38,0,0,80927672,38824628,,19134148,19625676,20510320,21657528,,11446932,9906056,9002780,8468860
98,0,38,0,0,80982844,38746264,,19134728,19638088,20527472,21682556,,11457556,9893104,8977736,8417868
99,1,38,0,0,80948952,38798336,,19135420,19613368,20516476,21683688,,11463240,9919096,8996232,8419768
100,0,38,0,0,79295032,40479444,,19134716,19627856,20585120,19947340,,11453404,9910840,8924296,10190904
101,1,36,0,0,78054112,41706476,,19148588,17717180,20725716,20462628,,11440992,11819116,8789752,9656616
102,0,37,0,0,75914976,43820572,,16493776,18047040,20727496,20646664,,14124640,11450028,8784612,9461292
103,0,39,0,0,76422860,43335932,,16836568,18207864,20732200,20646228,,13765140,11319312,8788440,9463040
104,1,39,0,0,76771604,42977072,,16857884,18230104,20933164,20750452,,13730936,11300912,8578320,9366904
105,0,39,0,0,77429624,42327556,,17036252,18401640,21039012,20952720,,13559788,11131376,8476904,9159488
106,0,40,0,0,77567440,42159096,,17134876,18442468,21035172,20954924,,13463092,11086600,8467644,9141760
107,1,40,0,0,78081564,41643440,,17134500,18614616,21265840,21066608,,13472128,10898204,8243544,9029564
108,0,41,0,0,78675312,41067308,,17235652,18921400,21252552,21265708,,13366704,10596028,8254820,8849756
109,0,41,0,0,78878912,40860816,,17342492,18917860,21351884,21266676,,13253592,10606084,8157580,8843560
110,0,41,0,0,79318260,40433356,,17358344,19025076,21469704,21465136,,13240264,10505168,8055856,8632068
111,1,41,0,0,80018680,39707492,,17446784,19330472,21668972,21572452,,13142244,10199916,7852784,8512548
