Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
61,24,0,0,0,113883968,6355748,,29783648,28840264,25458260,29801796,,330084,2435012,3235076,355576
62,3,26,0,0,114094640,6137172,,29780984,28921072,25578544,29814040,,334320,2402308,3071992,328552
63,176,26,0,0,114222468,5976760,,29802696,29015092,25575304,29829376,,320576,2247192,3069112,339880
64,73,0,0,0,114196264,6002812,,29792516,28953128,25653736,29796884,,332852,2287292,3013708,368960
65,2,0,0,0,114063712,6071632,,29780992,28922208,25564000,29796512,,342936,2359460,3025996,343240
66,3,0,0,0,113829932,6278408,,29782892,28871144,25384008,29791888,,348016,2332888,3228044,369460
67,3,0,0,0,113847480,6237836,,29786948,28890692,25374364,29795476,,328672,2301460,3238904,368800
68,177,26,0,0,113964160,6083996,,29795628,29064968,25296376,29807188,,305560,2170608,3287260,320568
69,274,26,0,0,114210960,5809900,,29809180,28975020,25615756,29811004,,302776,2166364,3007276,333484
70,31,0,0,0,113862168,5998836,,29797344,28783852,25468648,29812324,,327552,2335028,2985932,350324
71,16,0,0,0,113691320,6187628,,29792648,28837296,25262264,29799112,,322740,2301676,3199104,364108
72,3,0,0,0,113761496,6249272,,29793044,28840804,25333352,29794296,,303600,2385152,3194500,366020
73,76,0,0,0,113747048,6219288,,29795556,28810032,25366960,29774500,,336888,2292092,3216732,373576
74,236,0,0,0,114135716,5726272,,29812020,28916616,25600612,29806468,,291252,2165868,2914228,354924
75,190,0,0,0,113991848,5866940,,29794064,28856216,25546552,29795016,,319224,2228776,2956404,362536
76,3,0,0,0,114036220,5866332,,29775732,28924296,25567316,29768876,,331448,2181892,2971128,381864
77,2,0,0,0,114008472,5959924,,29774316,28902004,25552708,29779444,,335400,2197376,3044868,382280
78,173,0,0,0,113946772,5920588,,29788040,28819188,25518724,29820820,,322360,2262736,3003656,331836
79,144,0,0,0,114479928,5346364,,29790736,29140300,25743372,29805520,,317708,1912252,2755976,360428
80,3,0,0,0,114288028,5661048,,29799580,28926072,25723532,29838844,,319968,2224620,2803004,313456
81,2,0,0,0,114150048,5645328,,29805880,28880608,25680440,29783120,,308272,2157520,2808776,370760
82,3,0,0,0,114198500,5575624,,29779648,28996984,25651560,29770308,,314464,2057684,2834732,368744
83,27,0,0,0,114197712,5605876,,29799644,29003452,25575852,29818764,,272288,2058488,2917436,357664
84,34,0,0,0,114223108,5559612,,29782680,29062948,25572224,29805256,,317432,2003944,2876608,361628
85,70,0,0,0,114225032,5590756,,29795616,29026020,25611856,29791540,,336124,2067452,2830232,356948
86,261,0,0,0,113905532,5497036,,29807380,28890916,25388708,29818528,,307120,1982784,2892756,314376
87,8,0,0,0,113686032,5744996,,29805396,28765736,25268228,29846672,,302436,2105752,2994736,342072
88,2,0,0,0,113652464,5747764,,29801712,28710916,25326632,29813204,,323200,2130268,2960640,333656
89,3,0,0,0,113525764,5813860,,29803244,28634244,25271168,29817108,,302288,2231860,2963128,316584
90,3,0,0,0,113620368,5760612,,29837680,28677136,25290340,29815212,,274308,2211552,2955860,318892
91,123,0,0,0,113751212,5638576,,29850020,28706620,25345924,29848648,,276808,2140712,2934484,286572
92,58,0,0,0,113796276,5563496,,29855940,28811484,25301072,29827780,,252372,2026232,2969100,315792
93,3,0,0,0,113757568,5593292,,29855972,28788452,25285760,29827384,,267748,2049796,2975732,300016
94,3,0,0,0,113712640,5584092,,29843348,28735876,25301240,29832176,,264208,2084788,2933428,301668
95,2,0,0,0,113777840,5666276,,29839588,28778228,25327456,29832568,,283156,2048748,3030292,304080
96,52,26,0,0,113752160,5692640,,29862292,28711752,25344868,29833248,,384128,2115272,2894140,299100
97,4,0,0,0,113888884,5582284,,29850240,28890340,25332520,29815784,,398656,1936544,2898972,348112
98,2,0,0,0,113814132,5639328,,29825176,28865432,25324152,29799372,,417096,1971608,2922636,327988
99,2,0,0,0,113728880,5713668,,29808028,28770376,25337372,29813104,,437040,2043144,2900252,333232
100,3,0,0,0,114024768,5491332,,29830084,28885780,25451108,29857796,,419648,1954280,2807068,310336
101,87,26,0,0,114412012,5101712,,29857116,29069304,25638356,29847236,,411640,1826036,2572912,291124
102,34,0,0,0,113962384,5481480,,29847616,28778528,25502336,29833904,,410684,2018852,2746448,305496
103,213,26,0,0,114389732,4937388,,29852004,28952612,25717068,29868048,,383660,1806160,2488112,259456
104,187,0,0,0,114084212,5281076,,29846076,28889704,25512792,29835640,,405268,1878372,2705364,292072
105,3,0,0,0,114197700,5183660,,29854760,28938068,25568812,29836060,,417156,1850860,2619632,296012
106,3,0,0,0,114016640,5244528,,29840388,28929648,25407012,29839592,,422852,1800144,2724584,296948
107,4,0,0,0,113988080,5271168,,29839204,28917004,25393484,29838388,,400932,1817836,2756064,296336
108,3,0,0,0,114068260,5211896,,29839692,28932976,25449608,29845984,,394800,1847432,2696200,273464
109,79,26,0,0,114159888,4994576,,29858012,28780448,25655140,29866288,,365044,1886684,2470988,271860
110,55,0,0,0,114287548,4843980,,29864180,28862484,25707652,29853232,,378668,1774264,2412276,278772
111,2,0,0,0,114286256,4801688,,29883120,28856988,25698144,29848004,,344664,1789864,2382888,284272
112,3,0,0,0,114215068,4920884,,29854844,28914304,25596156,29849764,,394356,1747136,2502840,276552
113,221,0,0,0,114058076,5000656,,29872264,28744328,25583344,29858140,,374576,1883276,2462852,279952
114,24,0,0,0,114108084,4963632,,29878852,28838328,25547196,29843708,,381956,1826620,2486616,268440
115,3,0,0,0,114139700,4963176,,29841364,28857584,25608668,29832084,,406748,1785236,2484640,286552
116,3,0,0,0,114203204,4885764,,29835848,28874084,25651556,29841716,,419596,1765864,2406088,294216
117,3,0,0,0,114170000,4910552,,29839952,28804796,25672284,29852968,,387176,1855384,2380232,287760
118,150,0,0,0,114433632,4777504,,29866248,28883292,25795960,29888132,,366108,1743536,2279908,387952
119,2,0,0,0,114372452,4820040,,29864824,28884000,25730300,29893328,,358080,1729472,2347512,384976
120,3,0,0,0,114309520,4902076,,29867224,28876180,25709532,29856584,,361492,1759284,2348520,432780
